doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,perform_type,perform_subtype,action_tags,participants,text,raw_line
pdf_01000000__01003015___7938d34c45,阴阳河,pdf_01000000__01003015___7938d34c45__line__000001,pdf_01000000__01003015___7938d34c45__scene__000,01003015_阴阳河.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003015_阴阳河.pdf,01000000/01003015_阴阳河.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,0,序幕/前置内容,1,narration,narration,,,,说明,,,《阴阳河》,# 《阴阳河》,# 《阴阳河》
pdf_01000000__01003015___7938d34c45,阴阳河,pdf_01000000__01003015___7938d34c45__line__000003,pdf_01000000__01003015___7938d34c45__scene__000,01003015_阴阳河.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003015_阴阳河.pdf,01000000/01003015_阴阳河.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,0,序幕/前置内容,3,narration,narration,,,,说明,,,（一名：《赏中秋》；一名：《地府寻妻》；一名：《西川奇闻》,# （一名：《赏中秋》；一名：《地府寻妻》；一名：《西川奇闻》）,# （一名：《赏中秋》；一名：《地府寻妻》；一名：《西川奇闻》）
pdf_01000000__01003015___7938d34c45,阴阳河,pdf_01000000__01003015___7938d34c45__line__000025,pdf_01000000__01003015___7938d34c45__scene__001,01003015_阴阳河.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003015_阴阳河.pdf,01000000/01003015_阴阳河.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,25,lyric,lyric,张茂深,pdf_01000000__01003015___7938d34c45__char__ba3079dc91,西皮流水板,唱,西皮流水板,唱段,张茂深,"一日离家一日深,好似孤雁宿寒林。","张茂深（西皮流水板）一日离家一日深,好似孤雁宿寒林。"
pdf_01000000__01003015___7938d34c45,阴阳河,pdf_01000000__01003015___7938d34c45__line__000025,pdf_01000000__01003015___7938d34c45__scene__001,01003015_阴阳河.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003015_阴阳河.pdf,01000000/01003015_阴阳河.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,25,dialogue,dialogue,店家,pdf_01000000__01003015___7938d34c45__char__a4b2a51048,念,念,念,来,店家,"孟尝君子店,千里客来投。","店家（念）孟尝君子店,千里客来投。"
pdf_01000000__01003015___7938d34c45,阴阳河,pdf_01000000__01003015___7938d34c45__line__000025,pdf_01000000__01003015___7938d34c45__scene__001,01003015_阴阳河.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003015_阴阳河.pdf,01000000/01003015_阴阳河.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,25,dialogue,dialogue,张茂深,pdf_01000000__01003015___7938d34c45__char__ba3079dc91,白,白,白,上；念白,张茂深,正是住店。可有上房?,张茂深（白）正是住店。可有上房?
pdf_01000000__01003015___7938d34c45,阴阳河,pdf_01000000__01003015___7938d34c45__line__000025,pdf_01000000__01003015___7938d34c45__scene__001,01003015_阴阳河.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003015_阴阳河.pdf,01000000/01003015_阴阳河.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,25,dialogue,dialogue,店家,pdf_01000000__01003015___7938d34c45__char__a4b2a51048,白,白,白,上；念白,店家,现有上房。,店家（白）现有上房。
pdf_01000000__01003015___7938d34c45,阴阳河,pdf_01000000__01003015___7938d34c45__line__000025,pdf_01000000__01003015___7938d34c45__scene__001,01003015_阴阳河.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003015_阴阳河.pdf,01000000/01003015_阴阳河.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,25,dialogue,dialogue,张茂深,pdf_01000000__01003015___7938d34c45__char__ba3079dc91,白,白,白,念白,张茂深,将马带过。,张茂深（白）将马带过。
pdf_01000000__01003015___7938d34c45,阴阳河,pdf_01000000__01003015___7938d34c45__line__000025,pdf_01000000__01003015___7938d34c45__scene__001,01003015_阴阳河.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003015_阴阳河.pdf,01000000/01003015_阴阳河.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,25,dialogue,dialogue,店家,pdf_01000000__01003015___7938d34c45__char__a4b2a51048,白,白,白,念白,店家,"哦,将马带过。","店家（白）哦,将马带过。"
pdf_01000000__01003015___7938d34c45,阴阳河,pdf_01000000__01003015___7938d34c45__line__000025,pdf_01000000__01003015___7938d34c45__scene__001,01003015_阴阳河.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003015_阴阳河.pdf,01000000/01003015_阴阳河.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,25,dialogue,dialogue,张茂深,pdf_01000000__01003015___7938d34c45__char__ba3079dc91,白,白,白,上；念白,张茂深；店家,"吓,店家,这有银子二百两,包袱一个,存在柜上。","张茂深（白）吓,店家,这有银子二百两,包袱一个,存在柜上。"
pdf_01000000__01003015___7938d34c45,阴阳河,pdf_01000000__01003015___7938d34c45__line__000025,pdf_01000000__01003015___7938d34c45__scene__001,01003015_阴阳河.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01003015_阴阳河.pdf,01000000/01003015_阴阳河.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,25,dialogue,dialogue,店家,pdf_01000000__01003015___7938d34c45__char__a4b2a51048,白,白,白,上；问；请；念白,店家,"哦,存在柜上。请问客人尊姓?","店家（白）哦,存在柜上。请问客人尊姓?"
