doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01003017___51aaa5bf95,独木关,二老军,薛礼,汇报,11,劝阻；同场共现；对话；汇报,告知薛礼周青等不敌安殿宝,llm,
pdf_01000000__01003017___51aaa5bf95,独木关,张士贵,薛礼,评价,9,对话；提及；评价；试探,张士贵说‘些须小事，何足为奇’,llm,
pdf_01000000__01003017___51aaa5bf95,独木关,薛礼,二老军,命令,7,命令；对话,喝问二老军，并决定出战,llm,
pdf_01000000__01003017___51aaa5bf95,独木关,安殿宝,何宗宪,对抗,5,对抗；对话,安殿宝审问何宗宪，识破其假充薛礼，下令绑缚待斩。,llm,
pdf_01000000__01003017___51aaa5bf95,独木关,安殿宝,薛礼,对抗,5,同场共现；对抗,"来,将他二人绑在后面,拿住薛礼一齐开刀。押下去。",llm,
pdf_01000000__01003017___51aaa5bf95,独木关,张士贵,中军,命令,5,命令；对话,来，将他捆绑起来,llm,
pdf_01000000__01003017___51aaa5bf95,独木关,张志龙,何宗宪,同场共现,5,同场共现；对话,（四下手押张志龙、何宗宪同上。）,stage_direction,
pdf_01000000__01003017___51aaa5bf95,独木关,薛礼,张士贵,汇报,5,对话；汇报,小人有何德能，敢劳总爷过营探病,llm,
pdf_01000000__01003017___51aaa5bf95,独木关,众伙头军,薛礼,协助,4,协助；对话,众伙头军唤醒昏迷的薛礼，并告知安殿宝已被枪挑。,llm,
pdf_01000000__01003017___51aaa5bf95,独木关,何宗宪,张志龙,协助,4,协助；对话,二人被俘后商议应对，何宗宪称张志龙为'大舅子'。,llm,
pdf_01000000__01003017___51aaa5bf95,独木关,周青,张士贵,对抗,4,对抗；对话,站下些,llm,
pdf_01000000__01003017___51aaa5bf95,独木关,薛礼,安殿宝,汇报,4,对抗；提及；汇报,启禀总爷：小人枪挑安殿宝，得来独木关，总爷查点。,mention,
pdf_01000000__01003017___51aaa5bf95,独木关,中军,众伙头军,对抗,3,,伙头军不听将令，将令箭拗断，暴打我一顿,llm,
pdf_01000000__01003017___51aaa5bf95,独木关,中军,张士贵,对话,3,,打坏了，打坏了。,adjacency,
pdf_01000000__01003017___51aaa5bf95,独木关,何宗宪,安殿宝,对话,3,,大舅子!,adjacency,
pdf_01000000__01003017___51aaa5bf95,独木关,周青,众伙头军,命令,3,同场共现；命令；对话,周青提议众兄弟在高坡一望。,llm,
pdf_01000000__01003017___51aaa5bf95,独木关,安殿宝,张志龙,对抗,3,对抗；对话,安殿宝审问张志龙，将其与何宗宪一同绑缚。,llm,
pdf_01000000__01003017___51aaa5bf95,独木关,二老军,安殿宝,提及,2,,"哎呀,薛爷吓,今有周青带领众家英雄,搭救二位少爷。那辽邦又出了个大将安殿宝,众家英雄不能取胜,因尔如此。",mention,
pdf_01000000__01003017___51aaa5bf95,独木关,周青,安殿宝,对抗,2,对抗；提及,会阵，同开打,llm,
pdf_01000000__01003017___51aaa5bf95,独木关,周青,薛礼,对话,2,,站下些。,adjacency,
pdf_01000000__01003017___51aaa5bf95,独木关,安殿宝,龙套,同场共现,2,,（四龙套同上，安殿宝上。）,stage_direction,
pdf_01000000__01003017___51aaa5bf95,独木关,张士贵,何宗宪,命令,2,命令；对话,张士贵决定将薛礼之功记在何宗宪名下,llm,
pdf_01000000__01003017___51aaa5bf95,独木关,张士贵,周青,对话,2,,吓，众位英雄对薛礼言讲，就说本帅过营探病。,adjacency,
pdf_01000000__01003017___51aaa5bf95,独木关,薛礼,众伙头军,汇报,2,对话；汇报,薛礼向众贤弟询问安殿宝下落。,llm,
pdf_01000000__01003017___51aaa5bf95,独木关,薛礼,周青,对话,2,,在月下惊碎了英雄虎胆，,adjacency,
pdf_01000000__01003017___51aaa5bf95,独木关,龙套,安殿宝,同场共现,2,,（四龙套同上，安殿宝上。）,stage_direction,
pdf_01000000__01003017___51aaa5bf95,独木关,众人,龙套,同场共现,1,,（四龙套同上，张士贵上，同进关，众人同下。）,stage_direction,
pdf_01000000__01003017___51aaa5bf95,独木关,众伙头军,张士贵,对话,1,,不晓得什么张总爷。,adjacency,
pdf_01000000__01003017___51aaa5bf95,独木关,何宗宪,张士贵,对话,1,,我二人吃了苦了。,adjacency,
pdf_01000000__01003017___51aaa5bf95,独木关,何宗宪,薛礼,提及,1,,俺乃白袍薛礼。,mention,
pdf_01000000__01003017___51aaa5bf95,独木关,安殿宝,周青,对抗,1,,安殿宝打周青,llm,
pdf_01000000__01003017___51aaa5bf95,独木关,张士贵,龙套,对话,1,,前去通报：说张总爷来了。,adjacency,
pdf_01000000__01003017___51aaa5bf95,独木关,张志龙,安殿宝,对话,1,,"俺乃张士贵之子,名叫张志龙是也。",adjacency,
pdf_01000000__01003017___51aaa5bf95,独木关,蓝天弼,周青,对抗,1,,双方开打,llm,
pdf_01000000__01003017___51aaa5bf95,独木关,龙套,众人,同场共现,1,,（四龙套同上，张士贵上，同进关，众人同下。）,stage_direction,
pdf_01000000__01003017___51aaa5bf95,独木关,龙套,众伙头军,对话,1,,张总爷来了。,adjacency,
