doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01003017___51aaa5bf95,独木关,忠义,悲情,3,【第三场】,scene_cooccurrence
pdf_01000000__01003017___51aaa5bf95,独木关,不公,冒功,1,【第九场】,scene_cooccurrence
pdf_01000000__01003017___51aaa5bf95,独木关,不公,隐忍,1,【第九场】,scene_cooccurrence
pdf_01000000__01003017___51aaa5bf95,独木关,亲情,公案,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003017___51aaa5bf95,独木关,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003017___51aaa5bf95,独木关,使命,忠义,1,【第三场】,scene_cooccurrence
pdf_01000000__01003017___51aaa5bf95,独木关,使命,悲情,1,【第三场】,scene_cooccurrence
pdf_01000000__01003017___51aaa5bf95,独木关,公案,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01003017___51aaa5bf95,独木关,冒功,隐忍,1,【第九场】,scene_cooccurrence
pdf_01000000__01003017___51aaa5bf95,独木关,冲突,战争,1,【第二场】,scene_cooccurrence
pdf_01000000__01003017___51aaa5bf95,独木关,对抗,战争,1,【第五场】,scene_cooccurrence
pdf_01000000__01003017___51aaa5bf95,独木关,对抗,武打,1,【第七场】,scene_cooccurrence
pdf_01000000__01003017___51aaa5bf95,独木关,将帅矛盾,权谋,1,【第一场】,scene_cooccurrence
pdf_01000000__01003017___51aaa5bf95,独木关,将帅矛盾,英雄困境,1,【第一场】,scene_cooccurrence
pdf_01000000__01003017___51aaa5bf95,独木关,忠义,英雄气概,1,【第六场】,scene_cooccurrence
pdf_01000000__01003017___51aaa5bf95,独木关,忠义,身份伪装,1,【第四场】,scene_cooccurrence
pdf_01000000__01003017___51aaa5bf95,独木关,悲情,英雄气概,1,【第六场】,scene_cooccurrence
pdf_01000000__01003017___51aaa5bf95,独木关,悲情,身份伪装,1,【第四场】,scene_cooccurrence
pdf_01000000__01003017___51aaa5bf95,独木关,权谋,英雄困境,1,【第一场】,scene_cooccurrence
pdf_01000000__01003017___51aaa5bf95,独木关,神灵庇佑,胜利与收束,1,【第八场】,scene_cooccurrence
pdf_01000000__01003017___51aaa5bf95,独木关,神灵庇佑,英雄气概,1,【第八场】,scene_cooccurrence
pdf_01000000__01003017___51aaa5bf95,独木关,胜利与收束,英雄气概,1,【第八场】,scene_cooccurrence
