doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,text,target,target_char_id,emotion_tag,speech_act,entity_tags,action_tags,is_key_line,emotion_derived_by,target_derived_by,llm_confidence,raw_line
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__line__000001,pdf_01000000__01004001___ad83d28842__scene__000,01004001_逍遥津.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004001_逍遥津.pdf,01000000/01004001_逍遥津.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,0,序幕/前置内容,1,narration,narration,,,,# 《逍遥津》 （一名：《搜诏逼宫》）,,,,,,,1,,,,# 《逍遥津》 （一名：《搜诏逼宫》）
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__line__000051,pdf_01000000__01004001___ad83d28842__scene__001,01004001_逍遥津.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004001_逍遥津.pdf,01000000/01004001_逍遥津.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,51,narration,narration,,,,# （二旗牌引张辽同上。）,旗牌,pdf_01000000__01004001___ad83d28842__char__5ee7b2e403,,,张辽；旗牌,上,0,,rule,,# （二旗牌引张辽同上。）
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__line__000053,pdf_01000000__01004001___ad83d28842__scene__001,01004001_逍遥津.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004001_逍遥津.pdf,01000000/01004001_逍遥津.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,53,stage_direction,stage_direction,张辽,pdf_01000000__01004001___ad83d28842__char__d776eb269d,引子,,,,,,,,0,,,,张辽 （引子）
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__line__000055,pdf_01000000__01004001___ad83d28842__scene__001,01004001_逍遥津.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004001_逍遥津.pdf,01000000/01004001_逍遥津.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,55,stage_direction,stage_direction,,,念,,,,,,,,0,,,,（念）
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__line__000057,pdf_01000000__01004001___ad83d28842__scene__001,01004001_逍遥津.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004001_逍遥津.pdf,01000000/01004001_逍遥津.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,57,stage_direction,stage_direction,,,白,,,,,,,念白,0,,,,（白）
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__line__000059,pdf_01000000__01004001___ad83d28842__scene__001,01004001_逍遥津.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004001_逍遥津.pdf,01000000/01004001_逍遥津.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,59,narration,narration,,,,腰悬昆吾剑，虎将血染衣。,,,,,,,0,,,,腰悬昆吾剑，虎将血染衣。
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__line__000061,pdf_01000000__01004001___ad83d28842__scene__001,01004001_逍遥津.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004001_逍遥津.pdf,01000000/01004001_逍遥津.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,61,narration,narration,,,,堂堂英雄气，丈夫世间奇。安抚天下志，方算我自己。,,,愤怒,,,下,1,rule,,,堂堂英雄气，丈夫世间奇。安抚天下志，方算我自己。
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__line__000063,pdf_01000000__01004001___ad83d28842__scene__001,01004001_逍遥津.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004001_逍遥津.pdf,01000000/01004001_逍遥津.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,63,narration,narration,,,,俺张辽，汉室为臣。只因献帝懦弱，不能治国安邦，东南烟尘四起。我今相请文武两班，欲将龙床推倒，扶保曹丞相登基，方得称我心头之愿。,张辽,pdf_01000000__01004001___ad83d28842__char__d776eb269d,,,张辽,请；扶,1,,rule,,俺张辽，汉室为臣。只因献帝懦弱，不能治国安邦，东南烟尘四起。我今相请文武两班，欲将龙床推倒，扶保曹丞相登基，方得称我心头之愿。
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__line__000065,pdf_01000000__01004001___ad83d28842__scene__001,01004001_逍遥津.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004001_逍遥津.pdf,01000000/01004001_逍遥津.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,65,dialogue,dialogue,二旗牌,pdf_01000000__01004001___ad83d28842__char__0975451ac2,同白,有。,,,,,,念白,0,,,,二旗牌（同白）有。
pdf_01000000__01004001___ad83d28842,逍遥津,pdf_01000000__01004001___ad83d28842__line__000065,pdf_01000000__01004001___ad83d28842__scene__001,01004001_逍遥津.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004001_逍遥津.pdf,01000000/01004001_逍遥津.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,65,dialogue,dialogue,张辽,pdf_01000000__01004001___ad83d28842__char__d776eb269d,白,"待众位大人到此,速报吾知!",院子,pdf_01000000__01004001___ad83d28842__char__aaab4af545,平,命令,,报；念白,0,llm,llm,0.9,"张辽（白）待众位大人到此,速报吾知!"
