doc_id,doc_title,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01004001___ad83d28842,逍遥津,曹操,pdf_01000000__01004001___ad83d28842__char__e1bd96b7dd,33,226,1.0,1.0,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,华歆,pdf_01000000__01004001___ad83d28842__char__c3323ed43f,19,93,0.5758,0.4115,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,汉献帝,pdf_01000000__01004001___ad83d28842__char__c5e9da9fa3,14,86,0.4242,0.3805,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,伏后,pdf_01000000__01004001___ad83d28842__char__9dd690d913,12,61,0.3636,0.2699,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,张辽,pdf_01000000__01004001___ad83d28842__char__d776eb269d,11,23,0.3333,0.1018,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,穆顺,pdf_01000000__01004001___ad83d28842__char__3fba7bea98,10,121,0.303,0.5354,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,曹妃,pdf_01000000__01004001___ad83d28842__char__9517bd5ccf,10,31,0.303,0.1372,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,二皇子,pdf_01000000__01004001___ad83d28842__char__c784474173,8,29,0.2424,0.1283,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,荀攸,pdf_01000000__01004001___ad83d28842__char__1a389cc956,8,15,0.2424,0.0664,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,贾诩,pdf_01000000__01004001___ad83d28842__char__c58aaf1cdb,7,8,0.2121,0.0354,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,司马懿,pdf_01000000__01004001___ad83d28842__char__2df9eac30e,6,19,0.1818,0.0841,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,夏侯渊,pdf_01000000__01004001___ad83d28842__char__394feb30ad,6,12,0.1818,0.0531,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,文聘,pdf_01000000__01004001___ad83d28842__char__94350a27fe,6,7,0.1818,0.031,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,院子,pdf_01000000__01004001___ad83d28842__char__aaab4af545,5,8,0.1515,0.0354,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,曹植,pdf_01000000__01004001___ad83d28842__char__2290058c52,4,6,0.1212,0.0265,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,太监,pdf_01000000__01004001___ad83d28842__char__07511305c7,3,5,0.0909,0.0221,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,四大铠,pdf_01000000__01004001___ad83d28842__char__6d709e0726,2,4,0.0606,0.0177,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,二旗牌,pdf_01000000__01004001___ad83d28842__char__0975451ac2,2,2,0.0606,0.0088,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,众人,pdf_01000000__01004001___ad83d28842__char__64ddc2ec1d,2,2,0.0606,0.0088,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,华散,pdf_01000000__01004001___ad83d28842__char__a3c4844f25,2,2,0.0606,0.0088,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,手下,pdf_01000000__01004001___ad83d28842__char__c16731aca0,2,2,0.0606,0.0088,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,穆顾,pdf_01000000__01004001___ad83d28842__char__3ed1c2e7ab,2,2,0.0606,0.0088,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,王粲,pdf_01000000__01004001___ad83d28842__char__f60689b848,2,2,0.0606,0.0088,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,郄虑,pdf_01000000__01004001___ad83d28842__char__5eba43198b,2,2,0.0606,0.0088,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,伏完,pdf_01000000__01004001___ad83d28842__char__64a86b2865,1,1,0.0303,0.0044,relations_aggregated
pdf_01000000__01004001___ad83d28842,逍遥津,旗牌,pdf_01000000__01004001___ad83d28842__char__5ee7b2e403,1,1,0.0303,0.0044,relations_aggregated
