doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01004001___ad83d28842,逍遥津,1,【第一场】,二旗牌,张辽,对话/应答,对话,1,有。,pdf_01000000__01004001___ad83d28842__line__000065,adjacency,
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,夏侯渊,司马懿,对话/应答,对话,1,夏侯渊。,pdf_01000000__01004001___ad83d28842__line__000071,adjacency,
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,司马懿,华歆,对话/应答,对话,1,司马懿。,pdf_01000000__01004001___ad83d28842__line__000071,adjacency,
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,华歆,贾诩,对话/应答,对话,1,华歆。,pdf_01000000__01004001___ad83d28842__line__000071,adjacency,
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,贾诩,郄虑,对话/应答,对话,1,贾诩。,pdf_01000000__01004001___ad83d28842__line__000071,adjacency,
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,郄虑,王粲,对话/应答,对话,1,郄虑。,pdf_01000000__01004001___ad83d28842__line__000071,adjacency,
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,王粲,曹植,对话/应答,对话,1,王粲。,pdf_01000000__01004001___ad83d28842__line__000071,adjacency,
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,曹植,文聘,对话/应答,对话,1,曹植。,pdf_01000000__01004001___ad83d28842__line__000071,adjacency,
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,文聘,贾诩,对话/应答,对话,1,文聘。,pdf_01000000__01004001___ad83d28842__line__000071,adjacency,
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,贾诩,张辽,对话/应答,对话,2,"来得匆匆,望张将军恕罪。",pdf_01000000__01004001___ad83d28842__line__000073,adjacency,
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,张辽,贾诩,对话/应答,对话,1,岂敢!,pdf_01000000__01004001___ad83d28842__line__000073,adjacency,
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,张辽,院子,对话/应答,对话,1,"众位有所不知:只因当今献帝懦弱,不能治国安邦,致令东南烟尘四起,生灵涂炭!故而相请众位商议,将那龙床推倒,扶保曹丞相登基接位。不知众位大人意下如何?",pdf_01000000__01004001___ad83d28842__line__000073,adjacency,
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,院子,荀攸,对话/应答,对话,1,荀攸丞相到!,pdf_01000000__01004001___ad83d28842__line__000073,adjacency,
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,荀攸,贾诩,对话/应答,对话,1,"列位所为何事,起得这早?",pdf_01000000__01004001___ad83d28842__line__000073,adjacency,
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,贾诩,荀攸,对话/应答,对话,1,"只因张将军相约,故而来早。",pdf_01000000__01004001___ad83d28842__line__000073,adjacency,
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,荀攸,张辽,对话/应答,对话,2,"吓,张将军相邀,所为何事?",pdf_01000000__01004001___ad83d28842__line__000073,adjacency,
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,张辽,荀攸,对话/应答,对话,1,"只因献帝懦弱,不能治国安邦,致令东南烟尘四起,生灵涂炭,故而相请众位大人,欲将龙床推倒,扶保曹丞相登基接位!如今众位大人皆服此议。",pdf_01000000__01004001___ad83d28842__line__000073,adjacency,
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,张辽,华歆,对话/应答,对话,1,这个!,pdf_01000000__01004001___ad83d28842__line__000073,adjacency,
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,华歆,荀攸,对话/应答,对话,1,众位大人!自古云老而不死是为贼!,pdf_01000000__01004001___ad83d28842__line__000073,adjacency,
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,荀攸,曹操,对话/应答,对话,1,嘿嘿好无礼!,pdf_01000000__01004001___ad83d28842__line__000073,adjacency,
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,曹操,张辽,对话/应答,对话,2,"文远,何事相邀列公?",pdf_01000000__01004001___ad83d28842__line__000073,adjacency,
