doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01004001___ad83d28842,逍遥津,忠义,权力斗争,5,【第六场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,亲情,忠义,3,【第八场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,忠义,权谋,3,【第二场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,亲情,权力斗争,2,【第八场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,家国,忠义,2,【第一场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,亲情,公案,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,亲情,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,亲情,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,亲情,皇权衰落,1,【第八场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,亲情,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,公案,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,公案,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,公案,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,公案,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,公案,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,公案,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,家国,悲情,1,【第三场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,家国,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,家国,权力博弈,1,【第三场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,家国,权力野心,1,【第一场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,家国,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,忠义,悲情,1,【第四场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,忠义,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,忠义,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,忠义,斩草除根,1,【第九场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,忠义,权力野心,1,【第一场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,忠义,残暴,1,【第九场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,忠义,皇权衰落,1,【第八场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,忠义,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,忠义,篡位,1,【第二场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,忠义,虚伪,1,【第二场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,悲情,权力博弈,1,【第三场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,情爱,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,情爱,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,情爱,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,战争,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,战争,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,斩草除根,权力斗争,1,【第九场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,斩草除根,残暴,1,【第九场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,权力斗争,权谋,1,【第六场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,权力斗争,残暴,1,【第九场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,权力斗争,皇权衰落,1,【第八场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,权谋,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,权谋,篡位,1,【第二场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,权谋,虚伪,1,【第二场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,权谋,试探,1,【第五场】,scene_cooccurrence
pdf_01000000__01004001___ad83d28842,逍遥津,篡位,虚伪,1,【第二场】,scene_cooccurrence
