doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01004001___ad83d28842,逍遥津,1,【第一场】,【第一场】,忠奸对立,忠义,1,二旗牌；张辽,张辽自述心怀不满，因献帝懦弱而欲推倒龙床，扶保曹操登基，并召集文武两班商议。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,1,【第一场】,【第一场】,权力野心,权力野心,1,二旗牌；张辽,张辽自述心怀不满，因献帝懦弱而欲推倒龙床，扶保曹操登基，并召集文武两班商议。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,1,【第一场】,【第一场】,王朝更迭,家国,1,二旗牌；张辽,张辽自述心怀不满，因献帝懦弱而欲推倒龙床，扶保曹操登基，并召集文武两班商议。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,【第二场】,权谋,权谋,1,华懿；华歆；司马懿；夏侯渊；张辽；文聘；曹操；曹植；王粲；荀攸；贾诩；郄虑；院子,张辽召集众臣商议推倒汉献帝，扶保曹操登基，荀攸反对后气死，曹操假意斥责并安排后事，提及东吴西蜀未平。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,【第二场】,篡位,篡位,1,华懿；华歆；司马懿；夏侯渊；张辽；文聘；曹操；曹植；王粲；荀攸；贾诩；郄虑；院子,张辽召集众臣商议推倒汉献帝，扶保曹操登基，荀攸反对后气死，曹操假意斥责并安排后事，提及东吴西蜀未平。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,【第二场】,忠义,忠义,1,华懿；华歆；司马懿；夏侯渊；张辽；文聘；曹操；曹植；王粲；荀攸；贾诩；郄虑；院子,张辽召集众臣商议推倒汉献帝，扶保曹操登基，荀攸反对后气死，曹操假意斥责并安排后事，提及东吴西蜀未平。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,2,【第二场】,【第二场】,虚伪,虚伪,1,华懿；华歆；司马懿；夏侯渊；张辽；文聘；曹操；曹植；王粲；荀攸；贾诩；郄虑；院子,张辽召集众臣商议推倒汉献帝，扶保曹操登基，荀攸反对后气死，曹操假意斥责并安排后事，提及东吴西蜀未平。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,3,【第三场】,【第三场】,君臣关系,家国,1,华歆；司马懿；夏侯渊；张辽；文聘；曹操；曹植；汉献帝；王粲；贾诩；郄虑,汉献帝在朝堂上称赞曹操忠心，曹操却指出东吴孙权与西蜀刘备为后患，暗示朝中危机。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,3,【第三场】,【第三场】,权力博弈,权力博弈,1,华歆；司马懿；夏侯渊；张辽；文聘；曹操；曹植；汉献帝；王粲；贾诩；郄虑,汉献帝在朝堂上称赞曹操忠心，曹操却指出东吴孙权与西蜀刘备为后患，暗示朝中危机。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,3,【第三场】,【第三场】,外患内忧,悲情,1,华歆；司马懿；夏侯渊；张辽；文聘；曹操；曹植；汉献帝；王粲；贾诩；郄虑,汉献帝在朝堂上称赞曹操忠心，曹操却指出东吴孙权与西蜀刘备为后患，暗示朝中危机。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,4,【第四场】,【第四场】,忠奸对立,忠义,1,伏后；汉献帝；穆顺,汉献帝回宫向伏后诉说曹操带剑上殿欲行刺，伏后建议写血诏搬兵，穆顺领命出宫送血诏，君臣悲泣告别。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,4,【第四场】,【第四场】,反抗与救亡,悲情,1,伏后；汉献帝；穆顺,汉献帝回宫向伏后诉说曹操带剑上殿欲行刺，伏后建议写血诏搬兵，穆顺领命出宫送血诏，君臣悲泣告别。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,5,【第五场】,【第五场】,权谋,权谋,1,穆顺；院子,穆顺前往相府探访，与院子短暂对话后，与伏完分别下场，为后续剧情埋下伏笔。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,5,【第五场】,【第五场】,试探,试探,1,穆顺；院子,穆顺前往相府探访，与院子短暂对话后，与伏完分别下场，为后续剧情埋下伏笔。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,6,【第六场】,【第六场】,忠奸对立,忠义,1,四大铠；夏侯渊；穆顺,夏侯渊奉曹操之命巡查御街，发现穆顺深夜出宫前往伏相府，怀疑有奸诈，决定报与曹操。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,6,【第六场】,【第六场】,权力斗争,权力斗争,1,四大铠；夏侯渊；穆顺,夏侯渊奉曹操之命巡查御街，发现穆顺深夜出宫前往伏相府，怀疑有奸诈，决定报与曹操。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,6,【第六场】,【第六场】,阴谋与怀疑,权谋,1,四大铠；夏侯渊；穆顺,夏侯渊奉曹操之命巡查御街，发现穆顺深夜出宫前往伏相府，怀疑有奸诈，决定报与曹操。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,7,【第七场】,【第七场】,忠奸对立,忠义,1,众人；华歆；手下；曹操；穆顺；穆顾,穆顺出宫被曹操拦截，盘问中暗讽曹操，最终被搜出密诏，曹操下令诛杀伏相府并抓捕伏后。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,7,【第七场】,【第七场】,权力斗争,权力斗争,1,众人；华歆；手下；曹操；穆顺；穆顾,穆顺出宫被曹操拦截，盘问中暗讽曹操，最终被搜出密诏，曹操下令诛杀伏相府并抓捕伏后。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,8,【第八场】,【第八场】,权力斗争,权力斗争,1,二皇子；伏后；华歆；太监；曹妃；汉献帝,华歆带剑入宫抓捕伏后与二皇子，曹妃劝阻未果，汉献帝无力保护，最终与二皇子出宫寻找伏后。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,8,【第八场】,【第八场】,忠奸对立,忠义,1,二皇子；伏后；华歆；太监；曹妃；汉献帝,华歆带剑入宫抓捕伏后与二皇子，曹妃劝阻未果，汉献帝无力保护，最终与二皇子出宫寻找伏后。,llm
pdf_01000000__01004001___ad83d28842,逍遥津,8,【第八场】,【第八场】,皇权衰落,皇权衰落,1,二皇子；伏后；华歆；太监；曹妃；汉献帝,华歆带剑入宫抓捕伏后与二皇子，曹妃劝阻未果，汉献帝无力保护，最终与二皇子出宫寻找伏后。,llm
