doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,perform_type,perform_subtype,action_tags,participants,text,raw_line
pdf_01000000__01004004___a91ecdeeef,盗宗卷,pdf_01000000__01004004___a91ecdeeef__line__000001,pdf_01000000__01004004___a91ecdeeef__scene__000,01004004_盗宗卷.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004004_盗宗卷.pdf,01000000/01004004_盗宗卷.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,0,序幕/前置内容,1,narration,narration,,,,说明,,,《盗宗卷》,# 《盗宗卷》,# 《盗宗卷》
pdf_01000000__01004004___a91ecdeeef,盗宗卷,pdf_01000000__01004004___a91ecdeeef__line__000003,pdf_01000000__01004004___a91ecdeeef__scene__000,01004004_盗宗卷.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004004_盗宗卷.pdf,01000000/01004004_盗宗卷.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,0,序幕/前置内容,3,narration,narration,,,,说明,,,（一名：《兴汉图》；一名：《火烧宗卷》,# （一名：《兴汉图》；一名：《火烧宗卷》）,# （一名：《兴汉图》；一名：《火烧宗卷》）
pdf_01000000__01004004___a91ecdeeef,盗宗卷,pdf_01000000__01004004___a91ecdeeef__line__000033,pdf_01000000__01004004___a91ecdeeef__scene__001,01004004_盗宗卷.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004004_盗宗卷.pdf,01000000/01004004_盗宗卷.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,33,stage_direction,stage_direction,,,四太监、四宫女引吕后同上。,做,四太监、四宫女引吕后同上。,上,吕后,,（四太监、四宫女引吕后同上。）
pdf_01000000__01004004___a91ecdeeef,盗宗卷,pdf_01000000__01004004___a91ecdeeef__line__000035,pdf_01000000__01004004___a91ecdeeef__scene__001,01004004_盗宗卷.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004004_盗宗卷.pdf,01000000/01004004_盗宗卷.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,35,dialogue,dialogue,吕后,pdf_01000000__01004004___a91ecdeeef__char__c17d915cca,引子,对白,引子,,吕后,"身在深宫院,重整汉室锦江山。","吕后（引子）身在深宫院,重整汉室锦江山。"
pdf_01000000__01004004___a91ecdeeef,盗宗卷,pdf_01000000__01004004___a91ecdeeef__line__000035,pdf_01000000__01004004___a91ecdeeef__scene__001,01004004_盗宗卷.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004004_盗宗卷.pdf,01000000/01004004_盗宗卷.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,35,dialogue,dialogue,太监,pdf_01000000__01004004___a91ecdeeef__char__30190ad64d,白,白,白,上；念白,太监；张苍,宣张苍上殿。,太监（白）宣张苍上殿。
pdf_01000000__01004004___a91ecdeeef,盗宗卷,pdf_01000000__01004004___a91ecdeeef__line__000035,pdf_01000000__01004004___a91ecdeeef__scene__001,01004004_盗宗卷.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004004_盗宗卷.pdf,01000000/01004004_盗宗卷.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,35,dialogue,dialogue,张苍,pdf_01000000__01004004___a91ecdeeef__char__f7e0ecae2c,白,白,白,上；念白,张苍,"忽听国太宣,迈步上金銮。","张苍（白）忽听国太宣,迈步上金銮。"
pdf_01000000__01004004___a91ecdeeef,盗宗卷,pdf_01000000__01004004___a91ecdeeef__line__000035,pdf_01000000__01004004___a91ecdeeef__scene__001,01004004_盗宗卷.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004004_盗宗卷.pdf,01000000/01004004_盗宗卷.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,35,dialogue,dialogue,吕后,pdf_01000000__01004004___a91ecdeeef__char__c17d915cca,白,白,白,念白,吕后,平身。,吕后（白）平身。
pdf_01000000__01004004___a91ecdeeef,盗宗卷,pdf_01000000__01004004___a91ecdeeef__line__000035,pdf_01000000__01004004___a91ecdeeef__scene__001,01004004_盗宗卷.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004004_盗宗卷.pdf,01000000/01004004_盗宗卷.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,35,dialogue,dialogue,张苍,pdf_01000000__01004004___a91ecdeeef__char__f7e0ecae2c,白,白,白,上；念白,张苍,"千千岁!宣臣上殿,有何国事议论?","张苍（白）千千岁!宣臣上殿,有何国事议论?"
pdf_01000000__01004004___a91ecdeeef,盗宗卷,pdf_01000000__01004004___a91ecdeeef__line__000035,pdf_01000000__01004004___a91ecdeeef__scene__001,01004004_盗宗卷.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004004_盗宗卷.pdf,01000000/01004004_盗宗卷.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,35,dialogue,dialogue,吕后,pdf_01000000__01004004___a91ecdeeef__char__c17d915cca,白,白,白,看；念白,吕后,宗卷可是卿家看守?,吕后（白）宗卷可是卿家看守?
pdf_01000000__01004004___a91ecdeeef,盗宗卷,pdf_01000000__01004004___a91ecdeeef__line__000035,pdf_01000000__01004004___a91ecdeeef__scene__001,01004004_盗宗卷.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004004_盗宗卷.pdf,01000000/01004004_盗宗卷.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,35,dialogue,dialogue,张苍,pdf_01000000__01004004___a91ecdeeef__char__f7e0ecae2c,白,白,白,看；念白,张苍,是臣看守。,张苍（白）是臣看守。
