doc_id,doc_title,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01004004___a91ecdeeef,盗宗卷,陈平,pdf_01000000__01004004___a91ecdeeef__char__48d2ecb259,13,221,1.0,1.0,relations_aggregated
pdf_01000000__01004004___a91ecdeeef,盗宗卷,张苍,pdf_01000000__01004004___a91ecdeeef__char__f7e0ecae2c,13,199,1.0,0.9005,relations_aggregated
pdf_01000000__01004004___a91ecdeeef,盗宗卷,田子春,pdf_01000000__01004004___a91ecdeeef__char__138e569484,10,83,0.7692,0.3756,relations_aggregated
pdf_01000000__01004004___a91ecdeeef,盗宗卷,衙役乙,pdf_01000000__01004004___a91ecdeeef__char__384c2cbcbf,6,16,0.4615,0.0724,relations_aggregated
pdf_01000000__01004004___a91ecdeeef,盗宗卷,张夫人,pdf_01000000__01004004___a91ecdeeef__char__4e1093d1a9,5,22,0.3846,0.0995,relations_aggregated
pdf_01000000__01004004___a91ecdeeef,盗宗卷,吕后,pdf_01000000__01004004___a91ecdeeef__char__c17d915cca,5,28,0.3846,0.1267,relations_aggregated
pdf_01000000__01004004___a91ecdeeef,盗宗卷,衙役甲,pdf_01000000__01004004___a91ecdeeef__char__5c7a6ab0be,5,10,0.3846,0.0452,relations_aggregated
pdf_01000000__01004004___a91ecdeeef,盗宗卷,张秀玉,pdf_01000000__01004004___a91ecdeeef__char__fbce69208f,4,28,0.3077,0.1267,relations_aggregated
pdf_01000000__01004004___a91ecdeeef,盗宗卷,二衙役,pdf_01000000__01004004___a91ecdeeef__char__a1baa6b168,4,18,0.3077,0.0814,relations_aggregated
pdf_01000000__01004004___a91ecdeeef,盗宗卷,家院,pdf_01000000__01004004___a91ecdeeef__char__86956c08c7,3,10,0.2308,0.0452,relations_aggregated
pdf_01000000__01004004___a91ecdeeef,盗宗卷,太监,pdf_01000000__01004004___a91ecdeeef__char__30190ad64d,2,3,0.1538,0.0136,relations_aggregated
pdf_01000000__01004004___a91ecdeeef,盗宗卷,院子,pdf_01000000__01004004___a91ecdeeef__char__b255eb4e9b,2,2,0.1538,0.009,relations_aggregated
