doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01004004___a91ecdeeef,盗宗卷,1,【第一场】,【第一场】,权力斗争,权力斗争,1,吕后；太监；张苍；陈平,吕后召见张苍索要宗卷，张苍呈上后吕后赐酒并火焚宗卷。陈平上殿质问吕后是否谋汉，吕后称赞其才能。张苍发现宗卷被焚，惊慌失措。,llm
pdf_01000000__01004004___a91ecdeeef,盗宗卷,1,【第一场】,【第一场】,阴谋与忠诚,忠义,1,吕后；太监；张苍；陈平,吕后召见张苍索要宗卷，张苍呈上后吕后赐酒并火焚宗卷。陈平上殿质问吕后是否谋汉，吕后称赞其才能。张苍发现宗卷被焚，惊慌失措。,llm
pdf_01000000__01004004___a91ecdeeef,盗宗卷,1,【第一场】,【第一场】,君臣博弈,家国,1,吕后；太监；张苍；陈平,吕后召见张苍索要宗卷，张苍呈上后吕后赐酒并火焚宗卷。陈平上殿质问吕后是否谋汉，吕后称赞其才能。张苍发现宗卷被焚，惊慌失措。,llm
pdf_01000000__01004004___a91ecdeeef,盗宗卷,2,【第二场】,【第二场】,忠良受屈,忠义,1,田子春,田子春改扮成道家模样，不分昼夜赶往长安，感叹汗马功劳无存、忠良无下场。,llm
pdf_01000000__01004004___a91ecdeeef,盗宗卷,2,【第二场】,【第二场】,奔波救难,奔波救难,1,田子春,田子春改扮成道家模样，不分昼夜赶往长安，感叹汗马功劳无存、忠良无下场。,llm
pdf_01000000__01004004___a91ecdeeef,盗宗卷,3,【第三场】,【第三场】,智谋,权谋,1,二衙役；田子春；衙役乙；衙役甲；陈平；院子,陈平通过卦象得知田子春前来盗卷，设计诱其犯夜并带入府中。田子春直言盗卷目的，陈平谎称宗卷已焚，田子春威胁限三日交出宗卷，陈平转而邀请张大人赴宴。,llm
pdf_01000000__01004004___a91ecdeeef,盗宗卷,3,【第三场】,【第三场】,权力斗争,权力斗争,1,二衙役；田子春；衙役乙；衙役甲；陈平；院子,陈平通过卦象得知田子春前来盗卷，设计诱其犯夜并带入府中。田子春直言盗卷目的，陈平谎称宗卷已焚，田子春威胁限三日交出宗卷，陈平转而邀请张大人赴宴。,llm
pdf_01000000__01004004___a91ecdeeef,盗宗卷,3,【第三场】,【第三场】,欺骗与试探,欺骗与试探,1,二衙役；田子春；衙役乙；衙役甲；陈平；院子,陈平通过卦象得知田子春前来盗卷，设计诱其犯夜并带入府中。田子春直言盗卷目的，陈平谎称宗卷已焚，田子春威胁限三日交出宗卷，陈平转而邀请张大人赴宴。,llm
pdf_01000000__01004004___a91ecdeeef,盗宗卷,5,【第五场】,【第五场】,忠义,忠义,1,家院；张夫人；张秀玉；张苍；陈平,陈平设宴试探张苍，索要宗卷，张苍因宗卷被焚而惊慌，回家欲自尽，其女张秀玉献出所抄副本，张苍转忧为喜，决定与陈平理论。,llm
pdf_01000000__01004004___a91ecdeeef,盗宗卷,5,【第五场】,【第五场】,智慧,智慧,1,家院；张夫人；张秀玉；张苍；陈平,陈平设宴试探张苍，索要宗卷，张苍因宗卷被焚而惊慌，回家欲自尽，其女张秀玉献出所抄副本，张苍转忧为喜，决定与陈平理论。,llm
pdf_01000000__01004004___a91ecdeeef,盗宗卷,5,【第五场】,【第五场】,家族存亡,悲情,1,家院；张夫人；张秀玉；张苍；陈平,陈平设宴试探张苍，索要宗卷，张苍因宗卷被焚而惊慌，回家欲自尽，其女张秀玉献出所抄副本，张苍转忧为喜，决定与陈平理论。,llm
pdf_01000000__01004004___a91ecdeeef,盗宗卷,6,【第六场】,【第六场】,忠义,忠义,1,家院；张苍；田子春；陈平,张苍携真宗卷至陈平府，陈平先戏弄张苍，后张苍反戏陈平，二人和解。陈平引见田子春，三人共议内应之事。,llm
pdf_01000000__01004004___a91ecdeeef,盗宗卷,6,【第六场】,【第六场】,智谋,权谋,1,家院；张苍；田子春；陈平,张苍携真宗卷至陈平府，陈平先戏弄张苍，后张苍反戏陈平，二人和解。陈平引见田子春，三人共议内应之事。,llm
pdf_01000000__01004004___a91ecdeeef,盗宗卷,6,【第六场】,【第六场】,权力博弈,权力博弈,1,家院；张苍；田子春；陈平,张苍携真宗卷至陈平府，陈平先戏弄张苍，后张苍反戏陈平，二人和解。陈平引见田子春，三人共议内应之事。,llm
pdf_01000000__01004004___a91ecdeeef,盗宗卷,0,序幕/前置内容,序幕/前置内容,权谋,权谋,1,,# 《盗宗卷》；# （一名：《兴汉图》；一名：《火烧宗卷》）,keyword
pdf_01000000__01004004___a91ecdeeef,盗宗卷,0,序幕/前置内容,序幕/前置内容,家国,家国,1,,# 《盗宗卷》；# （一名：《兴汉图》；一名：《火烧宗卷》）,keyword
pdf_01000000__01004004___a91ecdeeef,盗宗卷,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《盗宗卷》；# （一名：《兴汉图》；一名：《火烧宗卷》）,keyword
pdf_01000000__01004004___a91ecdeeef,盗宗卷,0,序幕/前置内容,序幕/前置内容,情爱,情爱,1,,# 《盗宗卷》；# （一名：《兴汉图》；一名：《火烧宗卷》）,keyword
pdf_01000000__01004004___a91ecdeeef,盗宗卷,0,序幕/前置内容,序幕/前置内容,离散,离散,1,,# 《盗宗卷》；# （一名：《兴汉图》；一名：《火烧宗卷》）,keyword
pdf_01000000__01004004___a91ecdeeef,盗宗卷,4,【第四场】,【第四场】,权谋,权谋,1,,,keyword
pdf_01000000__01004004___a91ecdeeef,盗宗卷,4,【第四场】,【第四场】,家国,家国,1,,,keyword
pdf_01000000__01004004___a91ecdeeef,盗宗卷,4,【第四场】,【第四场】,亲情,亲情,1,,,keyword
pdf_01000000__01004004___a91ecdeeef,盗宗卷,4,【第四场】,【第四场】,情爱,情爱,1,,,keyword
pdf_01000000__01004004___a91ecdeeef,盗宗卷,4,【第四场】,【第四场】,离散,离散,1,,,keyword
