doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01004004___a91ecdeeef,盗宗卷,忠义,4,吕后召见张苍索要宗卷，张苍呈上后吕后赐酒并火焚宗卷。陈平上殿质问吕后是否谋汉，吕后称赞其才能。张苍发现宗卷被焚，惊慌失措。,llm
pdf_01000000__01004004___a91ecdeeef,盗宗卷,权谋,4,陈平通过卦象得知田子春前来盗卷，设计诱其犯夜并带入府中。田子春直言盗卷目的，陈平谎称宗卷已焚，田子春威胁限三日交出宗卷，陈平转而邀请张大人赴宴。,llm
pdf_01000000__01004004___a91ecdeeef,盗宗卷,家国,3,吕后召见张苍索要宗卷，张苍呈上后吕后赐酒并火焚宗卷。陈平上殿质问吕后是否谋汉，吕后称赞其才能。张苍发现宗卷被焚，惊慌失措。,llm
pdf_01000000__01004004___a91ecdeeef,盗宗卷,亲情,2,# 《盗宗卷》；# （一名：《兴汉图》；一名：《火烧宗卷》）,keyword
pdf_01000000__01004004___a91ecdeeef,盗宗卷,情爱,2,# 《盗宗卷》；# （一名：《兴汉图》；一名：《火烧宗卷》）,keyword
pdf_01000000__01004004___a91ecdeeef,盗宗卷,权力斗争,2,吕后召见张苍索要宗卷，张苍呈上后吕后赐酒并火焚宗卷。陈平上殿质问吕后是否谋汉，吕后称赞其才能。张苍发现宗卷被焚，惊慌失措。,llm
pdf_01000000__01004004___a91ecdeeef,盗宗卷,离散,2,# 《盗宗卷》；# （一名：《兴汉图》；一名：《火烧宗卷》）,keyword
pdf_01000000__01004004___a91ecdeeef,盗宗卷,奔波救难,1,田子春改扮成道家模样，不分昼夜赶往长安，感叹汗马功劳无存、忠良无下场。,llm
pdf_01000000__01004004___a91ecdeeef,盗宗卷,悲情,1,陈平设宴试探张苍，索要宗卷，张苍因宗卷被焚而惊慌，回家欲自尽，其女张秀玉献出所抄副本，张苍转忧为喜，决定与陈平理论。,llm
pdf_01000000__01004004___a91ecdeeef,盗宗卷,智慧,1,陈平设宴试探张苍，索要宗卷，张苍因宗卷被焚而惊慌，回家欲自尽，其女张秀玉献出所抄副本，张苍转忧为喜，决定与陈平理论。,llm
pdf_01000000__01004004___a91ecdeeef,盗宗卷,权力博弈,1,张苍携真宗卷至陈平府，陈平先戏弄张苍，后张苍反戏陈平，二人和解。陈平引见田子春，三人共议内应之事。,llm
pdf_01000000__01004004___a91ecdeeef,盗宗卷,欺骗与试探,1,陈平通过卦象得知田子春前来盗卷，设计诱其犯夜并带入府中。田子春直言盗卷目的，陈平谎称宗卷已焚，田子春威胁限三日交出宗卷，陈平转而邀请张大人赴宴。,llm
