doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01004006___13b2265b9d,辕门射戟,1,【第一场】,雷同,纪灵,对话/应答,对话,1,大将威风凛，腾腾杀气高。金盔齐眉扫，身披血战袍。（同白） （吴兰）（雷同），请了请了。元帅发兵在此伺候。,pdf_01000000__01004006___13b2265b9d__line__000029,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,1,【第一场】,纪灵,雷同,对话/应答,对话,1,大将生来盖世雄，十万雄兵称英雄。今日夺取小沛地，灭去刘备方称心。（白） 本帅，纪灵。奉了我主之命，夺取小沛，灭却刘备。又想前面乃是徐州吕布镇守，想那刘备与吕布两,pdf_01000000__01004006___13b2265b9d__line__000033,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,1,【第一场】,纪灵,刘备,命令/请求,命令,1,大将生来盖世雄，十万雄兵称英雄。今日夺取小沛地，灭去刘备方称心。（白） 本帅，纪灵。奉了我主之命，夺取小沛，灭却刘备。又想前面乃是徐州吕布镇守，想那刘备与吕布两,pdf_01000000__01004006___13b2265b9d__line__000033,mention,
pdf_01000000__01004006___13b2265b9d,辕门射戟,1,【第一场】,纪灵,吕布,命令/请求,命令,1,大将生来盖世雄，十万雄兵称英雄。今日夺取小沛地，灭去刘备方称心。（白） 本帅，纪灵。奉了我主之命，夺取小沛，灭却刘备。又想前面乃是徐州吕布镇守，想那刘备与吕布两,pdf_01000000__01004006___13b2265b9d__line__000033,mention,
pdf_01000000__01004006___13b2265b9d,辕门射戟,1,【第一场】,雷同,纪灵,提及,提及,1,齐备多时。纪灵 （白） 起兵前往。,pdf_01000000__01004006___13b2265b9d__line__000037,mention,
pdf_01000000__01004006___13b2265b9d,辕门射戟,2,【第二场】,吕布,旗牌,对话/应答,对话,2,辕门站立三千将，统领貔貅百万郎。（念） 少小英雄世间奇，手持画杆方天戟。跨下赤兔胭脂马，战败桃园三结义。（白） 某，姓吕名布字奉先，乃是西川邬原郡人氏。是我占据,pdf_01000000__01004006___13b2265b9d__line__000045,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,2,【第二场】,旗牌,中军,对话/应答,对话,2,"人行千里路,马过万重山。",pdf_01000000__01004006___13b2265b9d__line__000047,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,2,【第二场】,中军,旗牌,对话/应答,对话,2,何人到此?,pdf_01000000__01004006___13b2265b9d__line__000047,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,2,【第二场】,中军,吕布,对话/应答,对话,2,候着。启温侯:送礼人要见。,pdf_01000000__01004006___13b2265b9d__line__000047,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,2,【第二场】,吕布,中军,对话/应答,对话,2,传。,pdf_01000000__01004006___13b2265b9d__line__000047,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,2,【第二场】,旗牌,吕布,对话/应答,对话,2,参见温侯。,pdf_01000000__01004006___13b2265b9d__line__000047,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,2,【第二场】,吕布,下书人,对话/应答,对话,2,"纪将军送来一份厚礼,不知为了何事?",pdf_01000000__01004006___13b2265b9d__line__000047,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,2,【第二场】,下书人,中军,对话/应答,对话,2,"奉了使君命,送书到此来。",pdf_01000000__01004006___13b2265b9d__line__000047,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,2,【第二场】,中军,下书人,对话/应答,对话,2,何事?,pdf_01000000__01004006___13b2265b9d__line__000047,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,2,【第二场】,下书人,吕布,对话/应答,对话,2,参见温侯。,pdf_01000000__01004006___13b2265b9d__line__000047,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,2,【第二场】,吕布,纪灵,命令/请求,命令,1,"哦吓,原来纪灵带领十万之众,夺取小沛。那刘使君请我前去,拔刀相助,这便如何是好?哦,有了,代我修书两封。请他二人到此。与他两家解围。中军,浓墨伺候。",pdf_01000000__01004006___13b2265b9d__line__000047,mention,
pdf_01000000__01004006___13b2265b9d,辕门射戟,3,【第三场】,报子,刘备,对话/应答,对话,1,"纪灵带领人马,夺取小沛。",pdf_01000000__01004006___13b2265b9d__line__000059,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,3,【第三场】,刘备,龙套,对话/应答,对话,1,"来,有请二爷、三爷。",pdf_01000000__01004006___13b2265b9d__line__000059,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,3,【第三场】,龙套,关羽,对话/应答,对话,1,有请二爷、三爷。,pdf_01000000__01004006___13b2265b9d__line__000059,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,3,【第三场】,关羽,张飞,对话/应答,对话,5,"胸中志气广略韬,",pdf_01000000__01004006___13b2265b9d__line__000059,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,3,【第三场】,张飞,关羽,对话/应答,对话,3,大破黄巾美名标。,pdf_01000000__01004006___13b2265b9d__line__000059,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,3,【第三场】,张飞,刘备,对话/应答,对话,16,参见大哥。,pdf_01000000__01004006___13b2265b9d__line__000059,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,3,【第三场】,刘备,张飞,对话/应答,对话,13,"二弟少礼,两厢请坐。",pdf_01000000__01004006___13b2265b9d__line__000059,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,3,【第三场】,刘备,旗牌,对话/应答,对话,1,伺候了。,pdf_01000000__01004006___13b2265b9d__line__000059,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,3,【第三场】,旗牌,张飞,对话/应答,对话,1,吕温侯有书信在此。,pdf_01000000__01004006___13b2265b9d__line__000059,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,3,【第三场】,刘备,关羽,对话/应答,对话,2,"温侯有书信到来,待我拆开观看。",pdf_01000000__01004006___13b2265b9d__line__000059,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,3,【第三场】,关羽,刘备,对话/应答,对话,1,"大哥,书信上面,写得什么言语?",pdf_01000000__01004006___13b2265b9d__line__000061,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,3,【第三场】,报子,纪灵,提及,提及,1,"纪灵带领人马,夺取小沛。",pdf_01000000__01004006___13b2265b9d__line__000059,mention,
pdf_01000000__01004006___13b2265b9d,辕门射戟,3,【第三场】,刘备,纪灵,提及,提及,1,"二弟、三弟有所不知,只因纪灵带领人马,夺取小沛。",pdf_01000000__01004006___13b2265b9d__line__000059,mention,
pdf_01000000__01004006___13b2265b9d,辕门射戟,3,【第三场】,张飞,纪灵,提及,提及,2,"你我弟兄三人开城,与那纪灵决一死战。",pdf_01000000__01004006___13b2265b9d__line__000059,mention,
pdf_01000000__01004006___13b2265b9d,辕门射戟,3,【第三场】,张飞,纪灵,对抗,对抗,1,"杀了纪灵,擒了袁术。",pdf_01000000__01004006___13b2265b9d__line__000059,mention,
pdf_01000000__01004006___13b2265b9d,辕门射戟,3,【第三场】,张飞,吕布,提及,提及,2,乃是吕布狗贼的信!,pdf_01000000__01004006___13b2265b9d__line__000059,mention,
pdf_01000000__01004006___13b2265b9d,辕门射戟,3,【第三场】,关羽,吕布,问答,对话,1,"哪里是不去,分明惧怕吕布!",pdf_01000000__01004006___13b2265b9d__line__000061,mention,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,关羽,张飞,对话/应答,对话,1,离了小沛地，,pdf_01000000__01004006___13b2265b9d__line__000073,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,张飞,刘备,对话/应答,对话,19,来此狗辕门！,pdf_01000000__01004006___13b2265b9d__line__000077,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,刘备,张飞,对话/应答,对话,19,来此已是辕门，我心中有些害怕。,pdf_01000000__01004006___13b2265b9d__line__000079,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,张飞,中军,对话/应答,对话,3,我连话都不会讲呢？呔，有人么，滚出一个来！,pdf_01000000__01004006___13b2265b9d__line__000093,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,中军,张飞,对话/应答,对话,3,什么人？,pdf_01000000__01004006___13b2265b9d__line__000095,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,刘备,中军,对话/应答,对话,1,"你站远些。烦劳通禀,桃园弟兄求见。",pdf_01000000__01004006___13b2265b9d__line__000101,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,中军,吕布,对话/应答,对话,1,少站一时。启禀温侯:桃园弟兄求见。,pdf_01000000__01004006___13b2265b9d__line__000101,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,吕布,中军,对话/应答,对话,1,有请。,pdf_01000000__01004006___13b2265b9d__line__000101；pdf_01000000__01004006___13b2265b9d__line__000103,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,中军,刘备,对话/应答,对话,1,有请。,pdf_01000000__01004006___13b2265b9d__line__000101；pdf_01000000__01004006___13b2265b9d__line__000103,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,刘备,吕布,对话/应答,对话,9,"温侯,",pdf_01000000__01004006___13b2265b9d__line__000101,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,吕布,关羽,对话/应答,对话,3,使君。,pdf_01000000__01004006___13b2265b9d__line__000101,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,关羽,吕布,对话/应答,对话,2,"温侯,",pdf_01000000__01004006___13b2265b9d__line__000101,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,吕布,张飞,对话/应答,对话,7,"吓,贤弟......",pdf_01000000__01004006___13b2265b9d__line__000101,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,张飞,吕布,对话/应答,对话,8,"呔,俺大哥乃中山靖王之后,孝景皇帝阁下玄孙,你敢叫他贤弟!",pdf_01000000__01004006___13b2265b9d__line__000101,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,吕布,刘备,对话/应答,对话,9,这个......,pdf_01000000__01004006___13b2265b9d__line__000101；pdf_01000000__01004006___13b2265b9d__line__000103,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,关羽,刘备,对话/应答,对话,1,温侯驾安。,pdf_01000000__01004006___13b2265b9d__line__000101,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,吕布,报子,对话/应答,对话,1,"等纪灵到此,自有定夺。",pdf_01000000__01004006___13b2265b9d__line__000103,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,报子,吕布,对话/应答,对话,2,纪将军到。,pdf_01000000__01004006___13b2265b9d__line__000103,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,吕布,纪灵,对话/应答,对话,13,"不妨,有某担任。",pdf_01000000__01004006___13b2265b9d__line__000103,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,纪灵,吕布,对话/应答,对话,13,温侯!,pdf_01000000__01004006___13b2265b9d__line__000103,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,刘备,纪灵,对话/应答,对话,2,"吓,纪将军,",pdf_01000000__01004006___13b2265b9d__line__000103,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,张飞,纪灵,对话/应答,对话,2,哇呀!,pdf_01000000__01004006___13b2265b9d__line__000059；pdf_01000000__01004006___13b2265b9d__line__000103,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,纪灵,龙套,对话/应答,对话,1,是哪里响雷?,pdf_01000000__01004006___13b2265b9d__line__000103,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,龙套,纪灵,对话/应答,对话,1,张将军虎威。,pdf_01000000__01004006___13b2265b9d__line__000103,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,纪灵,张飞,对话/应答,对话,3,吓了我一跳!,pdf_01000000__01004006___13b2265b9d__line__000103,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,纪灵,刘备,对话/应答,对话,1,"多蒙温侯赐琼浆,",pdf_01000000__01004006___13b2265b9d__line__000103,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,张飞,报子,对话/应答,对话,1,"大哥天色不早了,你我弟兄回去了!",pdf_01000000__01004006___13b2265b9d__line__000105,adjacency,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,张飞,吕布,问答,对话,1,吕布狗子，可曾升帐？,pdf_01000000__01004006___13b2265b9d__line__000097,mention,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,张飞,吕布,命令/请求,命令,1,"咳,俺老张不与吕布狗子见礼,俺大哥在一旁“桃园”“桃园”呢!俺老张一生一世,就吃这“桃园”亏了。吕布狗子,请了!",pdf_01000000__01004006___13b2265b9d__line__000101,mention,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,吕布,纪灵,提及,提及,1,"等纪灵到此,自有定夺。",pdf_01000000__01004006___13b2265b9d__line__000103,mention,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,张飞,纪灵,对抗,对抗,1,"吠,纪灵!想你带领不过十万之众,可记得大破黄巾雄兵百万,被俺枪挑鞭打!",pdf_01000000__01004006___13b2265b9d__line__000105,mention,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,报子,纪灵,提及,提及,1,纪灵讨战。,pdf_01000000__01004006___13b2265b9d__line__000105,mention,
pdf_01000000__01004006___13b2265b9d,辕门射戟,1,【第一场】,龙套,纪灵,同场共现,同场共现,1,（四龙套同上，纪灵上。纪灵上高台点将。）,,stage_direction,
pdf_01000000__01004006___13b2265b9d,辕门射戟,1,【第一场】,纪灵,龙套,同场共现,同场共现,1,（四龙套同上，纪灵上。纪灵上高台点将。）,,stage_direction,
pdf_01000000__01004006___13b2265b9d,辕门射戟,3,【第三场】,龙套,刘备,同场共现,同场共现,1,（刘备上，四龙套同上。）,,stage_direction,
pdf_01000000__01004006___13b2265b9d,辕门射戟,3,【第三场】,刘备,龙套,同场共现,同场共现,1,（刘备上，四龙套同上。）,,stage_direction,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,刘备,吕布,同场共现,同场共现,1,（吕布坐。刘备、关羽同上。）,pdf_01000000__01004006___13b2265b9d__line__000071,stage_direction,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,张飞,刘备,同场共现,同场共现,1,（刘备、关羽、张飞同下。）,pdf_01000000__01004006___13b2265b9d__line__000071,stage_direction,
pdf_01000000__01004006___13b2265b9d,辕门射戟,4,【第四场】,吕布,纪灵,同场共现,同场共现,1,（纪灵、吕布会阵，同开打。纪灵败下。）,,stage_direction,
pdf_01000000__01004006___13b2265b9d,辕门射戟,1,【第一场】,纪灵,吴兰,命令,命令,1,纪灵问人马可齐，吴兰答齐备多时,,llm,
pdf_01000000__01004006___13b2265b9d,辕门射戟,1,【第一场】,纪灵,雷同,命令,命令,1,纪灵问人马可齐，雷同答齐备多时,,llm,
