doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01004006___13b2265b9d,辕门射戟,战争,权谋,2,【第二场】,scene_cooccurrence
pdf_01000000__01004006___13b2265b9d,辕门射戟,冲突,权威,1,【第四场】,scene_cooccurrence
pdf_01000000__01004006___13b2265b9d,辕门射戟,冲突,结盟,1,【第四场】,scene_cooccurrence
pdf_01000000__01004006___13b2265b9d,辕门射戟,冲突,调解,1,【第四场】,scene_cooccurrence
pdf_01000000__01004006___13b2265b9d,辕门射戟,喜剧,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004006___13b2265b9d,辕门射戟,喜剧,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004006___13b2265b9d,辕门射戟,喜剧,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004006___13b2265b9d,辕门射戟,外交斡旋,忠义,1,【第三场】,scene_cooccurrence
pdf_01000000__01004006___13b2265b9d,辕门射戟,外交斡旋,战争,1,【第三场】,scene_cooccurrence
pdf_01000000__01004006___13b2265b9d,辕门射戟,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004006___13b2265b9d,辕门射戟,家国,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004006___13b2265b9d,辕门射戟,征伐,权谋,1,【第一场】,scene_cooccurrence
pdf_01000000__01004006___13b2265b9d,辕门射戟,忠义,战争,1,【第三场】,scene_cooccurrence
pdf_01000000__01004006___13b2265b9d,辕门射戟,战争,调解,1,【第二场】,scene_cooccurrence
pdf_01000000__01004006___13b2265b9d,辕门射戟,权威,结盟,1,【第四场】,scene_cooccurrence
pdf_01000000__01004006___13b2265b9d,辕门射戟,权威,调解,1,【第四场】,scene_cooccurrence
pdf_01000000__01004006___13b2265b9d,辕门射戟,权谋,调解,1,【第二场】,scene_cooccurrence
pdf_01000000__01004006___13b2265b9d,辕门射戟,结盟,调解,1,【第四场】,scene_cooccurrence
