doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,text,target,target_char_id,emotion_tag,speech_act,entity_tags,action_tags,is_key_line,emotion_derived_by,target_derived_by,llm_confidence,raw_line
pdf_01000000__01004007___a24f152422,取荥阳,pdf_01000000__01004007___a24f152422__line__000001,pdf_01000000__01004007___a24f152422__scene__000,01004007_取荥阳.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004007_取荥阳.pdf,01000000/01004007_取荥阳.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,0,序幕/前置内容,1,narration,narration,,,,# 《取荥阳》,,,,,,,0,,,,# 《取荥阳》
pdf_01000000__01004007___a24f152422,取荥阳,pdf_01000000__01004007___a24f152422__line__000003,pdf_01000000__01004007___a24f152422__scene__000,01004007_取荥阳.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004007_取荥阳.pdf,01000000/01004007_取荥阳.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,0,序幕/前置内容,3,narration,narration,,,,# （一名：《楚汉争》；一名：《纪信替主》）,纪信,pdf_01000000__01004007___a24f152422__char__a372b268f6,,,纪信,,1,,rule,,# （一名：《楚汉争》；一名：《纪信替主》）
pdf_01000000__01004007___a24f152422,取荥阳,pdf_01000000__01004007___a24f152422__line__000029,pdf_01000000__01004007___a24f152422__scene__001,01004007_取荥阳.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004007_取荥阳.pdf,01000000/01004007_取荥阳.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,29,stage_direction,stage_direction,,,张良、陈平同上。,,,,,,,上,0,,,,（张良、陈平同上。）
pdf_01000000__01004007___a24f152422,取荥阳,pdf_01000000__01004007___a24f152422__line__000031,pdf_01000000__01004007___a24f152422__scene__001,01004007_取荥阳.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004007_取荥阳.pdf,01000000/01004007_取荥阳.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,31,dialogue,dialogue,张良,pdf_01000000__01004007___a24f152422__char__e10527aec4,念,,,,,,,,0,,,,张良 （念）
pdf_01000000__01004007___a24f152422,取荥阳,pdf_01000000__01004007___a24f152422__line__000033,pdf_01000000__01004007___a24f152422__scene__001,01004007_取荥阳.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004007_取荥阳.pdf,01000000/01004007_取荥阳.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,33,dialogue,dialogue,陈平,pdf_01000000__01004007___a24f152422__char__6d6196f178,念,,,,,,,,0,,,,陈平 （念）
pdf_01000000__01004007___a24f152422,取荥阳,pdf_01000000__01004007___a24f152422__line__000035,pdf_01000000__01004007___a24f152422__scene__001,01004007_取荥阳.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004007_取荥阳.pdf,01000000/01004007_取荥阳.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,35,dialogue,dialogue,张良,pdf_01000000__01004007___a24f152422__char__e10527aec4,白,,,,,,,念白,0,,,,张良 （白）
pdf_01000000__01004007___a24f152422,取荥阳,pdf_01000000__01004007___a24f152422__line__000037,pdf_01000000__01004007___a24f152422__scene__001,01004007_取荥阳.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004007_取荥阳.pdf,01000000/01004007_取荥阳.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,37,dialogue,dialogue,陈平,pdf_01000000__01004007___a24f152422__char__6d6196f178,白,,,,,,,念白,0,,,,陈平 （白）
pdf_01000000__01004007___a24f152422,取荥阳,pdf_01000000__01004007___a24f152422__line__000039,pdf_01000000__01004007___a24f152422__scene__001,01004007_取荥阳.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004007_取荥阳.pdf,01000000/01004007_取荥阳.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,39,narration,narration,,,,张良、,张良,pdf_01000000__01004007___a24f152422__char__e10527aec4,,,张良,,0,,rule,,张良、
pdf_01000000__01004007___a24f152422,取荥阳,pdf_01000000__01004007___a24f152422__line__000041,pdf_01000000__01004007___a24f152422__scene__001,01004007_取荥阳.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004007_取荥阳.pdf,01000000/01004007_取荥阳.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,41,dialogue,dialogue,陈平,pdf_01000000__01004007___a24f152422__char__6d6196f178,同白,,,,,,,念白,0,,,,陈平 （同白）
pdf_01000000__01004007___a24f152422,取荥阳,pdf_01000000__01004007___a24f152422__line__000043,pdf_01000000__01004007___a24f152422__scene__001,01004007_取荥阳.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01004007_取荥阳.pdf,01000000/01004007_取荥阳.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,43,stage_direction,stage_direction,,,四太监引刘邦同上。,,,,,,,上,0,,,,（四太监引刘邦同上。）
