doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01004007___a24f152422,取荥阳,1,【第一场】,刘邦,项羽,对话/应答,对话,4,"刀枪剑戟似秋霜。孤王一见魂胆丧,只怕难保小荥阳。",pdf_01000000__01004007___a24f152422__line__000097,adjacency,
pdf_01000000__01004007___a24f152422,取荥阳,1,【第一场】,项羽,刘邦,对话/应答,对话,4,"百战百胜天下扬。多少英雄刀头丧,能征惯战鞭下亡。坐在雕鞍举目望,抬头只见小刘邦。左是张良狗奸党,右是陈平小儿郎。拍马上前把话讲,高声叫骂汉刘邦:你本沛县一亭长,",pdf_01000000__01004007___a24f152422__line__000097,adjacency,
pdf_01000000__01004007___a24f152422,取荥阳,1,【第一场】,刘邦,陈平,对话/应答,对话,2,"再与先生作商量。二位先生,霸王围困荥阳甚急,有何妙计?",pdf_01000000__01004007___a24f152422__line__000099,adjacency,
pdf_01000000__01004007___a24f152422,取荥阳,1,【第一场】,陈平,张良,对话/应答,对话,2,"启大王:莫如修书一封,下往燕赵,命元帅速将人马撤回,迎击霸王。如此待孤修书。",pdf_01000000__01004007___a24f152422__line__000099,adjacency,
pdf_01000000__01004007___a24f152422,取荥阳,1,【第一场】,张良,刘邦,对话/应答,对话,4,"且慢,燕赵离荥阳甚远,相隔千里,一时怎能撤回。倘有人献上一计,将荥阳之水,从上而下,灌冲前来,这荥阳化成齑粉矣。",pdf_01000000__01004007___a24f152422__line__000099,adjacency,
pdf_01000000__01004007___a24f152422,取荥阳,1,【第一场】,刘邦,张良,对话/应答,对话,3,先生有何妙计?,pdf_01000000__01004007___a24f152422__line__000099,adjacency,
pdf_01000000__01004007___a24f152422,取荥阳,1,【第一场】,张良,陈平,对话/应答,对话,1,臣领旨。,pdf_01000000__01004007___a24f152422__line__000099,adjacency,
pdf_01000000__01004007___a24f152422,取荥阳,1,【第一场】,陈平,刘邦,对话/应答,对话,1,"好个能言张子房, 胸中韬略妙非常。 亚赛周朝姜吕尚, 但愿保主出荥阳。",pdf_01000000__01004007___a24f152422__line__000099,adjacency,
pdf_01000000__01004007___a24f152422,取荥阳,1,【第一场】,项羽,刘邦,对抗,对抗,2,"百战百胜天下扬。多少英雄刀头丧,能征惯战鞭下亡。坐在雕鞍举目望,抬头只见小刘邦。左是张良狗奸党,右是陈平小儿郎。拍马上前把话讲,高声叫骂汉刘邦:你本沛县一亭长,",pdf_01000000__01004007___a24f152422__line__000097,mention,
pdf_01000000__01004007___a24f152422,取荥阳,1,【第一场】,项羽,陈平,对抗,对抗,1,"百战百胜天下扬。多少英雄刀头丧,能征惯战鞭下亡。坐在雕鞍举目望,抬头只见小刘邦。左是张良狗奸党,右是陈平小儿郎。拍马上前把话讲,高声叫骂汉刘邦:你本沛县一亭长,",pdf_01000000__01004007___a24f152422__line__000097,mention,
