doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01004007___a24f152422,取荥阳,纪信,刘邦,命令,23,命令；对话,纪信愿替主赴难，刘邦最终应允并托付后事,llm,
pdf_01000000__01004007___a24f152422,取荥阳,刘邦,纪信,对话,17,劝阻；对话,平身。,adjacency,
pdf_01000000__01004007___a24f152422,取荥阳,张良,刘邦,协助,15,协助；对话,臣有一计，可保主公，驾出荥阳,llm,
pdf_01000000__01004007___a24f152422,取荥阳,刘邦,张良,命令,13,命令；对话；提及,就烦先生，速回馆驿，议论此事,llm,
pdf_01000000__01004007___a24f152422,取荥阳,张良,纪信,汇报,12,协助；对话；提及；汇报,"秉忠报国是纪信,片言感动替主心。非是我张良德薄幸,",mention,
pdf_01000000__01004007___a24f152422,取荥阳,项羽,刘邦,对抗,12,对抗；对话；提及,"百战百胜天下扬。多少英雄刀头丧,能征惯战鞭下亡。坐在雕鞍举目望,抬头只见小刘邦。左是张良狗奸党,右是陈平小儿郎。拍马上前把话讲,高声叫骂汉刘邦:你本沛县一亭长,",llm,
pdf_01000000__01004007___a24f152422,取荥阳,刘邦,项羽,对抗,9,对抗；对话,站立在城楼把话讲，开言尊一声楚霸王,llm,
pdf_01000000__01004007___a24f152422,取荥阳,陈平,刘邦,汇报,8,协助；对话；汇报,陈平与张良一同向刘邦汇报纪信愿替主,llm,
pdf_01000000__01004007___a24f152422,取荥阳,张良,随何,对话,7,,"吓,众位大人。",adjacency,
pdf_01000000__01004007___a24f152422,取荥阳,纪信,张良,提及,7,对话；提及,"哦。纪信闻言胆战惊,背转身来自沉吟:吾主爷荥阳遭围困,好一似孔子困蔡城。韩信带兵燕赵境,季布、彭越往东京;周信四路安城郡,并无有能将退贼兵。张良挂画,(西皮快板",mention,
pdf_01000000__01004007___a24f152422,取荥阳,随何,张良,对话,6,,"吓,师爷。",adjacency,
pdf_01000000__01004007___a24f152422,取荥阳,刘邦,陈平,提及,5,对话；提及,"张良陈平下宝帐, 再叫殿前众儿郎: 免战牌高挂敌楼上, 自有先生保安康。",mention,
pdf_01000000__01004007___a24f152422,取荥阳,张良,陈平,同场共现,4,同场共现；对话,（张良、陈平同上。）,stage_direction,
pdf_01000000__01004007___a24f152422,取荥阳,随何,刘邦,汇报,4,对话；汇报,随何回报霸王同意东门纳降,llm,
pdf_01000000__01004007___a24f152422,取荥阳,张良,童儿,命令,3,同场共现；命令；对话,执我名帖，邀集文武，明日齐至馆驿赴宴,llm,
pdf_01000000__01004007___a24f152422,取荥阳,随何,曹参,对话,3,,下官隋何。,adjacency,
pdf_01000000__01004007___a24f152422,取荥阳,曹参,随何,对话,2,,列位请了。,adjacency,
pdf_01000000__01004007___a24f152422,取荥阳,纪信,随何,对话,2,,下官纪信。,adjacency,
pdf_01000000__01004007___a24f152422,取荥阳,陈平,张良,对话,2,,"启大王:莫如修书一封,下往燕赵,命元帅速将人马撤回,迎击霸王。如此待孤修书。",adjacency,
pdf_01000000__01004007___a24f152422,取荥阳,陈平,纪信,提及,2,对话；提及,"纪信可称真梁栋,忙进黄罗见主公。",mention,
pdf_01000000__01004007___a24f152422,取荥阳,龙套,纪信,同场共现,2,,（四龙套同上，曹参、周勃、纪信、随何同上。〖牌子〗。）,stage_direction,
pdf_01000000__01004007___a24f152422,取荥阳,刘邦,随何,对话,1,,"霸王见了书信,怎样的行事?",adjacency,
pdf_01000000__01004007___a24f152422,取荥阳,周勃,纪信,对话,1,,下官周勃。,adjacency,
pdf_01000000__01004007___a24f152422,取荥阳,曹参,周勃,对话,1,,下官曹参。,adjacency,
pdf_01000000__01004007___a24f152422,取荥阳,曹参,张良,对话,1,,打道。,adjacency,
pdf_01000000__01004007___a24f152422,取荥阳,童儿,张良,对话,1,,呼唤不敢迟。,adjacency,
pdf_01000000__01004007___a24f152422,取荥阳,纪信,众人,提及,1,,摆驾楚营。(众人同下。),mention,
pdf_01000000__01004007___a24f152422,取荥阳,随何,随何张良,对话,1,,酒已够了。,adjacency,
pdf_01000000__01004007___a24f152422,取荥阳,随何张良,纪信,对话,1,,"我等站齐,师爷观看。列位大人站齐了,待山人观看。我观列位大人,俱皆不像;唯有纪将军,与我主相似无二。要替主赴难,非纪将军不可。",adjacency,
pdf_01000000__01004007___a24f152422,取荥阳,项羽,张良,对抗,1,,"百战百胜天下扬。多少英雄刀头丧,能征惯战鞭下亡。坐在雕鞍举目望,抬头只见小刘邦。左是张良狗奸党,右是陈平小儿郎。拍马上前把话讲,高声叫骂汉刘邦:你本沛县一亭长,",mention,
pdf_01000000__01004007___a24f152422,取荥阳,项羽,陈平,对抗,1,,"百战百胜天下扬。多少英雄刀头丧,能征惯战鞭下亡。坐在雕鞍举目望,抬头只见小刘邦。左是张良狗奸党,右是陈平小儿郎。拍马上前把话讲,高声叫骂汉刘邦:你本沛县一亭长,",mention,
