doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01004007___a24f152422,取荥阳,1,【第一场】,【第一场】,君臣智谋,家国,1,刘邦；启大王；张良；探子；陈平；项羽,项羽围困荥阳，刘邦登城与项羽对骂，互揭旧怨。张良献计，拟寻忠义之士诈降，助刘邦脱困。,llm
pdf_01000000__01004007___a24f152422,取荥阳,1,【第一场】,【第一场】,楚汉争霸,楚汉争霸,1,刘邦；启大王；张良；探子；陈平；项羽,项羽围困荥阳，刘邦登城与项羽对骂，互揭旧怨。张良献计，拟寻忠义之士诈降，助刘邦脱困。,llm
pdf_01000000__01004007___a24f152422,取荥阳,1,【第一场】,【第一场】,忠义舍身,忠义,1,刘邦；启大王；张良；探子；陈平；项羽,项羽围困荥阳，刘邦登城与项羽对骂，互揭旧怨。张良献计，拟寻忠义之士诈降，助刘邦脱困。,llm
pdf_01000000__01004007___a24f152422,取荥阳,2,【第二场】,【第二场】,忠君,忠义,1,张良；童儿,张良为解荥阳之围，命童儿邀集文武明日赴宴共议军机，并准备悬挂田夫舍身救主图以激励众人。,llm
pdf_01000000__01004007___a24f152422,取荥阳,2,【第二场】,【第二场】,智谋,权谋,1,张良；童儿,张良为解荥阳之围，命童儿邀集文武明日赴宴共议军机，并准备悬挂田夫舍身救主图以激励众人。,llm
pdf_01000000__01004007___a24f152422,取荥阳,2,【第二场】,【第二场】,危机应对,悲情,1,张良；童儿,张良为解荥阳之围，命童儿邀集文武明日赴宴共议军机，并准备悬挂田夫舍身救主图以激励众人。,llm
pdf_01000000__01004007___a24f152422,取荥阳,3,【第三场】,【第三场】,忠义,忠义,1,刘邦；周勃；张良；张良曹参；曹参；纪信；陈平；隋何；随何；随何张良；随何张良曹参；随何纪信曹参,张良以车夫替主故事激励众将，纪信愿假扮刘邦赴难。刘邦不忍，纪信以死相逼，最终刘邦同意，安排诈降计策。,llm
pdf_01000000__01004007___a24f152422,取荥阳,3,【第三场】,【第三场】,牺牲,牺牲,1,刘邦；周勃；张良；张良曹参；曹参；纪信；陈平；隋何；随何；随何张良；随何张良曹参；随何纪信曹参,张良以车夫替主故事激励众将，纪信愿假扮刘邦赴难。刘邦不忍，纪信以死相逼，最终刘邦同意，安排诈降计策。,llm
pdf_01000000__01004007___a24f152422,取荥阳,3,【第三场】,【第三场】,智谋,权谋,1,刘邦；周勃；张良；张良曹参；曹参；纪信；陈平；隋何；随何；随何张良；随何张良曹参；随何纪信曹参,张良以车夫替主故事激励众将，纪信愿假扮刘邦赴难。刘邦不忍，纪信以死相逼，最终刘邦同意，安排诈降计策。,llm
pdf_01000000__01004007___a24f152422,取荥阳,0,序幕/前置内容,序幕/前置内容,忠义,忠义,1,,# 《取荥阳》；# （一名：《楚汉争》；一名：《纪信替主》）,keyword
pdf_01000000__01004007___a24f152422,取荥阳,0,序幕/前置内容,序幕/前置内容,权谋,权谋,1,,# 《取荥阳》；# （一名：《楚汉争》；一名：《纪信替主》）,keyword
pdf_01000000__01004007___a24f152422,取荥阳,0,序幕/前置内容,序幕/前置内容,战争,战争,1,,# 《取荥阳》；# （一名：《楚汉争》；一名：《纪信替主》）,keyword
pdf_01000000__01004007___a24f152422,取荥阳,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《取荥阳》；# （一名：《楚汉争》；一名：《纪信替主》）,keyword
pdf_01000000__01004007___a24f152422,取荥阳,0,序幕/前置内容,序幕/前置内容,离散,离散,1,,# 《取荥阳》；# （一名：《楚汉争》；一名：《纪信替主》）,keyword
