doc_id,doc_title,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01004009___abe4e0ff20,忠孝全,秦季龙,pdf_01000000__01004009___abe4e0ff20__char__3e8f57054a,14,135,1.0,0.9375,relations_aggregated
pdf_01000000__01004009___abe4e0ff20,忠孝全,王振,pdf_01000000__01004009___abe4e0ff20__char__4bbc7c76fc,12,144,0.8571,1.0,relations_aggregated
pdf_01000000__01004009___abe4e0ff20,忠孝全,中军,pdf_01000000__01004009___abe4e0ff20__char__a476b9af3e,12,106,0.8571,0.7361,relations_aggregated
pdf_01000000__01004009___abe4e0ff20,忠孝全,秦洪,pdf_01000000__01004009___abe4e0ff20__char__d1234dcda6,7,67,0.5,0.4653,relations_aggregated
pdf_01000000__01004009___abe4e0ff20,忠孝全,安太,pdf_01000000__01004009___abe4e0ff20__char__bf427c86fc,7,66,0.5,0.4583,relations_aggregated
pdf_01000000__01004009___abe4e0ff20,忠孝全,众人,pdf_01000000__01004009___abe4e0ff20__char__c3c0fd245f,7,22,0.5,0.1528,relations_aggregated
pdf_01000000__01004009___abe4e0ff20,忠孝全,金鳌,pdf_01000000__01004009___abe4e0ff20__char__6231eb3eec,7,15,0.5,0.1042,relations_aggregated
pdf_01000000__01004009___abe4e0ff20,忠孝全,龙套,pdf_01000000__01004009___abe4e0ff20__char__3dd88cb25d,5,22,0.3571,0.1528,relations_aggregated
pdf_01000000__01004009___abe4e0ff20,忠孝全,报子,pdf_01000000__01004009___abe4e0ff20__char__339fd0b209,3,3,0.2143,0.0208,relations_aggregated
pdf_01000000__01004009___abe4e0ff20,忠孝全,刀斧手,pdf_01000000__01004009___abe4e0ff20__char__d196dc36f7,2,2,0.1429,0.0139,relations_aggregated
pdf_01000000__01004009___abe4e0ff20,忠孝全,四番将,pdf_01000000__01004009___abe4e0ff20__char__90b975796d,2,2,0.1429,0.0139,relations_aggregated
pdf_01000000__01004009___abe4e0ff20,忠孝全,手,pdf_01000000__01004009___abe4e0ff20__char__3f548676bc,2,2,0.1429,0.0139,relations_aggregated
