doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01004009___abe4e0ff20,忠孝全,1,【第一场】,王振,中军,对话/应答,对话,9,"你到营门口料理料理,瞧瞧有人投军没有。不要装几巴。",pdf_01000000__01004009___abe4e0ff20__line__000025,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,1,【第一场】,中军,秦季龙,对话/应答,对话,4,是。,pdf_01000000__01004009___abe4e0ff20__line__000025；pdf_01000000__01004009___abe4e0ff20__line__000149；pdf_01000000__01004009___abe4e0ff20__line__000167,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,1,【第一场】,秦季龙,中军,对话/应答,对话,2,"上山擒虎易,开口告人难。",pdf_01000000__01004009___abe4e0ff20__line__000025,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,1,【第一场】,中军,王振,对话/应答,对话,10,启千岁:有一投军人求见。,pdf_01000000__01004009___abe4e0ff20__line__000025,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,1,【第一场】,秦季龙,王振,对话/应答,对话,14,是。,pdf_01000000__01004009___abe4e0ff20__line__000025；pdf_01000000__01004009___abe4e0ff20__line__000149；pdf_01000000__01004009___abe4e0ff20__line__000167,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,1,【第一场】,王振,秦季龙,对话/应答,对话,13,有何武艺?,pdf_01000000__01004009___abe4e0ff20__line__000025,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,1,【第一场】,秦季龙,安太,对话/应答,对话,1,是。,pdf_01000000__01004009___abe4e0ff20__line__000025；pdf_01000000__01004009___abe4e0ff20__line__000149；pdf_01000000__01004009___abe4e0ff20__line__000167,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,1,【第一场】,安太,中军,对话/应答,对话,16,"头带红一缨,假充营里兵。大炮一声响,三天难做声。",pdf_01000000__01004009___abe4e0ff20__line__000025,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,1,【第一场】,中军,安太,对话/应答,对话,13,哇!投军吃粮的么?,pdf_01000000__01004009___abe4e0ff20__line__000025,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,1,【第一场】,王振,安太,对话/应答,对话,12,"孩子们,你且在营门口站着,看做梦不做梦,再来回话。",pdf_01000000__01004009___abe4e0ff20__line__000025,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,1,【第一场】,安太,王振,对话/应答,对话,11,"吓吓,我叫安太。",pdf_01000000__01004009___abe4e0ff20__line__000025,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,1,【第一场】,安太,众人,对话/应答,对话,5,"是,照枪。",pdf_01000000__01004009___abe4e0ff20__line__000025,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,1,【第一场】,众人,安太,对话/应答,对话,6,"吠,怎么朝上打?",pdf_01000000__01004009___abe4e0ff20__line__000025,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,1,【第一场】,王振,众人,对话/应答,对话,1,"也罢。念尔投军一场,赏你一名火头军。",pdf_01000000__01004009___abe4e0ff20__line__000025,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,1,【第一场】,王振,秦季龙,问答,对话,1,果然好箭。秦季龙是哪里人氏?,pdf_01000000__01004009___abe4e0ff20__line__000025,mention,
pdf_01000000__01004009___abe4e0ff20,忠孝全,1,【第一场】,王振,秦季龙,命令/请求,命令,1,"中军,吩咐满营将官,与秦季龙观战。",pdf_01000000__01004009___abe4e0ff20__line__000025,mention,
pdf_01000000__01004009___abe4e0ff20,忠孝全,2,【第二场】,金鳌,报子,对话/应答,对话,1,泰岱山高沧海波，雪亮锋刃不用磨。鲸吞志气从云起，要夺锦绣旧山河。（白） 孤，金鳌是也。威镇海口，自立为王。领就雄兵百万，战将千员，欲夺中原江山，享受无疆之福。曾,pdf_01000000__01004009___abe4e0ff20__line__000031,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,2,【第二场】,报子,金鳌,对话/应答,对话,1,启大王：秦季龙讨战。金鳌 （白） 再探。,pdf_01000000__01004009___abe4e0ff20__line__000035,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,2,【第二场】,金鳌,秦季龙,对话/应答,对话,4,抬枪带马。,pdf_01000000__01004009___abe4e0ff20__line__000043,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,2,【第二场】,秦季龙,金鳌,对话/应答,对话,3,马前来的敢是金鳌？金鳌 （白） 然也。秦季龙 （白） 唗！胆大金鳌，天朝有何亏负于你，你兴兵犯界？好好收兵回国，各保疆土。如若不然，只恐性命难保。金鳌 （白） ,pdf_01000000__01004009___abe4e0ff20__line__000047,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,2,【第二场】,报子,秦季龙,提及,提及,1,启大王：秦季龙讨战。金鳌 （白） 再探。,pdf_01000000__01004009___abe4e0ff20__line__000035,mention,
pdf_01000000__01004009___abe4e0ff20,忠孝全,2,【第二场】,金鳌,秦季龙,提及,提及,1,且住。秦季龙前来讨战，岂容猖狂。众番儿！,pdf_01000000__01004009___abe4e0ff20__line__000039,mention,
pdf_01000000__01004009___abe4e0ff20,忠孝全,2,【第二场】,金鳌,王振,提及,提及,1,"你讲你朝天心顺,孤家也是一国王。回营快对王振讲,叫他早早来投降。",pdf_01000000__01004009___abe4e0ff20__line__000049,mention,
pdf_01000000__01004009___abe4e0ff20,忠孝全,3,【第三场】,王振,秦季龙,对话/应答,对话,5,眼观旌旗起，耳听好消息。,pdf_01000000__01004009___abe4e0ff20__line__000079,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,3,【第三场】,秦季龙,王振,对话/应答,对话,4,小人交令。,pdf_01000000__01004009___abe4e0ff20__line__000083,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,3,【第三场】,秦季龙,中军,对话/应答,对话,1,谢千岁。,pdf_01000000__01004009___abe4e0ff20__line__000025；pdf_01000000__01004009___abe4e0ff20__line__000099,adjacency,
