doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01004009___abe4e0ff20,忠孝全,王振,秦季龙,命令,31,命令；对话；提及；礼节/隶属,"中军,吩咐满营将官,与秦季龙观战。",llm,
pdf_01000000__01004009___abe4e0ff20,忠孝全,秦季龙,王振,汇报,31,对话；汇报,秦季龙交令并报告战况,llm,
pdf_01000000__01004009___abe4e0ff20,忠孝全,秦季龙,秦洪,协助,24,协助；对话,秦季龙松绑并替父受绑,llm,
pdf_01000000__01004009___abe4e0ff20,忠孝全,秦洪,秦季龙,提及,23,对话；提及,秦季龙就是我一螟蛉。,mention,
pdf_01000000__01004009___abe4e0ff20,忠孝全,中军,王振,汇报,21,对话；汇报,启千岁：有一投军人求见,llm,
pdf_01000000__01004009___abe4e0ff20,忠孝全,王振,中军,命令,17,命令；对话,你到营门口料理料理，瞧瞧有人投军没有,llm,
pdf_01000000__01004009___abe4e0ff20,忠孝全,安太,中军,对话,16,,"头带红一缨,假充营里兵。大炮一声响,三天难做声。",adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,中军,安太,对话,13,,哇!投军吃粮的么?,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,王振,安太,评价,13,对话；评价,哈哈哈，好算一能,llm,
pdf_01000000__01004009___abe4e0ff20,忠孝全,安太,王振,汇报,12,对话；汇报,我叫安太，会十九般武艺,llm,
pdf_01000000__01004009___abe4e0ff20,忠孝全,龙套,中军,对话,10,,有。,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,中军,龙套,对话,8,,广西。,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,王振,秦洪,评价,7,对话；礼节/隶属；评价,王振说秦洪好造化，犯罪有忠孝王求情,llm,
pdf_01000000__01004009___abe4e0ff20,忠孝全,众人,安太,对话,6,,"吠,怎么朝上打?",adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,金鳌,秦季龙,提及,6,对话；投降；提及,且住。秦季龙前来讨战，岂容猖狂。众番儿！,mention,
pdf_01000000__01004009___abe4e0ff20,忠孝全,中军,秦季龙,命令,5,命令；对话,千岁有命，令后营都府，监斩福建运粮官,llm,
pdf_01000000__01004009___abe4e0ff20,忠孝全,安太,众人,对话,5,,"是,照枪。",adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,秦洪,王振,协助,5,协助；对话,秦洪让秦季龙拜王振为义父,llm,
pdf_01000000__01004009___abe4e0ff20,忠孝全,秦季龙,中军,汇报,4,对话；汇报,是。,llm,
pdf_01000000__01004009___abe4e0ff20,忠孝全,秦季龙,金鳌,对抗,4,对抗；对话,秦季龙讨战，与金鳌开打,llm,
pdf_01000000__01004009___abe4e0ff20,忠孝全,秦洪,中军,汇报,4,对话；汇报,秦洪求见中军，自称福建运粮官,llm,
pdf_01000000__01004009___abe4e0ff20,忠孝全,中军,秦洪,对话,3,,中军交令。,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,众人,中军,对话,3,,未到。,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,王振,众人,对话,3,,"也罢。念尔投军一场,赏你一名火头军。",adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,中军,众人,对话,2,,福建。,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,王振,龙套,对话,2,,广东。,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,秦季龙,众人,同场共现,2,,（众人同下，金鳌带马，走圆场，会阵，秦季龙上。）,stage_direction,
pdf_01000000__01004009___abe4e0ff20,忠孝全,众人,王振,对话,1,,未到。,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,刀斧手,秦洪,对话,1,,"这一犯官,家住哪里,姓字名谁?典刑之后,也好收你尸首。",adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,四番将,手,同场共现,1,,（金鳌上，四番将、手下同上。〖点绛唇〗。）,stage_direction,
pdf_01000000__01004009___abe4e0ff20,忠孝全,报子,秦季龙,提及,1,,启大王：秦季龙讨战。金鳌 （白） 再探。,mention,
pdf_01000000__01004009___abe4e0ff20,忠孝全,报子,金鳌,对话,1,,启大王：秦季龙讨战。金鳌 （白） 再探。,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,秦季龙,刀斧手,对话,1,,"营中奉了千岁命,",adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,秦季龙,安太,对话,1,,是。,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,秦季龙,龙套,同场共现,1,,（秦季龙上，四龙套同上。）,stage_direction,
pdf_01000000__01004009___abe4e0ff20,忠孝全,金鳌,四番将,同场共现,1,,（金鳌上，四番将、手下同上。〖点绛唇〗。）,stage_direction,
pdf_01000000__01004009___abe4e0ff20,忠孝全,金鳌,手,同场共现,1,,（金鳌上，四番将、手下同上。〖点绛唇〗。）,stage_direction,
pdf_01000000__01004009___abe4e0ff20,忠孝全,金鳌,报子,对话,1,,泰岱山高沧海波，雪亮锋刃不用磨。鲸吞志气从云起，要夺锦绣旧山河。（白） 孤，金鳌是也。威镇海口，自立为王。领就雄兵百万，战将千员，欲夺中原江山，享受无疆之福。曾,adjacency,
pdf_01000000__01004009___abe4e0ff20,忠孝全,金鳌,王振,提及,1,,"你讲你朝天心顺,孤家也是一国王。回营快对王振讲,叫他早早来投降。",mention,
pdf_01000000__01004009___abe4e0ff20,忠孝全,龙套,秦季龙,同场共现,1,,（秦季龙上，四龙套同上。）,stage_direction,
