doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01004009___abe4e0ff20,忠孝全,忠义,6,王振在营中招兵，秦季龙投军并展示武艺，被派去探查金鳌；安太投军时因吃饭、拉屎闹出笑话，最终被王振接纳。,llm
pdf_01000000__01004009___abe4e0ff20,忠孝全,战争,3,金鳌自立为王，欲夺中原江山。秦季龙讨战，阵前交锋后擒获金鳌，金鳌投降，取下紫金冠为降表。,llm
pdf_01000000__01004009___abe4e0ff20,忠孝全,情爱,2,秦季龙监斩时发现死囚竟是养父秦洪，松绑后替父受绑，王振得知后赦免秦洪，并因秦季龙忠孝双全奏请圣旨封其为忠孝王。,llm
pdf_01000000__01004009___abe4e0ff20,忠孝全,权力,2,秦季龙战胜金鳌归顺，王振封其为后营都府。王振催粮，福建三卯未到，命中军追赶。秦洪解粮至军营求见。,llm
pdf_01000000__01004009___abe4e0ff20,忠孝全,亲情,1,# 《忠孝全》；# （一名：《斩秦洪》；一名：《金鳌岛》）,keyword
pdf_01000000__01004009___abe4e0ff20,忠孝全,使命,1,秦季龙奉千岁之命监斩福建运粮官，怀疑被斩者可能是其父，决定前往法场确认。,llm
pdf_01000000__01004009___abe4e0ff20,忠孝全,公案,1,# 《忠孝全》；# （一名：《斩秦洪》；一名：《金鳌岛》）,keyword
pdf_01000000__01004009___abe4e0ff20,忠孝全,功过,1,秦季龙战胜金鳌归顺，王振封其为后营都府。王振催粮，福建三卯未到，命中军追赶。秦洪解粮至军营求见。,llm
pdf_01000000__01004009___abe4e0ff20,忠孝全,家国,1,# 《忠孝全》；# （一名：《斩秦洪》；一名：《金鳌岛》）,keyword
pdf_01000000__01004009___abe4e0ff20,忠孝全,征服与投降,1,金鳌自立为王，欲夺中原江山。秦季龙讨战，阵前交锋后擒获金鳌，金鳌投降，取下紫金冠为降表。,llm
pdf_01000000__01004009___abe4e0ff20,忠孝全,救赎,1,秦季龙监斩时发现死囚竟是养父秦洪，松绑后替父受绑，王振得知后赦免秦洪，并因秦季龙忠孝双全奏请圣旨封其为忠孝王。,llm
pdf_01000000__01004009___abe4e0ff20,忠孝全,权臣专权,1,王振在营中招兵，秦季龙投军并展示武艺，被派去探查金鳌；安太投军时因吃饭、拉屎闹出笑话，最终被王振接纳。,llm
pdf_01000000__01004009___abe4e0ff20,忠孝全,离散,1,# 《忠孝全》；# （一名：《斩秦洪》；一名：《金鳌岛》）,keyword
