doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01004010___47767989be,双投唐,王伯党,李密,汇报,58,劝阻；同场共现；对抗；对话；提及；汇报,伯党交令，言追赶不上徐勣、魏征。,llm,
pdf_01000000__01004010___47767989be,双投唐,李密,王伯党,对抗,57,协助；对抗；对话；评价,李密反斥王伯党‘人心不足蛇吞象’，并打马先行。,llm,
pdf_01000000__01004010___47767989be,双投唐,李世民,王伯党,对抗,22,劝阻；对抗；对话；提及,李世民下令乱箭射死王伯党,llm,
pdf_01000000__01004010___47767989be,双投唐,王伯党,李世民,汇报,21,协助；对抗；对话；汇报,为臣拾得箭雁，特来献上,llm,
pdf_01000000__01004010___47767989be,双投唐,李世民,李密,对抗,15,命令；对抗；对话；提及,"众将官,将李密尸首打下山岗,王伯井玉葬。人马回朝交旨。",llm,
pdf_01000000__01004010___47767989be,双投唐,李世民,李渊,汇报,15,劝阻；对话；提议；汇报,儿臣未曾打得飞禽走兽，收来二家贤臣,llm,
pdf_01000000__01004010___47767989be,双投唐,李渊,李密,命令,13,命令；对话；提及；评价,"寡人有旨:命河阳公主招赘魏国公李密,即刻梳妆,傧相赞礼,退班。",llm,
pdf_01000000__01004010___47767989be,双投唐,李密,河阳公主,对抗,12,对抗；对话,河阳公主被杀死。,llm,
pdf_01000000__01004010___47767989be,双投唐,李渊,李世民,对话,9,,皇儿平身。,adjacency,
pdf_01000000__01004010___47767989be,双投唐,河阳公主,李密,对话,7,,驸马请坐。,adjacency,
pdf_01000000__01004010___47767989be,双投唐,李渊,王伯党,命令,4,命令；对话,暂住李密门下。日后有功，自有封赠,llm,
pdf_01000000__01004010___47767989be,双投唐,殷开山,李世民,汇报,4,对话；汇报,殷开山报告李密、王伯党被射死,llm,
pdf_01000000__01004010___47767989be,双投唐,王伯党,李渊,汇报,4,对话；汇报,一臣不事二主，情愿服侍李密,llm,
pdf_01000000__01004010___47767989be,双投唐,李密,李世民,汇报,3,对话；汇报,有罪的李密我来叩见圣明君,llm,
pdf_01000000__01004010___47767989be,双投唐,李密,李渊,提及,3,对话；提及,"李渊也曾掌大唐,他本是真龙下天堂。",mention,
pdf_01000000__01004010___47767989be,双投唐,王伯党,龙套,同场共现,3,,（四白龙套同上，王伯党上。）,stage_direction,
pdf_01000000__01004010___47767989be,双投唐,龙套,王伯党,同场共现,3,,（四白龙套同上，王伯党上。）,stage_direction,
pdf_01000000__01004010___47767989be,双投唐,李世民,殷开山,命令,2,命令；对话,一同过场，暗示君臣同行,llm,
pdf_01000000__01004010___47767989be,双投唐,内侍,太监,对话,1,,秦王回朝。,adjacency,
pdf_01000000__01004010___47767989be,双投唐,内侍,李世民,对话,1,,王勇挡道。,adjacency,
pdf_01000000__01004010___47767989be,双投唐,大太监,宫女,对话,1,,驸马回宫。,adjacency,
pdf_01000000__01004010___47767989be,双投唐,太监,内侍,对话,1,,领旨。万岁有旨:开放龙门。,adjacency,
pdf_01000000__01004010___47767989be,双投唐,太监,李世民,对话,1,,随旨上殿。,adjacency,
pdf_01000000__01004010___47767989be,双投唐,宫女,河阳公主,对话,1,,驸马回宫。,adjacency,
pdf_01000000__01004010___47767989be,双投唐,李世民,刘洪基,命令,1,,一同过场，暗示君臣同行,llm,
pdf_01000000__01004010___47767989be,双投唐,李世民,段之贤,命令,1,,一同过场，暗示君臣同行,llm,
pdf_01000000__01004010___47767989be,双投唐,李世民,河阳公主,提及,1,,"启奏父皇:何不将河阳公主许配李密,招为东床驸马,反心自退。",mention,
pdf_01000000__01004010___47767989be,双投唐,李世民,马三保,命令,1,,一同过场，暗示君臣同行,llm,
pdf_01000000__01004010___47767989be,双投唐,李渊,太监,对话,1,,"河清海晏,五谷丰登。",adjacency,
pdf_01000000__01004010___47767989be,双投唐,李渊,河阳公主,命令,1,,"寡人有旨:命河阳公主招赘魏国公李密,即刻梳妆,傧相赞礼,退班。",mention,
pdf_01000000__01004010___47767989be,双投唐,殷开山,李密,对抗,1,,李密、王伯党射死。,mention,
pdf_01000000__01004010___47767989be,双投唐,殷开山,王伯党,对抗,1,,李密、王伯党射死。,mention,
pdf_01000000__01004010___47767989be,双投唐,河阳公主,大太监,对话,1,,"雨露似天才,夫荣妻贵堪偕。",adjacency,
pdf_01000000__01004010___47767989be,双投唐,王伯党,众人,同场共现,1,,（王伯党开打，众人同下。）,stage_direction,
pdf_01000000__01004010___47767989be,双投唐,王伯党,内侍,对话,1,,王勇挡道。,adjacency,
