doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01004010___47767989be,双投唐,战争,离散,5,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,亲情,忠义,4,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,亲情,战争,4,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,亲情,离散,4,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,忠义,战争,4,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,忠义,离散,4,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,忠义,抉择,2,【第二场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,忠义,背叛,2,【第十场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,悲情,背叛,2,【第八场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,权力欲望,背叛,2,【第八场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,使命,忠义,1,【第二场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,使命,抉择,1,【第二场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,使命,降唐,1,【第二场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,家国,忠义,1,【第七场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,家国,悲情,1,【第八场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,家国,情爱,1,【第七场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,家国,招安与归顺,1,【第七场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,家国,权力欲望,1,【第八场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,家国,背叛,1,【第八场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,宽恕与和解,忠义,1,【第六场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,宽恕与和解,身份与尊严,1,【第六场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,对抗,忠义,1,【第十二场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,对抗,抉择,1,【第十二场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,忠义,悔恨,1,【第十场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,忠义,悲情,1,【第十四场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,忠义,情爱,1,【第七场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,忠义,招安与归顺,1,【第七场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,忠义,权力斗争,1,【第十四场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,忠义,权力欲望,1,【第十场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,忠义,身份与尊严,1,【第六场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,忠义,降唐,1,【第二场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,悔恨,权力欲望,1,【第十场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,悔恨,背叛,1,【第十场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,悲情,权力斗争,1,【第十四场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,悲情,权力欲望,1,【第八场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,情爱,战争,1,【第一场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,情爱,招安与归顺,1,【第七场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,情爱,离散,1,【第一场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,战争,权力集结,1,【第十一场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,抉择,降唐,1,【第二场】,scene_cooccurrence
pdf_01000000__01004010___47767989be,双投唐,权力斗争,背叛,1,【第十四场】,scene_cooccurrence
