doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01004011___c0be635aa4,飞虎山,亲情,公案,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004011___c0be635aa4,飞虎山,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004011___c0be635aa4,飞虎山,亲情,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004011___c0be635aa4,飞虎山,亲情,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004011___c0be635aa4,飞虎山,使命,引路,1,【第三场】,scene_cooccurrence
pdf_01000000__01004011___c0be635aa4,飞虎山,使命,梦兆,1,【第三场】,scene_cooccurrence
pdf_01000000__01004011___c0be635aa4,飞虎山,公案,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004011___c0be635aa4,飞虎山,公案,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004011___c0be635aa4,飞虎山,公案,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004011___c0be635aa4,飞虎山,家国,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004011___c0be635aa4,飞虎山,家国,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004011___c0be635aa4,飞虎山,引路,梦兆,1,【第三场】,scene_cooccurrence
pdf_01000000__01004011___c0be635aa4,飞虎山,忠义,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004011___c0be635aa4,飞虎山,忠义,收降,1,【第四场】,scene_cooccurrence
pdf_01000000__01004011___c0be635aa4,飞虎山,忠义,英雄相惜,1,【第四场】,scene_cooccurrence
pdf_01000000__01004011___c0be635aa4,飞虎山,思亲,愁苦,1,【第一场】,scene_cooccurrence
pdf_01000000__01004011___c0be635aa4,飞虎山,战争,权力与服从,1,【第二场】,scene_cooccurrence
pdf_01000000__01004011___c0be635aa4,飞虎山,收降,英雄相惜,1,【第四场】,scene_cooccurrence
