doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01004012___2ea5375b61,女起解,1,【第一场】,【第一场】,命运转折,使命,1,张公道；禁子；苏三,张公道与禁子提审苏三，告知其被发配太原府。苏三闻讯后，请求拜别狱神，内心由愁转喜。,llm
pdf_01000000__01004012___2ea5375b61,女起解,1,【第一场】,【第一场】,冤屈与希望,公案,1,张公道；禁子；苏三,张公道与禁子提审苏三，告知其被发配太原府。苏三闻讯后，请求拜别狱神，内心由愁转喜。,llm
pdf_01000000__01004012___2ea5375b61,女起解,2,【第二场】,【第二场】,官场日常,官场日常,1,张公道；狱官；苏三,狱官与张公道交接苏三发配太原府，张公道以文书为凭，二人就带骡子一事进行诙谐对话，最终确认筛松香用龙黄。,llm
pdf_01000000__01004012___2ea5375b61,女起解,2,【第二场】,【第二场】,诙谐调剂,喜剧,1,张公道；狱官；苏三,狱官与张公道交接苏三发配太原府，张公道以文书为凭，二人就带骡子一事进行诙谐对话，最终确认筛松香用龙黄。,llm
pdf_01000000__01004012___2ea5375b61,女起解,3,【第三场】,【第三场】,冤屈与控诉,公案,1,客人；张公道；苏三,苏三在押解途中恳求张公道帮忙传信，张公道虽同情但无奈。苏三唱诉冤屈，张公道以诙谐方式安慰并开导，最终苏三认错，二人继续赶路。,llm
pdf_01000000__01004012___2ea5375b61,女起解,3,【第三场】,【第三场】,底层互助,底层互助,1,客人；张公道；苏三,苏三在押解途中恳求张公道帮忙传信，张公道虽同情但无奈。苏三唱诉冤屈，张公道以诙谐方式安慰并开导，最终苏三认错，二人继续赶路。,llm
pdf_01000000__01004012___2ea5375b61,女起解,3,【第三场】,【第三场】,命运无常,使命,1,客人；张公道；苏三,苏三在押解途中恳求张公道帮忙传信，张公道虽同情但无奈。苏三唱诉冤屈，张公道以诙谐方式安慰并开导，最终苏三认错，二人继续赶路。,llm
pdf_01000000__01004012___2ea5375b61,女起解,0,序幕/前置内容,序幕/前置内容,忠义,忠义,1,,# 《女起解》（一名：《苏三起解》）,keyword
pdf_01000000__01004012___2ea5375b61,女起解,0,序幕/前置内容,序幕/前置内容,权谋,权谋,1,,# 《女起解》（一名：《苏三起解》）,keyword
pdf_01000000__01004012___2ea5375b61,女起解,0,序幕/前置内容,序幕/前置内容,家国,家国,1,,# 《女起解》（一名：《苏三起解》）,keyword
pdf_01000000__01004012___2ea5375b61,女起解,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《女起解》（一名：《苏三起解》）,keyword
pdf_01000000__01004012___2ea5375b61,女起解,0,序幕/前置内容,序幕/前置内容,公案,公案,1,,# 《女起解》（一名：《苏三起解》）,keyword
pdf_01000000__01004012___2ea5375b61,女起解,0,序幕/前置内容,序幕/前置内容,情爱,情爱,1,,# 《女起解》（一名：《苏三起解》）,keyword
