doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01004015___871e6f9883,新安驿,李氏,罗雁,对抗,9,同场共现；对抗；对话；试探,谁是你的丈母娘,llm_refined,0.9
pdf_01000000__01004015___871e6f9883,新安驿,赵美容,罗雁,协助,9,协助；同场共现；对话,赵美容教导罗雁男子行走，并约定兄妹相称,llm_refined,0.95
pdf_01000000__01004015___871e6f9883,新安驿,周凤英,李氏,汇报,8,同场共现；对话；汇报,她是个女孩子,llm_refined,0.85
pdf_01000000__01004015___871e6f9883,新安驿,周凤英,罗雁,对抗,7,同场共现；对抗；对话；评价,骂声狂徒好大胆，假扮男子罪非常,llm_refined,0.9
pdf_01000000__01004015___871e6f9883,新安驿,李氏,周凤英,协助,7,协助；对话,李氏为女儿向罗雁提亲,llm_refined,0.9
pdf_01000000__01004015___871e6f9883,新安驿,周凤英,赵美容,对抗,6,对抗；对话,周凤英持刀欲杀赵美容，后因问名而停手,llm_refined,0.85
pdf_01000000__01004015___871e6f9883,新安驿,罗雁,李氏,对话,6,对话,正是。可有上房?,llm_refined,0.8
pdf_01000000__01004015___871e6f9883,新安驿,赵美容,周凤英,协助,6,协助；同场共现；对话,去到龙山，见了我家哥哥，有我承管,llm_refined,0.85
pdf_01000000__01004015___871e6f9883,新安驿,李氏,赵美容,对话,5,对话,你们可是兄妹二人?,llm_refined,0.8
pdf_01000000__01004015___871e6f9883,新安驿,罗雁,赵美容,对话,5,对话,小、小姐等着。,llm_refined,0.75
pdf_01000000__01004015___871e6f9883,新安驿,罗雁,周凤英,对话,4,对话,"我罗雁保定小姐来到店房,那妈妈将女儿与我为婚,时才拜了天地,入了洞房。",llm_refined,0.75
pdf_01000000__01004015___871e6f9883,新安驿,赵美容,李氏,同场共现,4,同场共现；对话,（阴阳师上，下。李氏请赵美容、罗雁、周凤英同上，拜天地。众人同下。众人同上，入洞房。赵美容、李氏同下。〖起初更鼓〗。）,llm_refined,0.7
pdf_01000000__01004015___871e6f9883,新安驿,众人,李氏,同场共现,1,同场共现,（阴阳师上，下。李氏请赵美容、罗雁、周凤英同上，拜天地。众人同下。众人同上，入洞房。赵美容、李氏同下。〖起初更鼓〗。）,llm_refined,0.5
pdf_01000000__01004015___871e6f9883,新安驿,众人,罗雁,同场共现,1,同场共现,（阴阳师上，下。李氏请赵美容、罗雁、周凤英同上，拜天地。众人同下。众人同上，入洞房。赵美容、李氏同下。〖起初更鼓〗。）,llm_refined,0.5
pdf_01000000__01004015___871e6f9883,新安驿,周凤英,众人,同场共现,1,同场共现,（阴阳师上，下。李氏请赵美容、罗雁、周凤英同上，拜天地。众人同下。众人同上，入洞房。赵美容、李氏同下。〖起初更鼓〗。）,llm_refined,0.5
pdf_01000000__01004015___871e6f9883,新安驿,赵美容,众人,同场共现,1,同场共现,（阴阳师上，下。李氏请赵美容、罗雁、周凤英同上，拜天地。众人同下。众人同上，入洞房。赵美容、李氏同下。〖起初更鼓〗。）,llm_refined,0.5
