doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01004016___8e04e3a822,小上坟,2,【第二场】,萧素贞,刘禄敬,对话/应答,对话,12,苦吓!,pdf_01000000__01004016___8e04e3a822__line__000031,adjacency,
pdf_01000000__01004016___8e04e3a822,小上坟,2,【第二场】,刘禄敬,萧素贞,对话/应答,对话,11,吓!,pdf_01000000__01004016___8e04e3a822__line__000037,adjacency,
pdf_01000000__01004016___8e04e3a822,小上坟,2,【第二场】,萧素贞,青袍,对话/应答,对话,2,"哭一声儿夫刘禄敬,",pdf_01000000__01004016___8e04e3a822__line__000037,adjacency,
pdf_01000000__01004016___8e04e3a822,小上坟,2,【第二场】,青袍,青袍甲,对话/应答,对话,1,呵!,pdf_01000000__01004016___8e04e3a822__line__000037,adjacency,
pdf_01000000__01004016___8e04e3a822,小上坟,2,【第二场】,青袍甲,刘禄敬,对话/应答,对话,3,"禀老爷的话:刘家坟上,有一妇人,在此啼哭。",pdf_01000000__01004016___8e04e3a822__line__000037,adjacency,
pdf_01000000__01004016___8e04e3a822,小上坟,2,【第二场】,刘禄敬,青袍甲,对话/应答,对话,3,"哦呵且住,想我刘家坟上,哪有什么妇人在此,哭哭啼啼,哦哦哦其中必有原故。",pdf_01000000__01004016___8e04e3a822__line__000037,adjacency,
pdf_01000000__01004016___8e04e3a822,小上坟,2,【第二场】,刘禄敬,青袍,对话/应答,对话,1,你们前去问那妇人:因何在此哭哭啼啼?,pdf_01000000__01004016___8e04e3a822__line__000037,adjacency,
pdf_01000000__01004016___8e04e3a822,小上坟,2,【第二场】,青袍,萧素贞,对话/应答,对话,1,那一妇人:因何在此哭哭啼啼?,pdf_01000000__01004016___8e04e3a822__line__000037,adjacency,
pdf_01000000__01004016___8e04e3a822,小上坟,2,【第二场】,青袍甲,萧素贞,对话/应答,对话,2,"那一妇人:我家老爷是清官到了,有何冤枉,亲口诉来。",pdf_01000000__01004016___8e04e3a822__line__000037,adjacency,
pdf_01000000__01004016___8e04e3a822,小上坟,2,【第二场】,青袍,刘禄敬,对话/应答,对话,1,老爷吃饼。,pdf_01000000__01004016___8e04e3a822__line__000037,adjacency,
pdf_01000000__01004016___8e04e3a822,小上坟,2,【第二场】,萧素贞,青袍甲,对话/应答,对话,1,容禀。,pdf_01000000__01004016___8e04e3a822__line__000037,adjacency,
pdf_01000000__01004016___8e04e3a822,小上坟,2,【第二场】,萧素贞,刘禄敬,提及,提及,1,"哭一声儿夫刘禄敬,",pdf_01000000__01004016___8e04e3a822__line__000037,mention,
pdf_01000000__01004016___8e04e3a822,小上坟,2,【第二场】,刘禄敬,萧素贞,提及,提及,1,"为官的这里头里走,后面随着萧素贞。",pdf_01000000__01004016___8e04e3a822__line__000041,mention,
pdf_01000000__01004016___8e04e3a822,小上坟,1,【第一场】,青袍,刘禄敬,协助,协助,1,两青袍引刘禄敬同上,,llm,
pdf_01000000__01004016___8e04e3a822,小上坟,2,【第二场】,萧素贞,刘禄敬,提及,提及,1,哭一声儿夫刘禄敬,pdf_01000000__01004016___8e04e3a822__line__000037,llm,
pdf_01000000__01004016___8e04e3a822,小上坟,2,【第二场】,刘禄敬,萧素贞,命令,命令,1,你们前去问那妇人：因何在此哭哭啼啼？,,llm,
pdf_01000000__01004016___8e04e3a822,小上坟,2,【第二场】,萧素贞,刘禄敬,汇报,汇报,1,口诉的状词句句真,pdf_01000000__01004016___8e04e3a822__line__000037,llm,
pdf_01000000__01004016___8e04e3a822,小上坟,2,【第二场】,刘禄敬,萧素贞,评价,评价,1,世间哪有不是的公婆？公婆打骂，古之常理。头状不准,,llm,
pdf_01000000__01004016___8e04e3a822,小上坟,2,【第二场】,萧素贞,刘禄敬,试探,试探,1,既是我的亲夫到，还有几桩大事情,,llm,
pdf_01000000__01004016___8e04e3a822,小上坟,2,【第二场】,刘禄敬,萧素贞,协助,协助,1,家住山东即墨县。刘家庄上有家门。,pdf_01000000__01004016___8e04e3a822__line__000041,llm,
