doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01004016___8e04e3a822,小上坟,亲情,公案,2,【第二场】,scene_cooccurrence
pdf_01000000__01004016___8e04e3a822,小上坟,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004016___8e04e3a822,小上坟,亲情,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004016___8e04e3a822,小上坟,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004016___8e04e3a822,小上坟,亲情,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004016___8e04e3a822,小上坟,亲情,身份确认,1,【第二场】,scene_cooccurrence
pdf_01000000__01004016___8e04e3a822,小上坟,公案,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004016___8e04e3a822,小上坟,公案,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004016___8e04e3a822,小上坟,公案,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004016___8e04e3a822,小上坟,公案,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004016___8e04e3a822,小上坟,公案,身份确认,1,【第二场】,scene_cooccurrence
pdf_01000000__01004016___8e04e3a822,小上坟,出行,官场,1,【第一场】,scene_cooccurrence
pdf_01000000__01004016___8e04e3a822,小上坟,家国,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004016___8e04e3a822,小上坟,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004016___8e04e3a822,小上坟,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004016___8e04e3a822,小上坟,情爱,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004016___8e04e3a822,小上坟,情爱,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01004016___8e04e3a822,小上坟,战争,离散,1,序幕/前置内容,scene_cooccurrence
