doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01005001___8bae4c8a7d,武家坡,1,【第一场】,薛平贵,大嫂,对话/应答,对话,4,"不分昼夜回家园。在三关辞别了公主代战,一马儿来至在武家坡前。绿阴树下拴了红鬃马,尊一声众大嫂借问一言。",pdf_01000000__01005001___8bae4c8a7d__line__000023,adjacency,
pdf_01000000__01005001___8bae4c8a7d,武家坡,1,【第一场】,大嫂,薛平贵,对话/应答,对话,3,请了。军爷敢是失迷路途?,pdf_01000000__01005001___8bae4c8a7d__line__000023,adjacency,
pdf_01000000__01005001___8bae4c8a7d,武家坡,1,【第一场】,大嫂,王宝钏,对话/应答,对话,2,王三姐。,pdf_01000000__01005001___8bae4c8a7d__line__000023,adjacency,
pdf_01000000__01005001___8bae4c8a7d,武家坡,1,【第一场】,王宝钏,大嫂,对话/应答,对话,1,做什么?,pdf_01000000__01005001___8bae4c8a7d__line__000023,adjacency,
pdf_01000000__01005001___8bae4c8a7d,武家坡,1,【第一场】,王宝钏,薛平贵,对话/应答,对话,63,"寒窑内来了王氏宝钏。站立在坡前抬头观看,武家坡站定了一位军官:前形好像薛平贵,后影好似儿夫男。我这里假意把菜剜,他问一声答一言。",pdf_01000000__01005001___8bae4c8a7d__line__000023,adjacency,
pdf_01000000__01005001___8bae4c8a7d,武家坡,1,【第一场】,薛平贵,王宝钏,对话/应答,对话,62,"这大嫂传话太迟慢,",pdf_01000000__01005001___8bae4c8a7d__line__000025,adjacency,
pdf_01000000__01005001___8bae4c8a7d,武家坡,1,【第一场】,王宝钏,薛平贵,问答,对话,1,"寒窑内来了王氏宝钏。站立在坡前抬头观看,武家坡站定了一位军官:前形好像薛平贵,后影好似儿夫男。我这里假意把菜剜,他问一声答一言。",pdf_01000000__01005001___8bae4c8a7d__line__000023,mention,
pdf_01000000__01005001___8bae4c8a7d,武家坡,2,【第二场】,王宝钏,薛平贵,对话/应答,对话,37,前面走的王三姐，（薛平贵上。）,pdf_01000000__01005001___8bae4c8a7d__line__000033,adjacency,
pdf_01000000__01005001___8bae4c8a7d,武家坡,2,【第二场】,薛平贵,王宝钏,对话/应答,对话,36,后面跟随薛平贵。,pdf_01000000__01005001___8bae4c8a7d__line__000035,adjacency,
pdf_01000000__01005001___8bae4c8a7d,武家坡,2,【第二场】,王宝钏,薛平贵,提及,提及,1,前面走的王三姐，（薛平贵上。）,pdf_01000000__01005001___8bae4c8a7d__line__000033,mention,
pdf_01000000__01005001___8bae4c8a7d,武家坡,2,【第二场】,薛平贵,王宝钏,提及,提及,1,"水流千遭还相见,原物交还王宝钏。",pdf_01000000__01005001___8bae4c8a7d__line__000035,mention,
pdf_01000000__01005001___8bae4c8a7d,武家坡,1,【第一场】,薛平贵,王宝钏,试探,试探,3,薛平贵假托带家书，并决定调戏王宝钏以试其贞节,,llm,
pdf_01000000__01005001___8bae4c8a7d,武家坡,1,【第一场】,王宝钏,薛平贵,试探,试探,2,王宝钏认出薛平贵但未点破，假意询问以观察对方,,llm,
pdf_01000000__01005001___8bae4c8a7d,武家坡,2,【第二场】,王宝钏,薛平贵,试探,试探,3,王宝钏要求薛平贵后退并质疑其身份,,llm,
pdf_01000000__01005001___8bae4c8a7d,武家坡,2,【第二场】,薛平贵,王宝钏,命令,命令,2,薛平贵让王宝钏看宝并下跪讨封,,llm,
pdf_01000000__01005001___8bae4c8a7d,武家坡,2,【第二场】,王宝钏,薛平贵,评价,评价,2,王宝钏骂薛平贵为无义汉,,llm,
pdf_01000000__01005001___8bae4c8a7d,武家坡,2,【第二场】,薛平贵,王宝钏,协助,协助,1,薛平贵告知代战之事并承诺封后,,llm,
