doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01005001___8bae4c8a7d,武家坡,亲情,离散,2,【第一场】,scene_cooccurrence
pdf_01000000__01005001___8bae4c8a7d,武家坡,亲情,公案,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005001___8bae4c8a7d,武家坡,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005001___8bae4c8a7d,武家坡,亲情,忠义,1,【第二场】,scene_cooccurrence
pdf_01000000__01005001___8bae4c8a7d,武家坡,亲情,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005001___8bae4c8a7d,武家坡,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005001___8bae4c8a7d,武家坡,亲情,权力转换,1,【第二场】,scene_cooccurrence
pdf_01000000__01005001___8bae4c8a7d,武家坡,亲情,贞节考验,1,【第一场】,scene_cooccurrence
pdf_01000000__01005001___8bae4c8a7d,武家坡,亲情,身份确认,1,【第二场】,scene_cooccurrence
pdf_01000000__01005001___8bae4c8a7d,武家坡,公案,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005001___8bae4c8a7d,武家坡,公案,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005001___8bae4c8a7d,武家坡,公案,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005001___8bae4c8a7d,武家坡,公案,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005001___8bae4c8a7d,武家坡,家国,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005001___8bae4c8a7d,武家坡,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005001___8bae4c8a7d,武家坡,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005001___8bae4c8a7d,武家坡,忠义,权力转换,1,【第二场】,scene_cooccurrence
pdf_01000000__01005001___8bae4c8a7d,武家坡,忠义,身份确认,1,【第二场】,scene_cooccurrence
pdf_01000000__01005001___8bae4c8a7d,武家坡,情爱,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005001___8bae4c8a7d,武家坡,情爱,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005001___8bae4c8a7d,武家坡,战争,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005001___8bae4c8a7d,武家坡,权力转换,身份确认,1,【第二场】,scene_cooccurrence
pdf_01000000__01005001___8bae4c8a7d,武家坡,离散,贞节考验,1,【第一场】,scene_cooccurrence
