doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01005001___8bae4c8a7d,武家坡,1,【第一场】,【第一场】,夫妻试探,亲情,1,大嫂；王宝钏；薛平贵,薛平贵回武家坡寻妻王宝钏，假托带家书试探其贞节，王宝钏接信前认出丈夫但未点破，二人开始对话。,llm
pdf_01000000__01005001___8bae4c8a7d,武家坡,1,【第一场】,【第一场】,贞节考验,贞节考验,1,大嫂；王宝钏；薛平贵,薛平贵回武家坡寻妻王宝钏，假托带家书试探其贞节，王宝钏接信前认出丈夫但未点破，二人开始对话。,llm
pdf_01000000__01005001___8bae4c8a7d,武家坡,1,【第一场】,【第一场】,离别重逢,离散,1,大嫂；王宝钏；薛平贵,薛平贵回武家坡寻妻王宝钏，假托带家书试探其贞节，王宝钏接信前认出丈夫但未点破，二人开始对话。,llm
pdf_01000000__01005001___8bae4c8a7d,武家坡,2,【第二场】,【第二场】,夫妻重逢,亲情,1,王宝钏；薛平贵,王宝钏与薛平贵在寒窑前相认，薛平贵展示番王宝并透露已娶代战，王宝钏讨封后夫妻重归于好。,llm
pdf_01000000__01005001___8bae4c8a7d,武家坡,2,【第二场】,【第二场】,身份确认,身份确认,1,王宝钏；薛平贵,王宝钏与薛平贵在寒窑前相认，薛平贵展示番王宝并透露已娶代战，王宝钏讨封后夫妻重归于好。,llm
pdf_01000000__01005001___8bae4c8a7d,武家坡,2,【第二场】,【第二场】,权力转换,权力转换,1,王宝钏；薛平贵,王宝钏与薛平贵在寒窑前相认，薛平贵展示番王宝并透露已娶代战，王宝钏讨封后夫妻重归于好。,llm
pdf_01000000__01005001___8bae4c8a7d,武家坡,2,【第二场】,【第二场】,忠贞与考验,忠义,1,王宝钏；薛平贵,王宝钏与薛平贵在寒窑前相认，薛平贵展示番王宝并透露已娶代战，王宝钏讨封后夫妻重归于好。,llm
pdf_01000000__01005001___8bae4c8a7d,武家坡,0,序幕/前置内容,序幕/前置内容,战争,战争,1,,# 《武家坡》；# （一名：《平贵回窑》；一名：《跑坡》）,keyword
pdf_01000000__01005001___8bae4c8a7d,武家坡,0,序幕/前置内容,序幕/前置内容,家国,家国,1,,# 《武家坡》；# （一名：《平贵回窑》；一名：《跑坡》）,keyword
pdf_01000000__01005001___8bae4c8a7d,武家坡,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《武家坡》；# （一名：《平贵回窑》；一名：《跑坡》）,keyword
pdf_01000000__01005001___8bae4c8a7d,武家坡,0,序幕/前置内容,序幕/前置内容,公案,公案,1,,# 《武家坡》；# （一名：《平贵回窑》；一名：《跑坡》）,keyword
pdf_01000000__01005001___8bae4c8a7d,武家坡,0,序幕/前置内容,序幕/前置内容,情爱,情爱,1,,# 《武家坡》；# （一名：《平贵回窑》；一名：《跑坡》）,keyword
pdf_01000000__01005001___8bae4c8a7d,武家坡,0,序幕/前置内容,序幕/前置内容,离散,离散,1,,# 《武家坡》；# （一名：《平贵回窑》；一名：《跑坡》）,keyword
