doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01005002___c9467a74fd,浣纱记,使命,悲情,2,【第一场】,scene_cooccurrence
pdf_01000000__01005002___c9467a74fd,浣纱记,亲情,公案,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005002___c9467a74fd,浣纱记,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005002___c9467a74fd,浣纱记,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005002___c9467a74fd,浣纱记,亲情,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005002___c9467a74fd,浣纱记,使命,忠义,1,【第二场】,scene_cooccurrence
pdf_01000000__01005002___c9467a74fd,浣纱记,使命,牺牲,1,【第二场】,scene_cooccurrence
pdf_01000000__01005002___c9467a74fd,浣纱记,公案,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005002___c9467a74fd,浣纱记,公案,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005002___c9467a74fd,浣纱记,公案,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005002___c9467a74fd,浣纱记,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005002___c9467a74fd,浣纱记,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005002___c9467a74fd,浣纱记,忠义,悲情,1,【第二场】,scene_cooccurrence
pdf_01000000__01005002___c9467a74fd,浣纱记,忠义,牺牲,1,【第二场】,scene_cooccurrence
pdf_01000000__01005002___c9467a74fd,浣纱记,悲情,牺牲,1,【第二场】,scene_cooccurrence
pdf_01000000__01005002___c9467a74fd,浣纱记,战争,离散,1,序幕/前置内容,scene_cooccurrence
