doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01005003___0fd7bac795,天雷报,亲情,情爱,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,亲情,使命,1,【第四场】,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,亲情,养子不孝,1,【第一场】,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,亲情,希望与绝望,1,【第四场】,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,亲情,忠义,1,【第三场】,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,亲情,离散,1,【第三场】,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,亲情,科举,1,【第二场】,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,亲情,老年孤独,1,【第一场】,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,使命,希望与绝望,1,【第四场】,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,养子不孝,忠义,1,【第五场】,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,养子不孝,悲情,1,【第五场】,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,养子不孝,老年孤独,1,【第一场】,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,养子不孝,贫富悬殊,1,【第五场】,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,因果报应,天理昭彰,1,【第六场】,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,因果报应,忠义,1,【第六场】,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,天理昭彰,忠义,1,【第六场】,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,家国,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,忠义,悲情,1,【第五场】,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,忠义,情爱,1,【第三场】,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,忠义,离散,1,【第三场】,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,忠义,贫富悬殊,1,【第五场】,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,悲情,贫富悬殊,1,【第五场】,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,情爱,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005003___0fd7bac795,天雷报,情爱,离散,1,【第三场】,scene_cooccurrence
