doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01005003___0fd7bac795,天雷报,1,【第一场】,【第一场】,养子不孝,养子不孝,1,周氏；张元秀,张元秀与周氏因养子张继保被赶走而互相埋怨争吵，后共同思念儿子，在清风亭方向遥望悲泣，最终相互搀扶回家。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,1,【第一场】,【第一场】,老年孤独,老年孤独,1,周氏；张元秀,张元秀与周氏因养子张继保被赶走而互相埋怨争吵，后共同思念儿子，在清风亭方向遥望悲泣，最终相互搀扶回家。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,1,【第一场】,【第一场】,夫妻矛盾,亲情,1,周氏；张元秀,张元秀与周氏因养子张继保被赶走而互相埋怨争吵，后共同思念儿子，在清风亭方向遥望悲泣，最终相互搀扶回家。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,2,【第二场】,【第二场】,家庭,亲情,1,周桂英；薛荣,薛荣与周桂英同上，薛荣念白提及儿子赴考，为后续剧情铺垫。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,2,【第二场】,【第二场】,科举,科举,1,周桂英；薛荣,薛荣与周桂英同上，薛荣念白提及儿子赴考，为后续剧情铺垫。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,4,【第四场】,【第四场】,亲情,亲情,1,周小义；周氏；张元秀,张元秀与周氏乞讨至清风亭，遇周小义告知新科状元似张继保，二老重燃希望，决定前往认子。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,4,【第四场】,【第四场】,希望与绝望,希望与绝望,1,周小义；周氏；张元秀,张元秀与周氏乞讨至清风亭，遇周小义告知新科状元似张继保，二老重燃希望，决定前往认子。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,4,【第四场】,【第四场】,命运转折,使命,1,周小义；周氏；张元秀,张元秀与周氏乞讨至清风亭，遇周小义告知新科状元似张继保，二老重燃希望，决定前往认子。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,5,【第五场】,【第五场】,忘恩负义,忠义,1,周小义；周氏；张元秀；张继保；青袍甲,张元秀与周氏在清风亭认子，张继保不认养父母，反将二老赶走，最终张元秀夫妇悲愤碰死，张继保命人草席裹尸。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,5,【第五场】,【第五场】,养子不孝,养子不孝,1,周小义；周氏；张元秀；张继保；青袍甲,张元秀与周氏在清风亭认子，张继保不认养父母，反将二老赶走，最终张元秀夫妇悲愤碰死，张继保命人草席裹尸。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,5,【第五场】,【第五场】,贫富悬殊,贫富悬殊,1,周小义；周氏；张元秀；张继保；青袍甲,张元秀与周氏在清风亭认子，张继保不认养父母，反将二老赶走，最终张元秀夫妇悲愤碰死，张继保命人草席裹尸。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,5,【第五场】,【第五场】,悲剧命运,悲情,1,周小义；周氏；张元秀；张继保；青袍甲,张元秀与周氏在清风亭认子，张继保不认养父母，反将二老赶走，最终张元秀夫妇悲愤碰死，张继保命人草席裹尸。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,6,【第六场】,【第六场】,因果报应,因果报应,1,周小义；张继保；雷祖；雷神,雷祖率雷将、闪将追打张继保，将其打死。周小义被雷声惊吓而退。雷祖命将尸拖至荒郊，回复玉帝。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,6,【第六场】,【第六场】,天理昭彰,天理昭彰,1,周小义；张继保；雷祖；雷神,雷祖率雷将、闪将追打张继保，将其打死。周小义被雷声惊吓而退。雷祖命将尸拖至荒郊，回复玉帝。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,6,【第六场】,【第六场】,正义惩罚,忠义,1,周小义；张继保；雷祖；雷神,雷祖率雷将、闪将追打张继保，将其打死。周小义被雷声惊吓而退。雷祖命将尸拖至荒郊，回复玉帝。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,0,序幕/前置内容,序幕/前置内容,战争,战争,1,,# 《天雷报》 （一名：《清风亭》）,keyword
pdf_01000000__01005003___0fd7bac795,天雷报,0,序幕/前置内容,序幕/前置内容,家国,家国,1,,# 《天雷报》 （一名：《清风亭》）,keyword
pdf_01000000__01005003___0fd7bac795,天雷报,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《天雷报》 （一名：《清风亭》）,keyword
pdf_01000000__01005003___0fd7bac795,天雷报,0,序幕/前置内容,序幕/前置内容,情爱,情爱,1,,# 《天雷报》 （一名：《清风亭》）,keyword
pdf_01000000__01005003___0fd7bac795,天雷报,3,【第三场】,【第三场】,忠义,忠义,1,周小义,周小义上场，本场为简短过场，无具体情节推进，仅作为角色登场。,keyword
pdf_01000000__01005003___0fd7bac795,天雷报,3,【第三场】,【第三场】,亲情,亲情,1,周小义,周小义上场，本场为简短过场，无具体情节推进，仅作为角色登场。,keyword
pdf_01000000__01005003___0fd7bac795,天雷报,3,【第三场】,【第三场】,情爱,情爱,1,周小义,周小义上场，本场为简短过场，无具体情节推进，仅作为角色登场。,keyword
pdf_01000000__01005003___0fd7bac795,天雷报,3,【第三场】,【第三场】,离散,离散,1,周小义,周小义上场，本场为简短过场，无具体情节推进，仅作为角色登场。,keyword
