doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01005003___0fd7bac795,天雷报,亲情,5,张元秀与周氏因养子张继保被赶走而互相埋怨争吵，后共同思念儿子，在清风亭方向遥望悲泣，最终相互搀扶回家。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,忠义,3,张元秀与周氏在清风亭认子，张继保不认养父母，反将二老赶走，最终张元秀夫妇悲愤碰死，张继保命人草席裹尸。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,养子不孝,2,张元秀与周氏因养子张继保被赶走而互相埋怨争吵，后共同思念儿子，在清风亭方向遥望悲泣，最终相互搀扶回家。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,情爱,2,# 《天雷报》 （一名：《清风亭》）,keyword
pdf_01000000__01005003___0fd7bac795,天雷报,使命,1,张元秀与周氏乞讨至清风亭，遇周小义告知新科状元似张继保，二老重燃希望，决定前往认子。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,因果报应,1,雷祖率雷将、闪将追打张继保，将其打死。周小义被雷声惊吓而退。雷祖命将尸拖至荒郊，回复玉帝。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,天理昭彰,1,雷祖率雷将、闪将追打张继保，将其打死。周小义被雷声惊吓而退。雷祖命将尸拖至荒郊，回复玉帝。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,家国,1,# 《天雷报》 （一名：《清风亭》）,keyword
pdf_01000000__01005003___0fd7bac795,天雷报,希望与绝望,1,张元秀与周氏乞讨至清风亭，遇周小义告知新科状元似张继保，二老重燃希望，决定前往认子。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,悲情,1,张元秀与周氏在清风亭认子，张继保不认养父母，反将二老赶走，最终张元秀夫妇悲愤碰死，张继保命人草席裹尸。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,战争,1,# 《天雷报》 （一名：《清风亭》）,keyword
pdf_01000000__01005003___0fd7bac795,天雷报,离散,1,周小义上场，本场为简短过场，无具体情节推进，仅作为角色登场。,keyword
pdf_01000000__01005003___0fd7bac795,天雷报,科举,1,薛荣与周桂英同上，薛荣念白提及儿子赴考，为后续剧情铺垫。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,老年孤独,1,张元秀与周氏因养子张继保被赶走而互相埋怨争吵，后共同思念儿子，在清风亭方向遥望悲泣，最终相互搀扶回家。,llm
pdf_01000000__01005003___0fd7bac795,天雷报,贫富悬殊,1,张元秀与周氏在清风亭认子，张继保不认养父母，反将二老赶走，最终张元秀夫妇悲愤碰死，张继保命人草席裹尸。,llm
