doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01005005___45b85eecde,沙陀国,亲情,忠义,2,【第四场】,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,忠义,权力博弈,2,【第三场】,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,亲情,公案,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,亲情,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,亲情,权力博弈,1,【第四场】,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,亲情,权谋,1,【第五场】,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,亲情,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,公案,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,公案,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,公案,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,公案,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,家国,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,岁月,情爱,1,【第二场】,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,岁月,重逢,1,【第二场】,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,忠义,情爱,1,【第三场】,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,忠义,权力与服从,1,【第一场】,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,忠义,权谋,1,【第五场】,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,情爱,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,情爱,权力博弈,1,【第三场】,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,情爱,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,情爱,重逢,1,【第二场】,scene_cooccurrence
pdf_01000000__01005005___45b85eecde,沙陀国,战争,离散,1,序幕/前置内容,scene_cooccurrence
