doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01005006___1bd930fcea,六月雪,1,【第一场】,禁婆,窦娥,对话/应答,对话,10,"我做禁婆管牢囚,十人见了九人愁。有钱的好应酬,无钱的打不罢来骂不休,哪怕旁人作对头,作对头。",pdf_01000000__01005006___1bd930fcea__line__000027,adjacency,
pdf_01000000__01005006___1bd930fcea,六月雪,1,【第一场】,窦娥,禁婆,对话/应答,对话,10,哎呀!,pdf_01000000__01005006___1bd930fcea__line__000027；pdf_01000000__01005006___1bd930fcea__line__000031,adjacency,
pdf_01000000__01005006___1bd930fcea,六月雪,1,【第一场】,禁婆,蔡母,对话/应答,对话,4,"好了不要哭了,你歇歇罢。",pdf_01000000__01005006___1bd930fcea__line__000027,adjacency,
pdf_01000000__01005006___1bd930fcea,六月雪,1,【第一场】,蔡母,禁婆,对话/应答,对话,3,走吓。,pdf_01000000__01005006___1bd930fcea__line__000027,adjacency,
pdf_01000000__01005006___1bd930fcea,六月雪,1,【第一场】,蔡母,窦娥,对话/应答,对话,1,"哎呀,禁大娘,我乃贫寒人家,哪有银钱侍奉?大娘行个方便罢。",pdf_01000000__01005006___1bd930fcea__line__000027,adjacency,
pdf_01000000__01005006___1bd930fcea,六月雪,1,【第一场】,窦娥,蔡母,对话/应答,对话,1,"听一言唬得我三魂飘荡,婆婆!大娘!哎呀!那贼子他害我一命身亡。",pdf_01000000__01005006___1bd930fcea__line__000031,adjacency,
pdf_01000000__01005006___1bd930fcea,六月雪,1,【第一场】,禁婆,窦娥,问答,对话,1,"窦娥,我来问你:你到我这监中,日子也不少了。又道是:靠山吃山,靠水吃水。你倒有钱拿点出来,妈妈也好垫补垫补。",pdf_01000000__01005006___1bd930fcea__line__000027,mention,
pdf_01000000__01005006___1bd930fcea,六月雪,1,【第一场】,蔡母,窦娥,提及,提及,1,"不是呵,我是窦娥的婆婆,前来探望于她。",pdf_01000000__01005006___1bd930fcea__line__000027,mention,
pdf_01000000__01005006___1bd930fcea,六月雪,1,【第一场】,禁婆,窦娥,对抗,对抗,1,"呵,你是窦娥的婆婆来看他。好好好,拿来。",pdf_01000000__01005006___1bd930fcea__line__000027,mention,
pdf_01000000__01005006___1bd930fcea,六月雪,2,【第二场】,钱惠命,窦娥,对话/应答,对话,2,下官监衙司。,pdf_01000000__01005006___1bd930fcea__line__000039,adjacency,
pdf_01000000__01005006___1bd930fcea,六月雪,2,【第二场】,窦娥,二刀斧手,对话/应答,对话,2,"老婆婆年纪迈不敢向前。走前街顾不得出头露面,过小巷难免那众人讲谈。知道者他说是冤枉难辩,不知者说窦娥为恶不贤。见法场好一似森罗宝殿,一霎时窦娥女命染黄泉。",pdf_01000000__01005006___1bd930fcea__line__000039,adjacency,
pdf_01000000__01005006___1bd930fcea,六月雪,2,【第二场】,二刀斧手,窦娥,对话/应答,对话,2,为何不走?,pdf_01000000__01005006___1bd930fcea__line__000039,adjacency,
pdf_01000000__01005006___1bd930fcea,六月雪,2,【第二场】,窦娥,蔡母,对话/应答,对话,5,"想我婆婆乃年迈之人,见了尸首,尤恐性命难保。二位爷请上,受我一拜。",pdf_01000000__01005006___1bd930fcea__line__000039,adjacency,
pdf_01000000__01005006___1bd930fcea,六月雪,2,【第二场】,蔡母,二刀斧手,对话/应答,对话,2,"大炮连天响一声,叹望窦娥小娇生。大胆且把法场进,",pdf_01000000__01005006___1bd930fcea__line__000039,adjacency,
pdf_01000000__01005006___1bd930fcea,六月雪,2,【第二场】,二刀斧手,蔡母,对话/应答,对话,2,"呔,什么人?",pdf_01000000__01005006___1bd930fcea__line__000039,adjacency,
pdf_01000000__01005006___1bd930fcea,六月雪,2,【第二场】,蔡母,窦娥,对话/应答,对话,5,有劳了!,pdf_01000000__01005006___1bd930fcea__line__000039,adjacency,
pdf_01000000__01005006___1bd930fcea,六月雪,2,【第二场】,窦娥,钱惠命,对话/应答,对话,1,"北斗死,",pdf_01000000__01005006___1bd930fcea__line__000039,adjacency,
pdf_01000000__01005006___1bd930fcea,六月雪,2,【第二场】,钱惠命,二刀斧手,对话/应答,对话,1,"来,时辰可到?",pdf_01000000__01005006___1bd930fcea__line__000039,adjacency,
pdf_01000000__01005006___1bd930fcea,六月雪,2,【第二场】,二刀斧手,禁婆,对话/应答,对话,1,时辰已到。,pdf_01000000__01005006___1bd930fcea__line__000039,adjacency,
pdf_01000000__01005006___1bd930fcea,六月雪,2,【第二场】,禁婆,钱惠命,对话/应答,对话,1,"来,将窦娥绑上来。",pdf_01000000__01005006___1bd930fcea__line__000039,adjacency,
pdf_01000000__01005006___1bd930fcea,六月雪,2,【第二场】,窦娥,旗牌,对话/应答,对话,1,观见我窦娥女遭此深冤。,pdf_01000000__01005006___1bd930fcea__line__000039,adjacency,
pdf_01000000__01005006___1bd930fcea,六月雪,2,【第二场】,旗牌,钱惠命,对话/应答,对话,3,县官请了。,pdf_01000000__01005006___1bd930fcea__line__000039,adjacency,
pdf_01000000__01005006___1bd930fcea,六月雪,2,【第二场】,钱惠命,旗牌,对话/应答,对话,2,请了。到此何事?,pdf_01000000__01005006___1bd930fcea__line__000039,adjacency,
pdf_01000000__01005006___1bd930fcea,六月雪,2,【第二场】,钱惠命,蔡母,对话/应答,对话,1,打道回衙。,pdf_01000000__01005006___1bd930fcea__line__000039,adjacency,
pdf_01000000__01005006___1bd930fcea,六月雪,2,【第二场】,窦娥,众人,命令/请求,命令,1,"老婆婆年纪迈不敢向前。走前街顾不得出头露面,过小巷难免那众人讲谈。知道者他说是冤枉难辩,不知者说窦娥为恶不贤。见法场好一似森罗宝殿,一霎时窦娥女命染黄泉。",pdf_01000000__01005006___1bd930fcea__line__000039,mention,
pdf_01000000__01005006___1bd930fcea,六月雪,2,【第二场】,蔡母,窦娥,提及,提及,1,"大炮连天响一声,叹望窦娥小娇生。大胆且把法场进,",pdf_01000000__01005006___1bd930fcea__line__000039,mention,
pdf_01000000__01005006___1bd930fcea,六月雪,2,【第二场】,禁婆,窦娥,提及,提及,1,"来,将窦娥绑上来。",pdf_01000000__01005006___1bd930fcea__line__000039,mention,
pdf_01000000__01005006___1bd930fcea,六月雪,2,【第二场】,钱惠命,窦娥,提及,提及,2,"窦娥吓窦娥,想你小小年纪,做出这样事来。今日斩了你,下次不可。绑了下去。",pdf_01000000__01005006___1bd930fcea__line__000039,mention,
pdf_01000000__01005006___1bd930fcea,六月雪,2,【第二场】,旗牌,窦娥,问答,对话,1,"今有窦太师打此经过,下此大雪,窦娥必有冤枉。暂且发回原郡审问。",pdf_01000000__01005006___1bd930fcea__line__000039,mention,
pdf_01000000__01005006___1bd930fcea,六月雪,1,【第一场】,窦娥,蔡母,同场共现,同场共现,1,（窦娥、蔡母同哭，同下。）,,stage_direction,
pdf_01000000__01005006___1bd930fcea,六月雪,2,【第二场】,窦娥,蔡母,同场共现,同场共现,1,（〖牌子〗。蔡母拉窦娥同下。）,,stage_direction,
pdf_01000000__01005006___1bd930fcea,六月雪,1,【第一场】,禁婆,窦娥,命令,命令,2,禁婆索要银钱并威胁打骂,,llm,
