doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01005006___1bd930fcea,六月雪,禁婆,窦娥,命令,10,协助；命令；对抗；对话；提及,禁婆索要银钱并威胁打骂,llm_refined,0.9
pdf_01000000__01005006___1bd930fcea,六月雪,窦娥,禁婆,对话,8,哀求；对话,哎呀!,llm_refined,0.7
pdf_01000000__01005006___1bd930fcea,六月雪,蔡母,窦娥,提及,7,对话；探望；提及,"不是呵,我是窦娥的婆婆,前来探望于她。",llm_refined,0.8
pdf_01000000__01005006___1bd930fcea,六月雪,窦娥,蔡母,同场共现,6,同场共现；对话；提及,（窦娥、蔡母同哭，同下。）,llm_refined,0.9
pdf_01000000__01005006___1bd930fcea,六月雪,旗牌,钱惠命,命令,5,命令；对话,旗牌传达窦太师命令，要求发回原郡审问,llm_refined,0.8
pdf_01000000__01005006___1bd930fcea,六月雪,钱惠命,窦娥,提及,5,对话；提及；赦免,"窦娥吓窦娥,想你小小年纪,做出这样事来。今日斩了你,下次不可。绑了下去。",llm_refined,0.7
pdf_01000000__01005006___1bd930fcea,六月雪,禁婆,蔡母,对话,4,告知；对话,"好了不要哭了,你歇歇罢。",llm_refined,0.8
pdf_01000000__01005006___1bd930fcea,六月雪,窦娥,二刀斧手,命令,4,命令；对话,窦娥请求刀斧手隐藏尸首以免婆婆受惊,llm_refined,0.7
pdf_01000000__01005006___1bd930fcea,六月雪,蔡母,禁婆,命令,3,命令；对话,蔡母请求探望窦娥，无钱给规矩,llm_refined,0.6
pdf_01000000__01005006___1bd930fcea,六月雪,二刀斧手,窦娥,对话,2,对话,为何不走?,llm_refined,0.9
pdf_01000000__01005006___1bd930fcea,六月雪,二刀斧手,蔡母,对话,2,对话,"呔,什么人?",llm_refined,0.9
pdf_01000000__01005006___1bd930fcea,六月雪,蔡母,二刀斧手,对话,2,对话,"大炮连天响一声,叹望窦娥小娇生。大胆且把法场进,",llm_refined,0.8
pdf_01000000__01005006___1bd930fcea,六月雪,钱惠命,旗牌,对话,2,对话,请了。到此何事?,llm_refined,0.9
pdf_01000000__01005006___1bd930fcea,六月雪,二刀斧手,禁婆,对话,1,对话,时辰已到。,llm_refined,0.9
pdf_01000000__01005006___1bd930fcea,六月雪,旗牌,窦娥,对话,1,对话,"今有窦太师打此经过,下此大雪,窦娥必有冤枉。暂且发回原郡审问。",llm_refined,0.9
pdf_01000000__01005006___1bd930fcea,六月雪,禁婆,钱惠命,对话,1,对话,"来,将窦娥绑上来。",llm_refined,0.9
pdf_01000000__01005006___1bd930fcea,六月雪,窦娥,众人,对话,1,对话,"老婆婆年纪迈不敢向前。走前街顾不得出头露面,过小巷难免那众人讲谈。知道者他说是冤枉难辩,不知者说窦娥为恶不贤。见法场好一似森罗宝殿,一霎时窦娥女命染黄泉。",llm_refined,0.8
pdf_01000000__01005006___1bd930fcea,六月雪,窦娥,旗牌,对话,1,对话,观见我窦娥女遭此深冤。,llm_refined,0.9
pdf_01000000__01005006___1bd930fcea,六月雪,窦娥,钱惠命,对话,1,对话,"北斗死,",llm_refined,0.7
pdf_01000000__01005006___1bd930fcea,六月雪,钱惠命,二刀斧手,对话,1,对话,"来,时辰可到?",llm_refined,0.9
pdf_01000000__01005006___1bd930fcea,六月雪,钱惠命,蔡母,对话,1,对话,打道回衙。,llm_refined,0.9
