doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01005006___1bd930fcea,六月雪,公案,3,窦娥在监中向禁婆哭诉冤情，禁婆起初索贿打骂，后因同情而倾听。蔡母前来探望，禁婆告知窦娥即将被斩首，婆媳悲痛欲绝。,llm
pdf_01000000__01005006___1bd930fcea,六月雪,亲情,2,窦娥在监中向禁婆哭诉冤情，禁婆起初索贿打骂，后因同情而倾听。蔡母前来探望，禁婆告知窦娥即将被斩首，婆媳悲痛欲绝。,llm
pdf_01000000__01005006___1bd930fcea,六月雪,使命,1,窦娥被押赴法场，临刑前恳求刀斧手隐藏尸首以免婆婆受惊。婆婆前来祭别，六月天降大雪，窦太师经过认为有冤，下令发回重审，窦娥得救。,llm
pdf_01000000__01005006___1bd930fcea,六月雪,司法不公,1,窦娥在监中向禁婆哭诉冤情，禁婆起初索贿打骂，后因同情而倾听。蔡母前来探望，禁婆告知窦娥即将被斩首，婆媳悲痛欲绝。,llm
pdf_01000000__01005006___1bd930fcea,六月雪,天象示警,1,窦娥被押赴法场，临刑前恳求刀斧手隐藏尸首以免婆婆受惊。婆婆前来祭别，六月天降大雪，窦太师经过认为有冤，下令发回重审，窦娥得救。,llm
pdf_01000000__01005006___1bd930fcea,六月雪,孝道,1,窦娥被押赴法场，临刑前恳求刀斧手隐藏尸首以免婆婆受惊。婆婆前来祭别，六月天降大雪，窦太师经过认为有冤，下令发回重审，窦娥得救。,llm
pdf_01000000__01005006___1bd930fcea,六月雪,家国,1,# 《六月雪》；# （一名：《斩窦娥》；一名：《羊肚汤》）,keyword
pdf_01000000__01005006___1bd930fcea,六月雪,情爱,1,# 《六月雪》；# （一名：《斩窦娥》；一名：《羊肚汤》）,keyword
pdf_01000000__01005006___1bd930fcea,六月雪,战争,1,# 《六月雪》；# （一名：《斩窦娥》；一名：《羊肚汤》）,keyword
pdf_01000000__01005006___1bd930fcea,六月雪,权谋,1,# 《六月雪》；# （一名：《斩窦娥》；一名：《羊肚汤》）,keyword
pdf_01000000__01005006___1bd930fcea,六月雪,贫苦,1,窦娥在监中向禁婆哭诉冤情，禁婆起初索贿打骂，后因同情而倾听。蔡母前来探望，禁婆告知窦娥即将被斩首，婆媳悲痛欲绝。,llm
