doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01005009___5df172a065,孝感天,1,【第一场】,共叔段,魏氏,对话/应答,对话,3,丹心天地惨，黄泉路途远。,pdf_01000000__01005009___5df172a065__line__000031,adjacency,
pdf_01000000__01005009___5df172a065,孝感天,1,【第一场】,魏氏,共叔段,对话/应答,对话,2,我乃（共叔段）（魏氏）鬼魂是也。,pdf_01000000__01005009___5df172a065__line__000037,adjacency,
pdf_01000000__01005009___5df172a065,孝感天,1,【第一场】,魏氏,共叔段,提及,提及,1,我乃（共叔段）（魏氏）鬼魂是也。,pdf_01000000__01005009___5df172a065__line__000037,mention,
pdf_01000000__01005009___5df172a065,孝感天,2,【第二场】,武姜,共叔段,对话/应答,对话,3,居异乡恨寂寞红日易晚，,pdf_01000000__01005009___5df172a065__line__000075,adjacency,
pdf_01000000__01005009___5df172a065,孝感天,2,【第二场】,共叔段,魏氏,对话/应答,对话,3,"风飘飘冷飕飕黄昏惨淡,曾记得在生前荣带正冠。",pdf_01000000__01005009___5df172a065__line__000077,adjacency,
pdf_01000000__01005009___5df172a065,孝感天,2,【第二场】,魏氏,武姜,对话/应答,对话,2,"此时间也难说分诉情由,进寝门见国母心内痛酸。",pdf_01000000__01005009___5df172a065__line__000077,adjacency,
pdf_01000000__01005009___5df172a065,孝感天,2,【第二场】,魏氏,二宫女,对话/应答,对话,1,郑君侯指日里迎接凤弯。,pdf_01000000__01005009___5df172a065__line__000077,adjacency,
pdf_01000000__01005009___5df172a065,孝感天,2,【第二场】,二宫女,武姜,对话/应答,对话,1,国母醒来!,pdf_01000000__01005009___5df172a065__line__000077,adjacency,
pdf_01000000__01005009___5df172a065,孝感天,1,【第一场】,共叔段,魏氏,同场共现,同场共现,2,（四红龙套同上，共叔段、魏氏同上。）,pdf_01000000__01005009___5df172a065__line__000035,stage_direction,
pdf_01000000__01005009___5df172a065,孝感天,1,【第一场】,共叔段,龙套,同场共现,同场共现,2,（四红龙套同上，共叔段、魏氏同上。）,pdf_01000000__01005009___5df172a065__line__000035,stage_direction,
pdf_01000000__01005009___5df172a065,孝感天,1,【第一场】,魏氏,龙套,同场共现,同场共现,2,（四红龙套同上，共叔段、魏氏同上。）,pdf_01000000__01005009___5df172a065__line__000035,stage_direction,
pdf_01000000__01005009___5df172a065,孝感天,1,【第一场】,共叔段,魏氏,同盟,协助,1,共叔段提议去梦中劝解母后，魏氏应允,,llm,
pdf_01000000__01005009___5df172a065,孝感天,2,【第二场】,武姜,共叔段,提及,提及,3,武姜梦中呼唤共叔段，表达思念与不舍,,llm,
pdf_01000000__01005009___5df172a065,孝感天,2,【第二场】,共叔段,武姜,评价,评价,3,共叔段悔恨连累母后，表达愧疚,,llm,
pdf_01000000__01005009___5df172a065,孝感天,2,【第二场】,魏氏,武姜,劝阻,劝阻,2,魏氏劝武姜莫要终日泪涟,,llm,
pdf_01000000__01005009___5df172a065,孝感天,2,【第二场】,武姜,魏氏,提及,提及,2,武姜称魏氏为儿媳元环，表达亲情,,llm,
