doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01005009___5df172a065,孝感天,共叔段,魏氏,协助,9,协助；同场共现；对话,共叔段提议去梦中劝解母后，魏氏应允,llm_refined,0.95
pdf_01000000__01005009___5df172a065,孝感天,武姜,共叔段,提及,6,对话；提及,武姜梦中呼唤共叔段，表达思念与不舍,llm_refined,0.9
pdf_01000000__01005009___5df172a065,孝感天,魏氏,武姜,劝阻,4,劝阻；对话,"此时间也难说分诉情由,进寝门见国母心内痛酸。",llm_refined,0.85
pdf_01000000__01005009___5df172a065,孝感天,共叔段,武姜,评价,3,评价,共叔段悔恨连累母后，表达愧疚,llm_refined,0.9
pdf_01000000__01005009___5df172a065,孝感天,魏氏,共叔段,提及,3,对话；提及,我乃（共叔段）（魏氏）鬼魂是也。,llm_refined,0.85
pdf_01000000__01005009___5df172a065,孝感天,共叔段,龙套,同场共现,2,同场共现,（四红龙套同上，共叔段、魏氏同上。）,llm_refined,0.8
pdf_01000000__01005009___5df172a065,孝感天,武姜,魏氏,提及,2,提及,武姜称魏氏为儿媳元环，表达亲情,llm_refined,0.85
pdf_01000000__01005009___5df172a065,孝感天,魏氏,龙套,同场共现,2,同场共现,（四红龙套同上，共叔段、魏氏同上。）,llm_refined,0.8
pdf_01000000__01005009___5df172a065,孝感天,二宫女,武姜,对话,1,对话,国母醒来!,llm_refined,0.9
pdf_01000000__01005009___5df172a065,孝感天,魏氏,二宫女,对话,1,对话,郑君侯指日里迎接凤弯。,llm_refined,0.85
