doc_id,doc_title,character,char_id,degree,weighted_degree,degree_centrality,strength_centrality,derived_by
pdf_01000000__01005010___9c2a4af4c4,御碑亭,王有道,pdf_01000000__01005010___9c2a4af4c4__char__6b55d1ef0f,21,131,1.0,0.8912,relations_aggregated
pdf_01000000__01005010___9c2a4af4c4,御碑亭,申嵩,pdf_01000000__01005010___9c2a4af4c4__char__f2ded23f34,15,62,0.7143,0.4218,relations_aggregated
pdf_01000000__01005010___9c2a4af4c4,御碑亭,孟月华,pdf_01000000__01005010___9c2a4af4c4__char__093c0e2e74,14,147,0.6667,1.0,relations_aggregated
pdf_01000000__01005010___9c2a4af4c4,御碑亭,孟德禄,pdf_01000000__01005010___9c2a4af4c4__char__43db383770,9,41,0.4286,0.2789,relations_aggregated
pdf_01000000__01005010___9c2a4af4c4,御碑亭,孟明时,pdf_01000000__01005010___9c2a4af4c4__char__ea8a072768,8,42,0.381,0.2857,relations_aggregated
pdf_01000000__01005010___9c2a4af4c4,御碑亭,柳生春,pdf_01000000__01005010___9c2a4af4c4__char__bfdd568ddf,8,38,0.381,0.2585,relations_aggregated
pdf_01000000__01005010___9c2a4af4c4,御碑亭,孟夫人,pdf_01000000__01005010___9c2a4af4c4__char__0104a3054d,7,41,0.3333,0.2789,relations_aggregated
pdf_01000000__01005010___9c2a4af4c4,御碑亭,二进士,pdf_01000000__01005010___9c2a4af4c4__char__caf80067fa,6,18,0.2857,0.1224,relations_aggregated
pdf_01000000__01005010___9c2a4af4c4,御碑亭,王淑英,pdf_01000000__01005010___9c2a4af4c4__char__7c8b4fd422,5,82,0.2381,0.5578,relations_aggregated
pdf_01000000__01005010___9c2a4af4c4,御碑亭,堂役,pdf_01000000__01005010___9c2a4af4c4__char__2c17314d32,5,16,0.2381,0.1088,relations_aggregated
pdf_01000000__01005010___9c2a4af4c4,御碑亭,家院,pdf_01000000__01005010___9c2a4af4c4__char__bfbe0eb59f,3,8,0.1429,0.0544,relations_aggregated
pdf_01000000__01005010___9c2a4af4c4,御碑亭,四房官,pdf_01000000__01005010___9c2a4af4c4__char__9f5b106e04,3,7,0.1429,0.0476,relations_aggregated
pdf_01000000__01005010___9c2a4af4c4,御碑亭,衙役,pdf_01000000__01005010___9c2a4af4c4__char__bd95caad9f,3,4,0.1429,0.0272,relations_aggregated
pdf_01000000__01005010___9c2a4af4c4,御碑亭,报子,pdf_01000000__01005010___9c2a4af4c4__char__68ee17fc0d,2,10,0.0952,0.068,relations_aggregated
pdf_01000000__01005010___9c2a4af4c4,御碑亭,二堂役,pdf_01000000__01005010___9c2a4af4c4__char__84b6e4c13d,2,6,0.0952,0.0408,relations_aggregated
pdf_01000000__01005010___9c2a4af4c4,御碑亭,龙套,pdf_01000000__01005010___9c2a4af4c4__char__67a8d38aff,2,2,0.0952,0.0136,relations_aggregated
pdf_01000000__01005010___9c2a4af4c4,御碑亭,进士甲,pdf_01000000__01005010___9c2a4af4c4__char__c6a25b69fe,2,2,0.0952,0.0136,relations_aggregated
pdf_01000000__01005010___9c2a4af4c4,御碑亭,功曹,pdf_01000000__01005010___9c2a4af4c4__char__f4964b7828,1,2,0.0476,0.0136,relations_aggregated
pdf_01000000__01005010___9c2a4af4c4,御碑亭,朱衣神,pdf_01000000__01005010___9c2a4af4c4__char__b4ea589927,1,2,0.0476,0.0136,relations_aggregated
pdf_01000000__01005010___9c2a4af4c4,御碑亭,奉茶,pdf_01000000__01005010___9c2a4af4c4__char__1857753bfc,1,1,0.0476,0.0068,relations_aggregated
pdf_01000000__01005010___9c2a4af4c4,御碑亭,审嵩,pdf_01000000__01005010___9c2a4af4c4__char__efa1b68a30,1,1,0.0476,0.0068,relations_aggregated
pdf_01000000__01005010___9c2a4af4c4,御碑亭,众人,pdf_01000000__01005010___9c2a4af4c4__char__0412e22f98,1,1,0.0476,0.0068,relations_aggregated
