doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01005010___9c2a4af4c4,御碑亭,亲情,情爱,3,【第十三场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,亲情,家国,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,亲情,科举功名,2,【第二场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,亲情,贞节,2,【第四场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,家国,情爱,2,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,亲情,使命,1,【第四场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,亲情,公案,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,亲情,悔过与宽恕,1,【第十三场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,亲情,暗室不欺,1,【第十一场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,亲情,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,亲情,猜忌,1,【第九场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,亲情,礼法,1,【第四场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,亲情,科举,1,【第九场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,亲情,阴骘报应,1,【第十一场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,使命,名节与猜疑,1,【第七场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,使命,礼法,1,【第四场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,使命,神界干预,1,【第六场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,使命,贞节,1,【第四场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,使命,阴骘报应,1,【第七场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,公案,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,公案,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,公案,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,公案,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,名节与猜疑,阴骘报应,1,【第七场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,官场秩序,科举,1,【第一场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,家国,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,悔过与宽恕,情爱,1,【第十三场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,情爱,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,情爱,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,情爱,科举与人性,1,【第十二场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,情爱,道德谴责,1,【第十二场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,战争,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,暗室不欺,科举功名,1,【第十一场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,暗室不欺,阴骘报应,1,【第十一场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,猜忌,科举,1,【第九场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,猜忌,贞节,1,【第九场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,礼法,贞节,1,【第四场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,科举,贞节,1,【第九场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,科举与人性,道德谴责,1,【第十二场】,scene_cooccurrence
pdf_01000000__01005010___9c2a4af4c4,御碑亭,科举功名,阴骘报应,1,【第十一场】,scene_cooccurrence
