doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01005010___9c2a4af4c4,御碑亭,1,【第一场】,【第一场】,科举,科举,1,二堂役；申嵩,申嵩询问二堂役应科行囊是否搬去，确认后吩咐开道贡院，准备前往贡院主持科举考试。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,1,【第一场】,【第一场】,官场秩序,官场秩序,1,二堂役；申嵩,申嵩询问二堂役应科行囊是否搬去，确认后吩咐开道贡院，准备前往贡院主持科举考试。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,2,【第二场】,【第二场】,科举功名,科举功名,1,孟德禄；孟月华；王有道；王淑英,王有道赴京赶考，孟月华被娘家接回祭祖，托付小姑王淑英看家，为后续事件埋下伏笔。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,2,【第二场】,【第二场】,夫妻离别,亲情,1,孟德禄；孟月华；王有道；王淑英,王有道赴京赶考，孟月华被娘家接回祭祖，托付小姑王淑英看家，为后续事件埋下伏笔。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,4,【第四场】,【第四场】,礼法,礼法,1,孟夫人；孟德禄；孟明时；孟月华；柳生春,孟月华清明祭祖后欲归家，因丈夫进场、妹子独守而心忧。德禄装病，月华独行遇雨，与柳生春同避御碑亭，一夜相安无事。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,4,【第四场】,【第四场】,贞节,贞节,1,孟夫人；孟德禄；孟明时；孟月华；柳生春,孟月华清明祭祖后欲归家，因丈夫进场、妹子独守而心忧。德禄装病，月华独行遇雨，与柳生春同避御碑亭，一夜相安无事。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,4,【第四场】,【第四场】,命运,使命,1,孟夫人；孟德禄；孟明时；孟月华；柳生春,孟月华清明祭祖后欲归家，因丈夫进场、妹子独守而心忧。德禄装病，月华独行遇雨，与柳生春同避御碑亭，一夜相安无事。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,4,【第四场】,【第四场】,家庭伦理,亲情,1,孟夫人；孟德禄；孟明时；孟月华；柳生春,孟月华清明祭祖后欲归家，因丈夫进场、妹子独守而心忧。德禄装病，月华独行遇雨，与柳生春同避御碑亭，一夜相安无事。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,5,【第六场】,【第六场】,命运,使命,1,功曹；朱衣神,功曹与朱衣神一同过场，为后续剧情铺垫神界视角，暗示天意或命运的安排。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,5,【第六场】,【第六场】,神界干预,神界干预,1,功曹；朱衣神,功曹与朱衣神一同过场，为后续剧情铺垫神界视角，暗示天意或命运的安排。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,6,【第七场】,【第七场】,阴骘报应,阴骘报应,1,四房官；堂役；孟月华；审嵩；王淑英；申嵩；龙套,申嵩阅卷，因朱衣神点掇而取中阴骘浩大之卷；孟月华归家，向王淑英解释御碑亭夜宿之事，王淑英疑其与书生有私。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,6,【第七场】,【第七场】,名节与猜疑,名节与猜疑,1,四房官；堂役；孟月华；审嵩；王淑英；申嵩；龙套,申嵩阅卷，因朱衣神点掇而取中阴骘浩大之卷；孟月华归家，向王淑英解释御碑亭夜宿之事，王淑英疑其与书生有私。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,6,【第七场】,【第七场】,科举与命运,使命,1,四房官；堂役；孟月华；审嵩；王淑英；申嵩；龙套,申嵩阅卷，因朱衣神点掇而取中阴骘浩大之卷；孟月华归家，向王淑英解释御碑亭夜宿之事，王淑英疑其与书生有私。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,7,【第九场】,【第九场】,猜忌,猜忌,1,孟夫人；孟明时；孟月华；家院；报子；王有道；王淑英,王有道听闻妻子孟月华在御碑亭与陌生男子共处一夜，心生猜忌，写下休书假称岳父母病重送妻回娘家。后王有道中进士，孟月华回娘家后得知被休，父母安慰。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,7,【第九场】,【第九场】,贞节,贞节,1,孟夫人；孟明时；孟月华；家院；报子；王有道；王淑英,王有道听闻妻子孟月华在御碑亭与陌生男子共处一夜，心生猜忌，写下休书假称岳父母病重送妻回娘家。后王有道中进士，孟月华回娘家后得知被休，父母安慰。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,7,【第九场】,【第九场】,科举,科举,1,孟夫人；孟明时；孟月华；家院；报子；王有道；王淑英,王有道听闻妻子孟月华在御碑亭与陌生男子共处一夜，心生猜忌，写下休书假称岳父母病重送妻回娘家。后王有道中进士，孟月华回娘家后得知被休，父母安慰。,llm
