doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01005010___9c2a4af4c4,御碑亭,亲情,7,王有道赴京赶考，孟月华被娘家接回祭祖，托付小姑王淑英看家，为后续事件埋下伏笔。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,情爱,4,孟德禄上场，以唱词表达对王有道抛弃妻子却金榜题名的愤慨，指责读书人无良心。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,使命,3,孟月华清明祭祖后欲归家，因丈夫进场、妹子独守而心忧。德禄装病，月华独行遇雨，与柳生春同避御碑亭，一夜相安无事。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,家国,2,# 《御碑亭》；# （一名：《金榜乐》；一名：《王有道休妻》）,keyword
pdf_01000000__01005010___9c2a4af4c4,御碑亭,科举,2,申嵩询问二堂役应科行囊是否搬去，确认后吩咐开道贡院，准备前往贡院主持科举考试。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,科举功名,2,王有道赴京赶考，孟月华被娘家接回祭祖，托付小姑王淑英看家，为后续事件埋下伏笔。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,贞节,2,孟月华清明祭祖后欲归家，因丈夫进场、妹子独守而心忧。德禄装病，月华独行遇雨，与柳生春同避御碑亭，一夜相安无事。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,阴骘报应,2,申嵩阅卷，因朱衣神点掇而取中阴骘浩大之卷；孟月华归家，向王淑英解释御碑亭夜宿之事，王淑英疑其与书生有私。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,公案,1,# 《御碑亭》；# （一名：《金榜乐》；一名：《王有道休妻》）,keyword
pdf_01000000__01005010___9c2a4af4c4,御碑亭,名节与猜疑,1,申嵩阅卷，因朱衣神点掇而取中阴骘浩大之卷；孟月华归家，向王淑英解释御碑亭夜宿之事，王淑英疑其与书生有私。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,官场秩序,1,申嵩询问二堂役应科行囊是否搬去，确认后吩咐开道贡院，准备前往贡院主持科举考试。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,悔过与宽恕,1,王有道悔悟休妻，向孟月华赔罪，夫妻和好。王有道将妹淑英许配柳生春，当场成婚，众人庆贺。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,战争,1,# 《御碑亭》；# （一名：《金榜乐》；一名：《王有道休妻》）,keyword
pdf_01000000__01005010___9c2a4af4c4,御碑亭,暗室不欺,1,新进士谒见主考官申嵩，申嵩询问柳生春阴骘之事，柳生春讲述御碑亭避雨不欺暗室，王有道发现该妇人正是自己休弃之妻，众人劝其接回妻子。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,权谋,1,# 《御碑亭》；# （一名：《金榜乐》；一名：《王有道休妻》）,keyword
pdf_01000000__01005010___9c2a4af4c4,御碑亭,猜忌,1,王有道听闻妻子孟月华在御碑亭与陌生男子共处一夜，心生猜忌，写下休书假称岳父母病重送妻回娘家。后王有道中进士，孟月华回娘家后得知被休，父母安慰。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,礼法,1,孟月华清明祭祖后欲归家，因丈夫进场、妹子独守而心忧。德禄装病，月华独行遇雨，与柳生春同避御碑亭，一夜相安无事。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,神界干预,1,功曹与朱衣神一同过场，为后续剧情铺垫神界视角，暗示天意或命运的安排。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,科举与人性,1,孟德禄上场，以唱词表达对王有道抛弃妻子却金榜题名的愤慨，指责读书人无良心。,llm
pdf_01000000__01005010___9c2a4af4c4,御碑亭,道德谴责,1,孟德禄上场，以唱词表达对王有道抛弃妻子却金榜题名的愤慨，指责读书人无良心。,llm
