doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,text,target,target_char_id,emotion_tag,speech_act,entity_tags,action_tags,is_key_line,emotion_derived_by,target_derived_by,llm_confidence,raw_line
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000001,pdf_01000000__01005011___ce48065512__scene__000,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,0,序幕/前置内容,1,narration,narration,,,,# 《回荆州》,,,,,,,0,,,,# 《回荆州》
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000003,pdf_01000000__01005011___ce48065512__scene__000,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,0,序幕/前置内容,3,narration,narration,,,,# （一名：《美人计》；一名：《龙凤呈祥》）,,,,,,,1,,,,# （一名：《美人计》；一名：《龙凤呈祥》）
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000031,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,31,stage_direction,stage_direction,,,孙尚香上。,,,,,,,上,0,,,,（孙尚香上。）
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000035,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,35,stage_direction,stage_direction,,,侍儿允。,,,,,,,,0,,,,（侍儿允。）
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000037,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,37,dialogue,dialogue,孙尚香,pdf_01000000__01005011___ce48065512__char__a6db6ffa1c,白,两廊摆设枪刀剑戟。,,,平,陈述,,念白,0,llm,,0.9,孙尚香 （白） 两廊摆设枪刀剑戟。
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000039,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,39,dialogue,dialogue,侍儿,pdf_01000000__01005011___ce48065512__char__765851fa1e,白,晓得。,孙尚香,pdf_01000000__01005011___ce48065512__char__a6db6ffa1c,,,,念白,0,,rule,,侍儿 （白） 晓得。
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000041,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,41,stage_direction,stage_direction,,,小过门。侍儿摆设。,,,,,,,,0,,,,（小过门。侍儿摆设。）
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000043,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,43,dialogue,dialogue,侍儿,pdf_01000000__01005011___ce48065512__char__765851fa1e,白,摆设已毕。,孙尚香,pdf_01000000__01005011___ce48065512__char__a6db6ffa1c,平,汇报,,念白,0,llm,llm,0.9,侍儿 （白） 摆设已毕。
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000045,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,45,dialogue,dialogue,孙尚香,pdf_01000000__01005011___ce48065512__char__a6db6ffa1c,白,等贵人到来。不问便罢；倘若问起，尔就说我家皇姑好武，摆列枪刀与为迎接宾客之理。伺候了。,侍儿,pdf_01000000__01005011___ce48065512__char__765851fa1e,平,命令,,来；问；念白,1,llm,rule,0.85,孙尚香 （白） 等贵人到来。不问便罢；倘若问起，尔就说我家皇姑好武，摆列枪刀与为迎接宾客之理。伺候了。
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000047,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,47,narration,narration,,,,"(西皮慢板) 孙尚香坐宫院自思自叹,这才是为荆州结下凤鸾。我兄长与周郎暗地定计,要害那刘皇叔所为哪般?乔国老进宫来细讲一遍,因此上我母后主配鸾凰。两廊下摆枪刀威严极壮,等贵人他到来细看一番。",孙尚香,pdf_01000000__01005011___ce48065512__char__a6db6ffa1c,悲伤,,孙尚香,上；下；进；来；看；坐；叹,1,rule,rule,,"<table><tr><td>(西皮慢板)</td><td>孙尚香坐宫院自思自叹,这才是为荆州结下凤鸾。我兄长与周郎暗地定计,要害那刘皇叔所为哪般?乔国老进宫来细讲一遍,因此上我母后主配鸾凰。两廊下摆枪刀威严极壮,等贵人他到来细看一番。</td></tr></table>"
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000049,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,49,lyric,lyric,刘备,pdf_01000000__01005011___ce48065512__char__d094123d43,西皮原板,"挂红彩铺地毡甚是气旺,皇宫院与黎民大不一般。行来在宫门外用目观看,两廊下排剑戟孤躬胆寒。",孙尚香,pdf_01000000__01005011___ce48065512__char__a6db6ffa1c,愤怒,,,下；来；看；唱段,1,rule,rule,,"刘备（西皮原板）挂红彩铺地毡甚是气旺,皇宫院与黎民大不一般。行来在宫门外用目观看,两廊下排剑戟孤躬胆寒。"
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000049,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,49,dialogue,dialogue,侍儿,pdf_01000000__01005011___ce48065512__char__765851fa1e,白,与贵人叩喜。,刘备,pdf_01000000__01005011___ce48065512__char__d094123d43,得意,,,念白,0,rule,rule,,侍儿（白）与贵人叩喜。
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000049,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,49,dialogue,dialogue,刘备,pdf_01000000__01005011___ce48065512__char__d094123d43,白,"侍儿,你家皇姑,两廊排下枪刀,不知为了何事?",侍儿,pdf_01000000__01005011___ce48065512__char__765851fa1e,,,,下；念白,1,,rule,,"刘备（白）侍儿,你家皇姑,两廊排下枪刀,不知为了何事?"
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000049,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,49,dialogue,dialogue,侍儿,pdf_01000000__01005011___ce48065512__char__765851fa1e,白,"我家皇姑摆设刀枪剑戟,乃是迎接贵客之理。",刘备,pdf_01000000__01005011___ce48065512__char__d094123d43,,,,念白,1,,rule,,"侍儿（白）我家皇姑摆设刀枪剑戟,乃是迎接贵客之理。"
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000049,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,49,dialogue,dialogue,刘备,pdf_01000000__01005011___ce48065512__char__d094123d43,白,"侍儿对皇姑去说:撤了枪刀,方能进宫。",侍儿,pdf_01000000__01005011___ce48065512__char__765851fa1e,,,,进；去；念白,1,,rule,,"刘备（白）侍儿对皇姑去说:撤了枪刀,方能进宫。"
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000049,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,49,dialogue,dialogue,侍儿,pdf_01000000__01005011___ce48065512__char__765851fa1e,白,"回禀皇姑,贵人言道:去了枪刀,方能进宫。",刘备,pdf_01000000__01005011___ce48065512__char__d094123d43,,,,进；去；禀；道；念白,1,,rule,,"侍儿（白）回禀皇姑,贵人言道:去了枪刀,方能进宫。"
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000049,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,49,dialogue,dialogue,孙尚香,pdf_01000000__01005011___ce48065512__char__a6db6ffa1c,白,"闻听人说,他弟兄大破黄巾,大小战场见过。今日一见,原来胆小之人。侍儿们两廊撤去枪刀。",侍儿,pdf_01000000__01005011___ce48065512__char__765851fa1e,,,,来；去；念白,1,,rule,,"孙尚香（白）闻听人说,他弟兄大破黄巾,大小战场见过。今日一见,原来胆小之人。侍儿们两廊撤去枪刀。"
