doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,perform_type,perform_subtype,action_tags,participants,text,raw_line
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000001,pdf_01000000__01005011___ce48065512__scene__000,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,0,序幕/前置内容,1,narration,narration,,,,说明,,,《回荆州》,# 《回荆州》,# 《回荆州》
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000003,pdf_01000000__01005011___ce48065512__scene__000,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,0,序幕/前置内容,3,narration,narration,,,,说明,,,（一名：《美人计》；一名：《龙凤呈祥》,# （一名：《美人计》；一名：《龙凤呈祥》）,# （一名：《美人计》；一名：《龙凤呈祥》）
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000031,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,31,stage_direction,stage_direction,,,孙尚香上。,做,孙尚香上。,上,孙尚香,,（孙尚香上。）
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000035,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,35,stage_direction,stage_direction,,,侍儿允。,做,侍儿允。,,侍儿允,,（侍儿允。）
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000037,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,37,dialogue,dialogue,孙尚香,pdf_01000000__01005011___ce48065512__char__a6db6ffa1c,白,白,白,念白,孙尚香,两廊摆设枪刀剑戟。,孙尚香 （白） 两廊摆设枪刀剑戟。
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000039,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,39,dialogue,dialogue,侍儿,pdf_01000000__01005011___ce48065512__char__765851fa1e,白,白,白,念白,侍儿,晓得。,侍儿 （白） 晓得。
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000041,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,41,stage_direction,stage_direction,,,小过门。侍儿摆设。,做,小过门。侍儿摆设。,,小过门。侍儿摆设,,（小过门。侍儿摆设。）
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000043,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,43,dialogue,dialogue,侍儿,pdf_01000000__01005011___ce48065512__char__765851fa1e,白,白,白,念白,侍儿,摆设已毕。,侍儿 （白） 摆设已毕。
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000045,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,45,dialogue,dialogue,孙尚香,pdf_01000000__01005011___ce48065512__char__a6db6ffa1c,白,白,白,来；问；念白,孙尚香,等贵人到来。不问便罢；倘若问起，尔就说我家皇姑好武，摆列枪刀与为迎接宾客之理。伺候了。,孙尚香 （白） 等贵人到来。不问便罢；倘若问起，尔就说我家皇姑好武，摆列枪刀与为迎接宾客之理。伺候了。
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__line__000047,pdf_01000000__01005011___ce48065512__scene__001,01005011_回荆州.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005011_回荆州.pdf,01000000/01005011_回荆州.pdf,49bfac8f-ad5c-4639-829d-be1bd24f8504,1,【第一场】,47,narration,narration,,,,说明,,上；下；进；来；看；坐；叹,孙尚香,"<table><tr><td>(西皮慢板)</td><td>孙尚香坐宫院自思自叹,这才是为荆州结下凤鸾。我兄长与周郎暗地定计,要害那刘皇叔所为哪般?乔国老进宫来细讲一遍,因此上我母后主配鸾凰。两廊下摆枪刀威严极壮,等贵人他到来细看一番。</td></tr></table>","<table><tr><td>(西皮慢板)</td><td>孙尚香坐宫院自思自叹,这才是为荆州结下凤鸾。我兄长与周郎暗地定计,要害那刘皇叔所为哪般?乔国老进宫来细讲一遍,因此上我母后主配鸾凰。两廊下摆枪刀威严极壮,等贵人他到来细看一番。</td></tr></table>"
