doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01005011___ce48065512,回荆州,1,【第一场】,孙尚香,侍儿,对话/应答,对话,5,两廊摆设枪刀剑戟。,pdf_01000000__01005011___ce48065512__line__000037,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,1,【第一场】,侍儿,孙尚香,对话/应答,对话,5,摆设已毕。,pdf_01000000__01005011___ce48065512__line__000043,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,1,【第一场】,孙尚香,刘备,对话/应答,对话,7,等贵人到来。不问便罢；倘若问起，尔就说我家皇姑好武，摆列枪刀与为迎接宾客之理。伺候了。,pdf_01000000__01005011___ce48065512__line__000045,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,1,【第一场】,刘备,侍儿,对话/应答,对话,4,"挂红彩铺地毡甚是气旺,皇宫院与黎民大不一般。行来在宫门外用目观看,两廊下排剑戟孤躬胆寒。",pdf_01000000__01005011___ce48065512__line__000049,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,1,【第一场】,侍儿,刘备,对话/应答,对话,4,与贵人叩喜。,pdf_01000000__01005011___ce48065512__line__000049,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,1,【第一场】,刘备,孙尚香,对话/应答,对话,6,"我这里走上前把礼来见,有孤躬把来路细对你言。",pdf_01000000__01005011___ce48065512__line__000049,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,2,【第二场】,周瑜,徐盛,对话/应答,对话,5,"一扣玉带,紧束腰,照遂江南。",pdf_01000000__01005011___ce48065512__line__000053,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,2,【第二场】,徐盛,周瑜,对话/应答,对话,5,参见都督。,pdf_01000000__01005011___ce48065512__line__000053；pdf_01000000__01005011___ce48065512__line__000293,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,2,【第二场】,周瑜,丁奉,对话/应答,对话,1,"站下。丁奉、徐盛,命你二人探听刘备之事如何?",pdf_01000000__01005011___ce48065512__line__000053,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,2,【第二场】,丁奉,徐盛,对话/应答,对话,1,都督容禀:,pdf_01000000__01005011___ce48065512__line__000053,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,2,【第二场】,徐盛,丁奉,对话/应答,对话,1,"吴侯差人问消息,为的荆州那是非。",pdf_01000000__01005011___ce48065512__line__000053,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,2,【第二场】,丁奉,周瑜,对话/应答,对话,1,"国太恨天又怨地,叫声都督拿主意。",pdf_01000000__01005011___ce48065512__line__000053,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,2,【第二场】,周瑜,赵云,对话/应答,对话,1,"汉刘备过江来令人可恨,诸葛亮他本是惹祸根源。心儿里恨诸葛恼恨曹操,何日里杀关、张才把气消。",pdf_01000000__01005011___ce48065512__line__000053,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,2,【第二场】,赵云,刘备,对话/应答,对话,8,"“青铜宴月出王庄,假报曹操夺荆州,君臣若不离虎口,成恐学了楚霸王。”",pdf_01000000__01005011___ce48065512__line__000053,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,2,【第二场】,刘备,赵云,对话/应答,对话,7,"孤躬招亲在江东,事付南阳诸葛公。舍身才把牡丹戏,胜似王母斗牛宫。俺刘备。过江以来,孙权与我起盖新府。每日弹唱歌舞,好不美哉人也。正是:天上神仙府,人间宰相家。要",pdf_01000000__01005011___ce48065512__line__000053,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,2,【第二场】,刘备,孙尚香,对话/应答,对话,4,咱走。,pdf_01000000__01005011___ce48065512__line__000053,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,2,【第二场】,孙尚香,刘备,对话/应答,对话,4,"呀啐!什么人大胆闯进门宫,口称“主公”?",pdf_01000000__01005011___ce48065512__line__000053,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,2,【第二场】,赵云,孙尚香,对话/应答,对话,1,"有赵云在宫院双膝跪落,请主母近前来细听我说:望主母你那里搭救于我,搭救我君臣们逃出网罗。",pdf_01000000__01005011___ce48065512__line__000053,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,2,【第二场】,孙尚香,赵云,对话/应答,对话,1,随夫逃走礼当然。,pdf_01000000__01005011___ce48065512__line__000053,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,2,【第二场】,周瑜,刘备,命令/请求,命令,2,"站下。丁奉、徐盛,命你二人探听刘备之事如何?",pdf_01000000__01005011___ce48065512__line__000053,mention,
pdf_01000000__01005011___ce48065512,回荆州,2,【第二场】,周瑜,刘备,提及,提及,1,"听你二人之言,莫非刘备在江南招亲么?",pdf_01000000__01005011___ce48065512__line__000053,mention,
pdf_01000000__01005011___ce48065512,回荆州,2,【第二场】,周瑜,诸葛亮,命令/请求,命令,1,"汉刘备过江来令人可恨,诸葛亮他本是惹祸根源。心儿里恨诸葛恼恨曹操,何日里杀关、张才把气消。",pdf_01000000__01005011___ce48065512__line__000053,mention,
pdf_01000000__01005011___ce48065512,回荆州,2,【第二场】,刘备,赵云,提及,提及,1,他、他是我四弟赵云。,pdf_01000000__01005011___ce48065512__line__000053,mention,
pdf_01000000__01005011___ce48065512,回荆州,3,【第五场】,诸葛亮,张飞,对话/应答,对话,6,"家住南阳卧龙居,神机妙算鬼神惊。未出茅庐三分定,辅汉诸葛字孔明。",pdf_01000000__01005011___ce48065512__line__000057,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,3,【第五场】,张飞,诸葛亮,对话/应答,对话,6,"心中恼恨诸葛亮,作事不与某商量。怒气不息宝帐闯,快快还我大兄王!",pdf_01000000__01005011___ce48065512__line__000057,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,3,【第五场】,张飞,诸葛亮,提及,提及,1,"心中恼恨诸葛亮,作事不与某商量。怒气不息宝帐闯,快快还我大兄王!",pdf_01000000__01005011___ce48065512__line__000057,mention,
pdf_01000000__01005011___ce48065512,回荆州,3,【第五场】,诸葛亮,周瑜,命令/请求,命令,1,"三千岁听令:命你带领三千人马。埋伏在芦花荡,等候周瑜到来,只拿不杀。",pdf_01000000__01005011___ce48065512__line__000057,mention,
pdf_01000000__01005011___ce48065512,回荆州,5,【第七场】,赵云,刘备,对话/应答,对话,3,"准备金马蹬,即刻便登程。",pdf_01000000__01005011___ce48065512__line__000067,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,5,【第七场】,刘备,孙尚香,对话/应答,对话,2,大事安排定，,pdf_01000000__01005011___ce48065512__line__000071,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,5,【第七场】,孙尚香,赵云,对话/应答,对话,2,即刻离江东。,pdf_01000000__01005011___ce48065512__line__000075,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,5,【第七场】,刘备,赵云,对话/应答,对话,1,"四弟准备车马,可曾齐备?",pdf_01000000__01005011___ce48065512__line__000075,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,6,【第八场】,徐盛,丁奉,对话/应答,对话,1,请了。,pdf_01000000__01005011___ce48065512__line__000085；pdf_01000000__01005011___ce48065512__line__000149；pdf_01000000__01005011___ce48065512__line__000209,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,6,【第八场】,丁奉,刘备,对话/应答,对话,1,奉了都督将令，追赶刘备。一言未尽，刘备、皇姑来也。,pdf_01000000__01005011___ce48065512__line__000087,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,6,【第八场】,刘备,孙尚香,对话/应答,对话,3,"好比笼中鸟,插翅腾了空。",pdf_01000000__01005011___ce48065512__line__000091,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,6,【第八场】,孙尚香,赵云,对话/应答,对话,3,"一路飞彩凤,金锁走蛟龙。",pdf_01000000__01005011___ce48065512__line__000091,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,6,【第八场】,赵云,徐盛,对话/应答,对话,4,"为臣枪马在,哪怕百万兵。",pdf_01000000__01005011___ce48065512__line__000091,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,6,【第八场】,徐盛,刘备,对话/应答,对话,1,看枪！,pdf_01000000__01005011___ce48065512__line__000095；pdf_01000000__01005011___ce48065512__line__000115,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,6,【第八场】,刘备,赵云,对话/应答,对话,1,四弟，那边有徐盛、丁奉，在前拦路。这便如何是好？,pdf_01000000__01005011___ce48065512__line__000097,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,6,【第八场】,赵云,刘备,对话/应答,对话,1,主公不必惊慌，临行之时，先生赐我三道锦囊。为臣看过二道，打开三道一看，便知明白。,pdf_01000000__01005011___ce48065512__line__000099,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,6,【第八场】,孙尚香,徐盛,对话/应答,对话,3,贵人不必惊慌，我既随你前去，慢说退兵，就是刀山，我也敢闯。,pdf_01000000__01005011___ce48065512__line__000109,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,6,【第八场】,徐盛,孙尚香,对话/应答,对话,4,看枪！,pdf_01000000__01005011___ce48065512__line__000095；pdf_01000000__01005011___ce48065512__line__000115,adjacency,
