doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01005011___ce48065512,回荆州,刘备,孙尚香,命令,29,协助；命令；对话；解释,刘备要求撤去枪刀方能进宫,llm,
pdf_01000000__01005011___ce48065512,回荆州,孙尚香,刘备,命令,27,协助；同场共现；命令；对话；试探；质疑,"呀呸!哪里是赶我回去,分明是你们截杀刘备。你把刘备当做什么人,他乃中山靖王之后,汉景帝阁下之玄孙,大汉天子之皇叔。这还罢了,况且又是奴的夫主。我也非随刘备私自而",mention,
pdf_01000000__01005011___ce48065512,回荆州,诸葛亮,张飞,命令,17,同场共现；命令；对话,三千岁听令：命你带领三千人马埋伏在芦花荡,llm,
pdf_01000000__01005011___ce48065512,回荆州,刘备,赵云,命令,16,同场共现；命令；对话；提及,刘备令赵云带马伺候,llm,
pdf_01000000__01005011___ce48065512,回荆州,赵云,刘备,汇报,16,对话；汇报,大事不好了,llm,
pdf_01000000__01005011___ce48065512,回荆州,孙尚香,赵云,协助,15,协助；同场共现；对话,走上前来忙搀起，再叫贵人听端的,llm,
pdf_01000000__01005011___ce48065512,回荆州,张飞,诸葛亮,对抗,13,对抗；对话；提及,怒气不息宝帐闯，快快还我大兄王,llm,
pdf_01000000__01005011___ce48065512,回荆州,张飞,周瑜,对抗,10,对抗；对话；提及；羞辱,张飞与周瑜开打，并称‘周瑜，我的儿吓’,llm,
pdf_01000000__01005011___ce48065512,回荆州,周瑜,徐盛,命令,9,命令；对话,命你二人探听刘备之事,llm,
pdf_01000000__01005011___ce48065512,回荆州,潘璋,陈武,命令,9,协助；同场共现；命令；对话,潘璋传令，陈武听令,llm,
pdf_01000000__01005011___ce48065512,回荆州,徐盛,周瑜,汇报,7,对话；汇报,吴侯差人问消息,llm,
pdf_01000000__01005011___ce48065512,回荆州,徐盛,孙尚香,对话,7,对话；服从,看枪！,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,周瑜,张飞,命令,6,同场共现；命令；对话,张飞，不遵军令，私自出马！,mention,
pdf_01000000__01005011___ce48065512,回荆州,孙尚香,侍儿,命令,6,命令；对话,孙尚香命侍儿撤去枪刀,llm,
pdf_01000000__01005011___ce48065512,回荆州,孙尚香,徐盛,命令,6,命令；对话,孙尚香斥责丁奉、徐盛，并命令他们退下,llm,
pdf_01000000__01005011___ce48065512,回荆州,诸葛亮,刘备,汇报,6,协助；同场共现；对话；汇报,主公受惊了。,llm,
pdf_01000000__01005011___ce48065512,回荆州,赵云,孙尚香,命令,6,命令；对话,望主母你那里搭救于我,llm,
pdf_01000000__01005011___ce48065512,回荆州,赵云,徐盛,对抗,6,对抗；对话,赵云唱词威胁‘再多言管取尔项上人头’,llm,
pdf_01000000__01005011___ce48065512,回荆州,龙套,赵云,同场共现,6,,（赵云上，四白龙套、车夫同上。）,stage_direction,
pdf_01000000__01005011___ce48065512,回荆州,侍儿,孙尚香,对话,5,,摆设已毕。,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,孙尚香,陈武,命令,5,命令；对话,孙尚香斥退潘璋、陈武，令其放行,llm,
pdf_01000000__01005011___ce48065512,回荆州,丁奉,徐盛,同场共现,4,同场共现；对话,（丁奉、徐盛同上。）,stage_direction,
pdf_01000000__01005011___ce48065512,回荆州,侍儿,刘备,对话,4,,与贵人叩喜。,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,刘备,侍儿,对话,4,,"挂红彩铺地毡甚是气旺,皇宫院与黎民大不一般。行来在宫门外用目观看,两廊下排剑戟孤躬胆寒。",adjacency,
pdf_01000000__01005011___ce48065512,回荆州,周瑜,刘备,命令,4,命令；提及,"站下。丁奉、徐盛,命你二人探听刘备之事如何?",mention,
pdf_01000000__01005011___ce48065512,回荆州,徐盛,蒋钦,对话,4,,回来了。,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,蒋钦,徐盛,对话,4,,众位将军回来了。,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,陈武,潘璋,同场共现,4,同场共现；对话,（陈武、潘璋、丁奉、徐盛同上。）,stage_direction,
pdf_01000000__01005011___ce48065512,回荆州,丁奉,周瑜,汇报,3,对话；汇报,都督容禀,llm,
pdf_01000000__01005011___ce48065512,回荆州,丁奉,孙尚香,服从,3,,丁奉、徐盛下马参拜皇姑，并听从其命令放行,llm,
pdf_01000000__01005011___ce48065512,回荆州,周瑜,丁奉,命令,3,命令；对话,命你二人探听刘备之事,llm,
pdf_01000000__01005011___ce48065512,回荆州,孙尚香,丁奉,命令,3,,孙尚香斥责丁奉、徐盛，并命令他们退下,llm,
pdf_01000000__01005011___ce48065512,回荆州,孙尚香,周瑜,评价,3,对话；提及；评价,可恨周郎太无良。,llm,
pdf_01000000__01005011___ce48065512,回荆州,孙尚香,潘璋,命令,3,,孙尚香斥退潘璋、陈武，令其放行,llm,
pdf_01000000__01005011___ce48065512,回荆州,徐盛,刘备,汇报,3,对话；提及；汇报,"放刘备、皇姑过去,禀报都督知道。",mention,
pdf_01000000__01005011___ce48065512,回荆州,徐盛,赵云,对话,3,,"或杀或放全有罪,",adjacency,
pdf_01000000__01005011___ce48065512,回荆州,甘宁,蒋钦,对话,3,,奉旨赶刘备，马跑快如飞。此去要赶上，赶上定招回。,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,诸葛亮,周瑜,命令,3,同场共现；命令；评价,"三千岁听令:命你带领三千人马。埋伏在芦花荡,等候周瑜到来,只拿不杀。",mention,
pdf_01000000__01005011___ce48065512,回荆州,赵云,丁奉,对抗,3,对抗；对话,赵云唱词威胁‘再多言管取尔项上人头’,llm,
pdf_01000000__01005011___ce48065512,回荆州,赵云,潘璋,对抗,3,对抗；对话,赵云怒骂潘璋、陈武，威胁取其性命,llm,
pdf_01000000__01005011___ce48065512,回荆州,陈武,孙尚香,对话,3,,马跑赛如云。,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,丁奉,刘备,命令,2,命令；对话,奉了都督将令，追赶刘备。一言未尽，刘备、皇姑来也。,mention,
pdf_01000000__01005011___ce48065512,回荆州,刘备,诸葛亮,评价,2,对话；评价,"从今以后,休上这脂粉之计。",llm,
pdf_01000000__01005011___ce48065512,回荆州,刘备,龙套,同场共现,2,,（孙尚香、车夫、刘备、赵云、四白龙套同下。）,stage_direction,
pdf_01000000__01005011___ce48065512,回荆州,周瑜,诸葛亮,命令,2,命令；对话,"汉刘备过江来令人可恨,诸葛亮他本是惹祸根源。心儿里恨诸葛恼恨曹操,何日里杀关、张才把气消。",mention,
pdf_01000000__01005011___ce48065512,回荆州,周瑜,龙套,同场共现,2,,（周瑜、四龙套同下。）,stage_direction,
pdf_01000000__01005011___ce48065512,回荆州,孙尚香,张飞,对话,2,,免礼。,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,孙尚香,诸葛亮,对话,2,,"可恨周郎太无良,",adjacency,
pdf_01000000__01005011___ce48065512,回荆州,孙尚香,龙套,同场共现,2,,（孙尚香、车夫、刘备、赵云、四白龙套同下。）,stage_direction,
pdf_01000000__01005011___ce48065512,回荆州,张飞,刘备,对话,2,,"娶来新嫂嫂,老张喜眉梢。",adjacency,
pdf_01000000__01005011___ce48065512,回荆州,徐盛,丁奉,对话,2,,"吴侯差人问消息,为的荆州那是非。",adjacency,
pdf_01000000__01005011___ce48065512,回荆州,蒋钦,刘备,命令,2,命令；提及,奉了吴侯旨意，追赶刘备，哪位将军传令？,mention,
pdf_01000000__01005011___ce48065512,回荆州,蒋钦,陈武,命令,2,命令；询问,蒋钦出示尚方宝剑，命众将先杀郡主、刘备，后活捉赵云。,llm,
pdf_01000000__01005011___ce48065512,回荆州,诸葛亮,孙尚香,同场共现,2,同场共现；对话,（刘备、孙尚香、赵云、诸葛亮同下。）,stage_direction,
pdf_01000000__01005011___ce48065512,回荆州,诸葛亮,赵云,同场共现,2,同场共现；对话,（刘备、孙尚香、赵云、诸葛亮同下。）,stage_direction,
pdf_01000000__01005011___ce48065512,回荆州,赵云,陈武,对抗,2,,赵云怒骂潘璋、陈武，威胁取其性命,llm,
pdf_01000000__01005011___ce48065512,回荆州,龙套,刘备,同场共现,2,,（孙尚香、车夫、刘备、赵云、四白龙套同下。）,stage_direction,
pdf_01000000__01005011___ce48065512,回荆州,龙套,周瑜,同场共现,2,,（周瑜、四龙套同下。）,stage_direction,
pdf_01000000__01005011___ce48065512,回荆州,龙套,孙尚香,同场共现,2,,（孙尚香、车夫、刘备、赵云、四白龙套同下。）,stage_direction,
pdf_01000000__01005011___ce48065512,回荆州,丁奉,诸葛亮,对抗,1,,八将同白看刀并放箭,llm,
pdf_01000000__01005011___ce48065512,回荆州,刘备,周瑜,评价,1,,正要引鱼入罗网。,llm,
pdf_01000000__01005011___ce48065512,回荆州,刘备,徐盛,对话,1,,孔明妙计真神人。,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,刘备,潘璋,对话,1,,"打马孤前行,夫人去退兵。",adjacency,
pdf_01000000__01005011___ce48065512,回荆州,周泰,周瑜,汇报,1,,参见都督。,llm,
pdf_01000000__01005011___ce48065512,回荆州,周泰,甘宁,对话,1,,周泰。,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,周泰,诸葛亮,对抗,1,,八将同白看刀并放箭,llm,
pdf_01000000__01005011___ce48065512,回荆州,周瑜,众将,命令,1,,此去要赶上，活擒在马前。,llm,
pdf_01000000__01005011___ce48065512,回荆州,周瑜,赵云,对话,1,,"汉刘备过江来令人可恨,诸葛亮他本是惹祸根源。心儿里恨诸葛恼恨曹操,何日里杀关、张才把气消。",adjacency,
pdf_01000000__01005011___ce48065512,回荆州,周瑜,陈武,命令,1,,念在用兵之际，不然定取你等首级。,llm,
pdf_01000000__01005011___ce48065512,回荆州,张飞,孙尚香,评价,1,,"张飞说'娶来新嫂嫂,老张喜眉梢'",llm,
pdf_01000000__01005011___ce48065512,回荆州,徐盛,诸葛亮,对抗,1,,八将同白看刀并放箭,llm,
pdf_01000000__01005011___ce48065512,回荆州,潘璋,丁奉,同场共现,1,,（陈武、潘璋、丁奉、徐盛同上。）,stage_direction,
pdf_01000000__01005011___ce48065512,回荆州,潘璋,刘备,命令,1,,奉了都督将令，追赶刘备。将军传令。,mention,
pdf_01000000__01005011___ce48065512,回荆州,潘璋,徐盛,同场共现,1,,（陈武、潘璋、丁奉、徐盛同上。）,stage_direction,
pdf_01000000__01005011___ce48065512,回荆州,潘璋,诸葛亮,对抗,1,,八将同白看刀并放箭,llm,
pdf_01000000__01005011___ce48065512,回荆州,甘宁,刘备,提及,1,,奉旨赶刘备，马跑快如飞。此去要赶上，赶上定招回。,mention,
pdf_01000000__01005011___ce48065512,回荆州,甘宁,周瑜,汇报,1,,参见都督。,llm,
pdf_01000000__01005011___ce48065512,回荆州,甘宁,诸葛亮,对抗,1,,八将同白看刀并放箭,llm,
pdf_01000000__01005011___ce48065512,回荆州,蒋钦,甘宁,对话,1,,奉了吴侯旨意，追赶刘备，哪位将军传令？,adjacency,
pdf_01000000__01005011___ce48065512,回荆州,蒋钦,诸葛亮,对抗,1,,八将同白看刀并放箭,llm,
