doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01005011___ce48065512,回荆州,忠义,权谋,6,【第二场】,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,亲情,忠义,3,【第二场】,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,亲情,权谋,3,【第二场】,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,忠义,战争,3,【第九场】,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,忠义,离散,3,【第七场】,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,情爱,权谋,2,【第十七场】,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,权谋,胜利,2,【第十四场】,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,亲情,公案,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,亲情,喜剧,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,亲情,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,亲情,智勇突围,1,【第八场】,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,亲情,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,使命,情爱,1,【第一场】,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,使命,英雄气概,1,【第一场】,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,公案,喜剧,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,公案,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,公案,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,公案,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,公案,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,公案,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,公案,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,和解,对抗,1,【第十三场】,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,和解,权谋,1,【第十三场】,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,喜剧,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,喜剧,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,喜剧,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,喜剧,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,喜剧,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,喜剧,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,团圆,情爱,1,【第十七场】,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,团圆,权谋,1,【第十七场】,scene_cooccurrence
pdf_01000000__01005011___ce48065512,回荆州,失败,权谋,1,【第十二场】,scene_cooccurrence
