doc_id,doc_title,scene_id,scene_index,scene,conflict_stage,scene_function,tension_level,tension_norm,dialogue_density,lyric_density,speech_density,narrative_turning_point,is_climax,derived_by
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__000,0,序幕/前置内容,铺垫,引子,0,0.0,0.0,0.0,0.0,,0,scene_metrics
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__001,1,【第一场】,发展,推进,3,0.75,1.3636,0.2273,1.5909,刘备向孙尚香坦白孙权与周瑜的计谋，孙尚香承诺相助，二人关系从试探转向合作。,1,scene_metrics
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__002,2,【第二场】,发展,推进,4,1.0,10.0,1.0,11.0,孙尚香从怀疑到决定协助刘备逃走，关系转变。,1,scene_metrics
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__003,3,【第五场】,发展,推进,4,1.0,3.5,0.5,4.0,张飞从愤怒转向接受命令，冲突化解并转向行动,1,scene_metrics
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__004,4,【第六场】,过渡,过渡,1,0.25,0.0,0.0,0.0,无,0,scene_metrics
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__005,5,【第七场】,过渡,过渡,2,0.5,0.625,0.0,0.625,无显著转折，为离开江东的过渡场景,0,scene_metrics
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__006,6,【第八场】,冲突,对峙,4,1.0,0.5741,0.037,0.6111,孙尚香以皇姑身份和母命祭祖为由，成功压制吴将，使追兵放弃拦截,1,scene_metrics
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__007,7,【第九场】,发展,推进,3,0.75,0.2059,0.0294,0.2353,无转折，为追赶行动的延续,1,scene_metrics
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__008,8,【第十场】,高潮,对峙,4,1.0,1.2778,0.1111,1.3889,孙尚香以身份和言辞迫使追兵退让，刘备脱险，周瑜计划受挫。,1,scene_metrics
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__009,9,【第十一场】,发展,推进,4,1.0,0.2326,0.0116,0.2442,冲突升级：蒋钦带来尚方宝剑，追杀命令从追赶变为斩杀，目标明确。,1,scene_metrics
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__010,10,【第十二场】,收束,收束,3,0.75,0.1667,0.0,0.1667,无转折，为前场冲突的收束。,1,scene_metrics
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__011,11,【第十三场】,收束,收束,3,0.75,0.6667,0.0,0.6667,诸葛亮以言辞化解直接冲突，八将放箭后撤退，未造成实质伤害,1,scene_metrics
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__012,12,【第十四场】,收束,收束,2,0.5,1.0,0.0,1.0,无转折，为事件收束。,0,scene_metrics
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__013,13,【第十五场】,发展,推进,4,1.0,0.875,0.0,0.875,周瑜得知刘备逃脱，冲突升级，决定亲自追赶。,1,scene_metrics
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__014,14,【第十六场】,高潮,高潮,4,1.0,0.3684,0.0,0.3684,周瑜计策彻底失败，被张飞公开羞辱，冲突达到顶点后收束。,1,scene_metrics
pdf_01000000__01005011___ce48065512,回荆州,pdf_01000000__01005011___ce48065512__scene__015,15,【第十七场】,收束,收束,1,0.25,5.0,0.0,5.0,无重大转折，为事件收束。,0,scene_metrics
