doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,text,target,target_char_id,emotion_tag,speech_act,entity_tags,action_tags,is_key_line,emotion_derived_by,target_derived_by,llm_confidence,raw_line
pdf_01000000__01005013___06cdc26947,双摇会,pdf_01000000__01005013___06cdc26947__line__000001,pdf_01000000__01005013___06cdc26947__scene__000,01005013_双摇会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005013_双摇会.pdf,01000000/01005013_双摇会.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,0,序幕/前置内容,1,narration,narration,,,,# 《双摇会》（一名：《二美夺夫》）,,,,,,,1,,,,# 《双摇会》（一名：《二美夺夫》）
pdf_01000000__01005013___06cdc26947,双摇会,pdf_01000000__01005013___06cdc26947__line__000029,pdf_01000000__01005013___06cdc26947__scene__001,01005013_双摇会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005013_双摇会.pdf,01000000/01005013_双摇会.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,29,dialogue,dialogue,王氏,pdf_01000000__01005013___06cdc26947__char__855cb27a41,白,哽哼!,,,,,,念白,0,,,,王氏（白）哽哼!
pdf_01000000__01005013___06cdc26947,双摇会,pdf_01000000__01005013___06cdc26947__line__000029,pdf_01000000__01005013___06cdc26947__scene__001,01005013_双摇会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005013_双摇会.pdf,01000000/01005013_双摇会.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,29,dialogue,dialogue,王氏,pdf_01000000__01005013___06cdc26947__char__855cb27a41,白,"我,王氏。配夫李相公为妻,是一个教书的,常常在外。不晓得听了什么人的话,又娶了一个二奶奶。没有娶她的工夫,我们两口子,不提多好呢;如今娶了她,把我就甩了。今天相公不在家,我把她叫出来,帮我作作活。她要不好好地作,趁着相公不在家,我打她两下,出出我的气。二娘!二奶奶!唬!跟我滚出来罢!",李相公,pdf_01000000__01005013___06cdc26947__char__b96c9cfa65,愤怒,,李相公；王氏,下；来；叫；打；念白,1,rule,rule,,"王氏（白）我,王氏。配夫李相公为妻,是一个教书的,常常在外。不晓得听了什么人的话,又娶了一个二奶奶。没有娶她的工夫,我们两口子,不提多好呢;如今娶了她,把我就甩了。今天相公不在家,我把她叫出来,帮我作作活。她要不好好地作,趁着相公不在家,我打她两下,出出我的气。二娘!二奶奶!唬!跟我滚出来罢!"
pdf_01000000__01005013___06cdc26947,双摇会,pdf_01000000__01005013___06cdc26947__line__000029,pdf_01000000__01005013___06cdc26947__scene__001,01005013_双摇会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005013_双摇会.pdf,01000000/01005013_双摇会.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,29,dialogue,dialogue,小妾,pdf_01000000__01005013___06cdc26947__char__77d767e70c,念,"忽听大娘唤,迈步到跟前。",王氏,pdf_01000000__01005013___06cdc26947__char__855cb27a41,,,,唤,0,,rule,,"小妾（念）忽听大娘唤,迈步到跟前。"
pdf_01000000__01005013___06cdc26947,双摇会,pdf_01000000__01005013___06cdc26947__line__000029,pdf_01000000__01005013___06cdc26947__scene__001,01005013_双摇会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005013_双摇会.pdf,01000000/01005013_双摇会.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,29,dialogue,dialogue,王氏,pdf_01000000__01005013___06cdc26947__char__855cb27a41,白,"罢了,坐下罢。",小妾,pdf_01000000__01005013___06cdc26947__char__77d767e70c,,,,下；坐；念白,0,,rule,,"王氏（白）罢了,坐下罢。"
pdf_01000000__01005013___06cdc26947,双摇会,pdf_01000000__01005013___06cdc26947__line__000029,pdf_01000000__01005013___06cdc26947__scene__001,01005013_双摇会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005013_双摇会.pdf,01000000/01005013_双摇会.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,29,dialogue,dialogue,小妾,pdf_01000000__01005013___06cdc26947__char__77d767e70c,白,"大奶奶,把我叫出来有什么事情?",王氏,pdf_01000000__01005013___06cdc26947__char__855cb27a41,,,,来；叫；念白,0,,rule,,"小妾（白）大奶奶,把我叫出来有什么事情?"
pdf_01000000__01005013___06cdc26947,双摇会,pdf_01000000__01005013___06cdc26947__line__000029,pdf_01000000__01005013___06cdc26947__scene__001,01005013_双摇会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005013_双摇会.pdf,01000000/01005013_双摇会.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,29,dialogue,dialogue,王氏,pdf_01000000__01005013___06cdc26947__char__855cb27a41,白,"我打娘家带的活来,叫你帮我做做,行不行?",小妾,pdf_01000000__01005013___06cdc26947__char__77d767e70c,,,,来；叫；打；念白,1,,rule,,"王氏（白）我打娘家带的活来,叫你帮我做做,行不行?"
pdf_01000000__01005013___06cdc26947,双摇会,pdf_01000000__01005013___06cdc26947__line__000029,pdf_01000000__01005013___06cdc26947__scene__001,01005013_双摇会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005013_双摇会.pdf,01000000/01005013_双摇会.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,29,dialogue,dialogue,小妾,pdf_01000000__01005013___06cdc26947__char__77d767e70c,白,行。在哪里做?,王氏,pdf_01000000__01005013___06cdc26947__char__855cb27a41,,,,念白,0,,rule,,小妾（白）行。在哪里做?
pdf_01000000__01005013___06cdc26947,双摇会,pdf_01000000__01005013___06cdc26947__line__000029,pdf_01000000__01005013___06cdc26947__scene__001,01005013_双摇会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005013_双摇会.pdf,01000000/01005013_双摇会.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,29,dialogue,dialogue,王氏,pdf_01000000__01005013___06cdc26947__char__855cb27a41,白,在我屋里做。,小妾,pdf_01000000__01005013___06cdc26947__char__77d767e70c,,,,念白,0,,rule,,王氏（白）在我屋里做。
pdf_01000000__01005013___06cdc26947,双摇会,pdf_01000000__01005013___06cdc26947__line__000029,pdf_01000000__01005013___06cdc26947__scene__001,01005013_双摇会.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01005013_双摇会.pdf,01000000/01005013_双摇会.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,29,dialogue,dialogue,小妾,pdf_01000000__01005013___06cdc26947__char__77d767e70c,白,"你屋里怪黑的,在我屋里做去。",王氏,pdf_01000000__01005013___06cdc26947__char__855cb27a41,,,,去；念白,0,,rule,,"小妾（白）你屋里怪黑的,在我屋里做去。"
