doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01005013___06cdc26947,双摇会,老街坊,小街坊,同场共现,51,同场共现；对话,（王氏打小妾，李相公生，拿椅子。老街坊、小街坊同上。）,stage_direction,
pdf_01000000__01005013___06cdc26947,双摇会,小街坊,老街坊,对话,49,,请吓!,adjacency,
pdf_01000000__01005013___06cdc26947,双摇会,王氏,小妾,对抗,44,同场共现；对抗；对话,王氏打骂小妾并威胁不许告状,llm,
pdf_01000000__01005013___06cdc26947,双摇会,小妾,王氏,对抗,37,对抗；对话,小妾背后骂王氏贱人，欲向李相公告状,llm,
pdf_01000000__01005013___06cdc26947,双摇会,小街坊,王氏,同场共现,32,劝阻；同场共现；对话,（王氏打小妾，李相公生，拿椅子。老街坊、小街坊同上。）,stage_direction,
pdf_01000000__01005013___06cdc26947,双摇会,王氏,小街坊,对话,29,,"好吓,你道相公在家,我不敢打你!你过来,好贱人!",adjacency,
pdf_01000000__01005013___06cdc26947,双摇会,小街坊,小妾,同场共现,23,劝阻；同场共现；对话,（王氏打小妾，李相公生，拿椅子。老街坊、小街坊同上。）,stage_direction,
pdf_01000000__01005013___06cdc26947,双摇会,小妾,小街坊,对话,20,,为的是生儿养女。,adjacency,
pdf_01000000__01005013___06cdc26947,双摇会,李相公,书童,提及,12,同场共现；对话；提及,"书童带路往前行,不觉来到自家门。",mention,
pdf_01000000__01005013___06cdc26947,双摇会,李相公,小妾,协助,9,协助；同场共现；对话,李相公温和对待小妾，称其‘二娘’,llm,
pdf_01000000__01005013___06cdc26947,双摇会,书童,李相公,对话,7,,"到了,相公。",adjacency,
pdf_01000000__01005013___06cdc26947,双摇会,小妾,李相公,对话,7,,贱人吓!,adjacency,
pdf_01000000__01005013___06cdc26947,双摇会,老街坊,小妾,同场共现,7,劝阻；同场共现；对话,（王氏打小妾，李相公生，拿椅子。老街坊、小街坊同上。）,stage_direction,
pdf_01000000__01005013___06cdc26947,双摇会,王氏,李相公,对抗,6,对抗；对话,"我,王氏。配夫李相公为妻,是一个教书的,常常在外。不晓得听了什么人的话,又娶了一个二奶奶。没有娶她的工夫,我们两口子,不提多好呢;如今娶了她,把我就甩了。今天相",llm,
pdf_01000000__01005013___06cdc26947,双摇会,李相公,小街坊,评价,5,同场共现；对话；评价,李相公说'家务之事，一言难尽',llm,
pdf_01000000__01005013___06cdc26947,双摇会,李相公,王氏,同场共现,5,同场共现；对话,（书童上，王氏打书童，书童下。李相公、小妾同上。）,stage_direction,
pdf_01000000__01005013___06cdc26947,双摇会,老街坊,王氏,同场共现,5,劝阻；同场共现；对话,（王氏打小妾，李相公生，拿椅子。老街坊、小街坊同上。）,stage_direction,
pdf_01000000__01005013___06cdc26947,双摇会,小街坊,李相公,提及,4,对话；提及,这倒不错。老头子你说话。李相公、大奶奶、二奶奶都贴过来。老头子你抄起来。,mention,
pdf_01000000__01005013___06cdc26947,双摇会,李相公,老街坊,评价,3,同场共现；对话；评价,李相公说'家务之事，一言难尽',llm,
pdf_01000000__01005013___06cdc26947,双摇会,王氏,老街坊,对话,3,,"谁看?不要碰,碰了要拼命。",adjacency,
pdf_01000000__01005013___06cdc26947,双摇会,小妾,老街坊,对话,2,,"你想着,春天不下种,苗从何处生?",adjacency,
pdf_01000000__01005013___06cdc26947,双摇会,老街坊,李相公,提及,2,对话；提及,"我弄错了。李相公、大奶奶、二奶奶,你们常常闹,也不是事情。依我老汉的主意,把这个家分了罢。",mention,
pdf_01000000__01005013___06cdc26947,双摇会,书童,小妾,对话,1,,晓得。大奶奶开门。,adjacency,
pdf_01000000__01005013___06cdc26947,双摇会,小妾,书童,同场共现,1,,（书童上，王氏打书童，书童下。李相公、小妾同上。）,stage_direction,
pdf_01000000__01005013___06cdc26947,双摇会,小街坊,家人,对抗,1,,"大奶奶是个当家人,脸上转不开,打算要买你这个会。",mention,
pdf_01000000__01005013___06cdc26947,双摇会,王氏,书童,同场共现,1,,（书童上，王氏打书童，书童下。李相公、小妾同上。）,stage_direction,
pdf_01000000__01005013___06cdc26947,双摇会,王氏,家人,对抗,1,,"二位老人家,这个会是二奶奶得了。我总是个当家人,脸上有点磨不开。我么,要打算买她的这个会。",mention,
