doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,王行瑜,朱官,对话/应答,对话,1,特访西施美。,pdf_01000000__01005014___6bb4818c67__line__000035,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,朱官,石夜珠,对话/应答,对话,2,要化东家钱。,pdf_01000000__01005014___6bb4818c67__line__000039,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,石夜珠,朱官,对话/应答,对话,2,正是。干什么来的？,pdf_01000000__01005014___6bb4818c67__line__000045,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,朱官,王行瑜,对话/应答,对话,2,我们来逛窑子的。,pdf_01000000__01005014___6bb4818c67__line__000049,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,王行瑜,石夜珠,对话/应答,对话,8,哎，闪开！,pdf_01000000__01005014___6bb4818c67__line__000051,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,石夜珠,王行瑜,对话/应答,对话,7,哈哈哈！这像人说话，只是来得不凑巧。,pdf_01000000__01005014___6bb4818c67__line__000055,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,石夜珠,丫头,对话/应答,对话,1,"待我来问问看。丫头们,姑娘起来没有?",pdf_01000000__01005014___6bb4818c67__line__000063,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,丫头,石夜珠,对话/应答,对话,1,起来了。,pdf_01000000__01005014___6bb4818c67__line__000063,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,石夜珠,石中玉,对话/应答,对话,3,"是。丫头们,外面有客,请姑娘出来见见。",pdf_01000000__01005014___6bb4818c67__line__000063,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,石中玉,石夜珠,对话/应答,对话,3,"饮酒莫叫醉,看花休上头。为人若知趣,到处皆风流。",pdf_01000000__01005014___6bb4818c67__line__000063,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,石中玉,王行瑜,对话/应答,对话,4,是哪三位?,pdf_01000000__01005014___6bb4818c67__line__000063,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,王行瑜,石中玉,对话/应答,对话,3,"哎,成何体统?放老诚些!",pdf_01000000__01005014___6bb4818c67__line__000063,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,王行瑜,马官,对话/应答,对话,2,学生姓杨。,pdf_01000000__01005014___6bb4818c67__line__000063,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,马官,朱官,对话/应答,对话,1,小生姓马。,pdf_01000000__01005014___6bb4818c67__line__000063,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,朱官,石中玉,对话/应答,对话,1,老生姓朱。,pdf_01000000__01005014___6bb4818c67__line__000063,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,石夜珠,马官,对话/应答,对话,2,是。请用茶。,pdf_01000000__01005014___6bb4818c67__line__000063,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,马官,王行瑜,对话/应答,对话,1,"慢些慢些,这是讲礼的地方。坐错了位,叫人笑话。",pdf_01000000__01005014___6bb4818c67__line__000063,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,马官,石中玉,对话/应答,对话,1,"你是羊,他是猪,我是马。马比猪大,该我坐第一位。",pdf_01000000__01005014___6bb4818c67__line__000063,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,石中玉,朱官,对话/应答,对话,1,这话有理。,pdf_01000000__01005014___6bb4818c67__line__000063,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,马官,石夜珠,对话/应答,对话,1,"我是白吃白喝白挑眼,不会化钱。",pdf_01000000__01005014___6bb4818c67__line__000063,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,2,【第二场】,二将,李景让,对话/应答,对话,2,"左右牙将求大人。王行瑜犯罪,理当斩首。看在末将等,鞍前马后,将他饶恕。",pdf_01000000__01005014___6bb4818c67__line__000073,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,2,【第二场】,李景让,二将,对话/应答,对话,2,"王行瑜犯法不斩,倘众将效尤,成何体统?不准,下去!惟有营务事当整,岂容结党来求情。快出帐去免责问,",pdf_01000000__01005014___6bb4818c67__line__000073,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,2,【第二场】,李景让,石中玉,对话/应答,对话,10,"刀斧手!快将行瑜上了捆,慢着!",pdf_01000000__01005014___6bb4818c67__line__000073,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,2,【第二场】,石中玉,李景让,对话/应答,对话,10,"刚刀不杀无罪人。我看王行瑜,他没有犯什么死罪,我看有点斩不得。",pdf_01000000__01005014___6bb4818c67__line__000073,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,2,【第二场】,二将,太夫人,对话/应答,对话,1,再请夫人听根苗。,pdf_01000000__01005014___6bb4818c67__line__000077,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,2,【第二场】,太夫人,王行瑜,对话/应答,对话,3,"尔等那里知道:这奴才能悔其面,难悔其心。王行瑜虽则未斩,奴才轻举妄动。众将不必讲情,起过一边。",pdf_01000000__01005014___6bb4818c67__line__000077,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,2,【第二场】,王行瑜,太夫人,对话/应答,对话,2,上前哀求老年高。,pdf_01000000__01005014___6bb4818c67__line__000077,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,2,【第二场】,王行瑜,石中玉,对话/应答,对话,1,多谢太夫人。,pdf_01000000__01005014___6bb4818c67__line__000077,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,2,【第二场】,石中玉,太夫人,对话/应答,对话,10,我们这里还跪着一个呢。,pdf_01000000__01005014___6bb4818c67__line__000077,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,2,【第二场】,太夫人,石中玉,对话/应答,对话,9,"这一女子,你是何人?",pdf_01000000__01005014___6bb4818c67__line__000077,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,2,【第二场】,太夫人,李景让,对话/应答,对话,1,蠢才还不起来。,pdf_01000000__01005014___6bb4818c67__line__000077,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,2,【第二场】,二将,王行瑜,提及,提及,1,"左右牙将求大人。王行瑜犯罪,理当斩首。看在末将等,鞍前马后,将他饶恕。",pdf_01000000__01005014___6bb4818c67__line__000073,mention,
pdf_01000000__01005014___6bb4818c67,胭脂虎,2,【第二场】,李景让,王行瑜,问答,对话,1,"王行瑜犯法不斩,倘众将效尤,成何体统?不准,下去!惟有营务事当整,岂容结党来求情。快出帐去免责问,",pdf_01000000__01005014___6bb4818c67__line__000073,mention,
