doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01005014___6bb4818c67,胭脂虎,石中玉,李景让,对抗,30,协助；命令；对抗；对话,石中玉以历史典故反驳李景让,llm,
pdf_01000000__01005014___6bb4818c67,胭脂虎,太夫人,石中玉,协助,21,协助；对话；提及；收为义女；许婚,太夫人让石中玉起来并站在跟前,llm,
pdf_01000000__01005014___6bb4818c67,胭脂虎,李景让,石中玉,命令,21,协助；命令；对话,李景让下令绑石中玉,llm,
pdf_01000000__01005014___6bb4818c67,胭脂虎,石中玉,庞勋,对抗,19,对抗；对话,石中玉设计擒拿庞勋,llm,
pdf_01000000__01005014___6bb4818c67,胭脂虎,庞勋,石中玉,对话,16,,"杀了半天,杀出娘儿们来呢!",adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,石中玉,太夫人,协助,14,协助；对话,石中玉为李景让向太夫人求情,llm,
pdf_01000000__01005014___6bb4818c67,胭脂虎,太夫人,李景让,命令,11,命令；对话；提及,太夫人令李景让起来,llm,
pdf_01000000__01005014___6bb4818c67,胭脂虎,李景让,太夫人,汇报,10,对话；汇报,李景让向太夫人报告庞勋被擒,llm,
pdf_01000000__01005014___6bb4818c67,胭脂虎,太夫人,王行瑜,协助,9,协助；对话；提及,太夫人赦免王行瑜并让他起来,llm,
pdf_01000000__01005014___6bb4818c67,胭脂虎,石夜珠,王行瑜,对抗,9,对抗；对话,石夜珠讽刺王行瑜忘带银两，比她还穷。,llm,
pdf_01000000__01005014___6bb4818c67,胭脂虎,王行瑜,石夜珠,对话,8,,哎，闪开！,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,王行瑜,石中玉,对话,5,对话；试探,"哎,成何体统?放老诚些!",adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,石中玉,王行瑜,对抗,5,对抗；对话,"刚刀不杀无罪人。我看王行瑜,他没有犯什么死罪,我看有点斩不得。",mention,
pdf_01000000__01005014___6bb4818c67,胭脂虎,二将,李景让,对话,4,劝阻；对话,"左右牙将求大人。王行瑜犯罪,理当斩首。看在末将等,鞍前马后,将他饶恕。",adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,李景让,王行瑜,命令,4,命令；对话,李景让下令斩王行瑜,llm,
pdf_01000000__01005014___6bb4818c67,胭脂虎,太夫人,庞勋,命令,3,命令；对话,太夫人下令将庞勋押下,llm,
pdf_01000000__01005014___6bb4818c67,胭脂虎,庞勋,王行瑜,对抗,3,对抗；对话,庞勋与王行瑜开打,llm,
pdf_01000000__01005014___6bb4818c67,胭脂虎,朱官,王行瑜,对抗,3,对抗；对话,朱官争坐次，称猪比羊大。,llm,
pdf_01000000__01005014___6bb4818c67,胭脂虎,王行瑜,太夫人,对话,3,对话；礼节/隶属,上前哀求老年高。,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,石中玉,石夜珠,对话,3,,"饮酒莫叫醉,看花休上头。为人若知趣,到处皆风流。",adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,石夜珠,石中玉,对话,3,,"是。丫头们,外面有客,请姑娘出来见见。",adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,太夫人,龙套,提及,2,,耳听龙吟与虎啸，（四龙套同上，李景让、石中玉、太夫人同上。）,mention,
pdf_01000000__01005014___6bb4818c67,胭脂虎,朱官,石夜珠,对话,2,,要化东家钱。,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,李景让,二将,对话,2,,"王行瑜犯法不斩,倘众将效尤,成何体统?不准,下去!惟有营务事当整,岂容结党来求情。快出帐去免责问,",adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,王行瑜,庞勋,对话,2,,来的敢是庞勋？,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,王行瑜,马官,对话,2,,学生姓杨。,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,王行瑜,龙套,同场共现,2,,（四红龙套同上，王行瑜、众将同上。）,stage_direction,
pdf_01000000__01005014___6bb4818c67,胭脂虎,石夜珠,朱官,对话,2,,正是。干什么来的？,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,石夜珠,马官,对话,2,,是。请用茶。,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,马官,王行瑜,对抗,2,对抗；对话,马官争坐次，称马比羊大。,llm,
pdf_01000000__01005014___6bb4818c67,胭脂虎,丫头,石夜珠,对话,1,,起来了。,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,二将,太夫人,对话,1,,再请夫人听根苗。,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,二将,王行瑜,提及,1,,"左右牙将求大人。王行瑜犯罪,理当斩首。看在末将等,鞍前马后,将他饶恕。",mention,
pdf_01000000__01005014___6bb4818c67,胭脂虎,庞勋,太夫人,对话,1,,"老太太,我上了她的当了!",adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,朱官,石中玉,对话,1,,老生姓朱。,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,王行瑜,朱官,对话,1,,特访西施美。,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,王行瑜,李景让,对话,1,,小舅子!,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,石中玉,朱官,对话,1,,这话有理。,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,石夜珠,丫头,对话,1,,"待我来问问看。丫头们,姑娘起来没有?",adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,马官,朱官,对话,1,,小生姓马。,adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,马官,石中玉,对话,1,,"你是羊,他是猪,我是马。马比猪大,该我坐第一位。",adjacency,
pdf_01000000__01005014___6bb4818c67,胭脂虎,马官,石夜珠,对话,1,,"我是白吃白喝白挑眼,不会化钱。",adjacency,
