doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01005014___6bb4818c67,胭脂虎,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,亲情,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,亲情,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,亲情,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,亲情,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,历史与道德,权力与反抗,1,【第二场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,历史与道德,离散,1,【第二场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,历史与道德,身份与偏见,1,【第二场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,女性力量,忠义,1,【第五场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,女性力量,权谋,1,【第五场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,女性力量,身份反转,1,【第五场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,女性立功,忠义,1,【第四场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,女性立功,情爱,1,【第四场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,女性立功,身份转变,1,【第四场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,家国,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,家国,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,家国,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,家国,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,对抗,征服,1,【第三场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,对抗,战争,1,【第三场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,征服,战争,1,【第三场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,忠义,情爱,1,【第四场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,忠义,权谋,1,【第五场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,忠义,身份反转,1,【第五场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,忠义,身份转变,1,【第四场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,情爱,战争,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,情爱,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,情爱,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,情爱,身份转变,1,【第四场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,战争,权谋,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,战争,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,权力与反抗,离散,1,【第二场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,权力与反抗,身份与偏见,1,【第二场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,权谋,离散,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,权谋,身份反转,1,【第五场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,离散,身份与偏见,1,【第二场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,虚伪,身份,1,【第一场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,虚伪,金钱,1,【第一场】,scene_cooccurrence
pdf_01000000__01005014___6bb4818c67,胭脂虎,身份,金钱,1,【第一场】,scene_cooccurrence
