doc_id,doc_title,scene_index,scene,theme_stage,theme_label_raw,theme_label,theme_strength,theme_role_links,evidence,derived_by
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,【第一场】,虚伪,虚伪,1,丫头；朱官；王行瑜；石中玉；石夜珠；马官,王行瑜携马官、朱官拜访名妓石中玉，石夜珠接待。三人因坐次和付账争执，王行瑜以忘带银两为由推诿，石夜珠讽刺其忘带性命。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,【第一场】,金钱,金钱,1,丫头；朱官；王行瑜；石中玉；石夜珠；马官,王行瑜携马官、朱官拜访名妓石中玉，石夜珠接待。三人因坐次和付账争执，王行瑜以忘带银两为由推诿，石夜珠讽刺其忘带性命。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,1,【第一场】,【第一场】,身份,身份,1,丫头；朱官；王行瑜；石中玉；石夜珠；马官,王行瑜携马官、朱官拜访名妓石中玉，石夜珠接待。三人因坐次和付账争执，王行瑜以忘带银两为由推诿，石夜珠讽刺其忘带性命。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,2,【第二场】,【第二场】,身份与偏见,身份与偏见,1,二将；太夫人；李景让；王行瑜；石中玉,李景让欲斩王行瑜，二将求情被拒。妓女石中玉挺身辩护，以历史典故驳斥李景让，激怒李景让下令同绑。太夫人出面，赦免二人，石中玉为李景让求情。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,2,【第二场】,【第二场】,权力与反抗,权力与反抗,1,二将；太夫人；李景让；王行瑜；石中玉,李景让欲斩王行瑜，二将求情被拒。妓女石中玉挺身辩护，以历史典故驳斥李景让，激怒李景让下令同绑。太夫人出面，赦免二人，石中玉为李景让求情。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,2,【第二场】,【第二场】,历史与道德,历史与道德,1,二将；太夫人；李景让；王行瑜；石中玉,李景让欲斩王行瑜，二将求情被拒。妓女石中玉挺身辩护，以历史典故驳斥李景让，激怒李景让下令同绑。太夫人出面，赦免二人，石中玉为李景让求情。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,2,【第二场】,【第二场】,性别与阶级,离散,1,二将；太夫人；李景让；王行瑜；石中玉,李景让欲斩王行瑜，二将求情被拒。妓女石中玉挺身辩护，以历史典故驳斥李景让，激怒李景让下令同绑。太夫人出面，赦免二人，石中玉为李景让求情。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,3,【第三场】,【第三场】,战争,战争,1,庞勋；王行瑜,庞勋率军攻打会稽城，与守将王行瑜对阵。王行瑜劝降遭拒，双方开打，王行瑜败退，庞勋追击。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,3,【第三场】,【第三场】,对抗,对抗,1,庞勋；王行瑜,庞勋率军攻打会稽城，与守将王行瑜对阵。王行瑜劝降遭拒，双方开打，王行瑜败退，庞勋追击。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,3,【第三场】,【第三场】,征服,征服,1,庞勋；王行瑜,庞勋率军攻打会稽城，与守将王行瑜对阵。王行瑜劝降遭拒，双方开打，王行瑜败退，庞勋追击。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,4,【第四场】,【第四场】,忠孝,忠义,1,太夫人；李景让；石中玉,太夫人收石中玉为义女，许配王行瑜，石中玉答应出城擒庞勋，李景让为其带马，石中玉立誓立功。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,4,【第四场】,【第四场】,身份转变,身份转变,1,太夫人；李景让；石中玉,太夫人收石中玉为义女，许配王行瑜，石中玉答应出城擒庞勋，李景让为其带马，石中玉立誓立功。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,4,【第四场】,【第四场】,女性立功,女性立功,1,太夫人；李景让；石中玉,太夫人收石中玉为义女，许配王行瑜，石中玉答应出城擒庞勋，李景让为其带马，石中玉立誓立功。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,4,【第四场】,【第四场】,权宜联姻,情爱,1,太夫人；李景让；石中玉,太夫人收石中玉为义女，许配王行瑜，石中玉答应出城擒庞勋，李景让为其带马，石中玉立誓立功。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,5,【第五场】,【第五场】,智谋,权谋,1,太夫人；庞勋；李景让；王行瑜；石中玉,石中玉以妓女身份智擒叛将庞勋，通过戏谑比武使其放松警惕，最终成功将其拿获，为李景让立功，太夫人准备为其完婚。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,5,【第五场】,【第五场】,身份反转,身份反转,1,太夫人；庞勋；李景让；王行瑜；石中玉,石中玉以妓女身份智擒叛将庞勋，通过戏谑比武使其放松警惕，最终成功将其拿获，为李景让立功，太夫人准备为其完婚。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,5,【第五场】,【第五场】,忠诚与背叛,忠义,1,太夫人；庞勋；李景让；王行瑜；石中玉,石中玉以妓女身份智擒叛将庞勋，通过戏谑比武使其放松警惕，最终成功将其拿获，为李景让立功，太夫人准备为其完婚。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,5,【第五场】,【第五场】,女性力量,女性力量,1,太夫人；庞勋；李景让；王行瑜；石中玉,石中玉以妓女身份智擒叛将庞勋，通过戏谑比武使其放松警惕，最终成功将其拿获，为李景让立功，太夫人准备为其完婚。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,0,序幕/前置内容,序幕/前置内容,权谋,权谋,1,,# 《胭脂虎》；# （一名：《元帅带马》；一名：《妓女擒寇》）,keyword
pdf_01000000__01005014___6bb4818c67,胭脂虎,0,序幕/前置内容,序幕/前置内容,战争,战争,1,,# 《胭脂虎》；# （一名：《元帅带马》；一名：《妓女擒寇》）,keyword
pdf_01000000__01005014___6bb4818c67,胭脂虎,0,序幕/前置内容,序幕/前置内容,家国,家国,1,,# 《胭脂虎》；# （一名：《元帅带马》；一名：《妓女擒寇》）,keyword
pdf_01000000__01005014___6bb4818c67,胭脂虎,0,序幕/前置内容,序幕/前置内容,亲情,亲情,1,,# 《胭脂虎》；# （一名：《元帅带马》；一名：《妓女擒寇》）,keyword
pdf_01000000__01005014___6bb4818c67,胭脂虎,0,序幕/前置内容,序幕/前置内容,情爱,情爱,1,,# 《胭脂虎》；# （一名：《元帅带马》；一名：《妓女擒寇》）,keyword
