doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01005014___6bb4818c67,胭脂虎,忠义,2,太夫人收石中玉为义女，许配王行瑜，石中玉答应出城擒庞勋，李景让为其带马，石中玉立誓立功。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,情爱,2,太夫人收石中玉为义女，许配王行瑜，石中玉答应出城擒庞勋，李景让为其带马，石中玉立誓立功。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,战争,2,庞勋率军攻打会稽城，与守将王行瑜对阵。王行瑜劝降遭拒，双方开打，王行瑜败退，庞勋追击。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,权谋,2,石中玉以妓女身份智擒叛将庞勋，通过戏谑比武使其放松警惕，最终成功将其拿获，为李景让立功，太夫人准备为其完婚。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,离散,2,李景让欲斩王行瑜，二将求情被拒。妓女石中玉挺身辩护，以历史典故驳斥李景让，激怒李景让下令同绑。太夫人出面，赦免二人，石中玉为李景让求情。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,亲情,1,# 《胭脂虎》；# （一名：《元帅带马》；一名：《妓女擒寇》）,keyword
pdf_01000000__01005014___6bb4818c67,胭脂虎,历史与道德,1,李景让欲斩王行瑜，二将求情被拒。妓女石中玉挺身辩护，以历史典故驳斥李景让，激怒李景让下令同绑。太夫人出面，赦免二人，石中玉为李景让求情。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,女性力量,1,石中玉以妓女身份智擒叛将庞勋，通过戏谑比武使其放松警惕，最终成功将其拿获，为李景让立功，太夫人准备为其完婚。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,女性立功,1,太夫人收石中玉为义女，许配王行瑜，石中玉答应出城擒庞勋，李景让为其带马，石中玉立誓立功。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,家国,1,# 《胭脂虎》；# （一名：《元帅带马》；一名：《妓女擒寇》）,keyword
pdf_01000000__01005014___6bb4818c67,胭脂虎,对抗,1,庞勋率军攻打会稽城，与守将王行瑜对阵。王行瑜劝降遭拒，双方开打，王行瑜败退，庞勋追击。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,征服,1,庞勋率军攻打会稽城，与守将王行瑜对阵。王行瑜劝降遭拒，双方开打，王行瑜败退，庞勋追击。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,权力与反抗,1,李景让欲斩王行瑜，二将求情被拒。妓女石中玉挺身辩护，以历史典故驳斥李景让，激怒李景让下令同绑。太夫人出面，赦免二人，石中玉为李景让求情。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,虚伪,1,王行瑜携马官、朱官拜访名妓石中玉，石夜珠接待。三人因坐次和付账争执，王行瑜以忘带银两为由推诿，石夜珠讽刺其忘带性命。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,身份,1,王行瑜携马官、朱官拜访名妓石中玉，石夜珠接待。三人因坐次和付账争执，王行瑜以忘带银两为由推诿，石夜珠讽刺其忘带性命。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,身份与偏见,1,李景让欲斩王行瑜，二将求情被拒。妓女石中玉挺身辩护，以历史典故驳斥李景让，激怒李景让下令同绑。太夫人出面，赦免二人，石中玉为李景让求情。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,身份反转,1,石中玉以妓女身份智擒叛将庞勋，通过戏谑比武使其放松警惕，最终成功将其拿获，为李景让立功，太夫人准备为其完婚。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,身份转变,1,太夫人收石中玉为义女，许配王行瑜，石中玉答应出城擒庞勋，李景让为其带马，石中玉立誓立功。,llm
pdf_01000000__01005014___6bb4818c67,胭脂虎,金钱,1,王行瑜携马官、朱官拜访名妓石中玉，石夜珠接待。三人因坐次和付账争执，王行瑜以忘带银两为由推诿，石夜珠讽刺其忘带性命。,llm
