doc_id,doc_title,scene_index,scene,source,target,relation_type_raw,relation_type,weight,evidence,evidence_line_ids,derived_by,llm_confidence
pdf_01000000__01005016___bf6dd90755,大劈棺,1,【第一场】,庄周,童儿,对话/应答,对话,7,"奉师严命下山林,探望田氏转回还。行几步来至在寒家院,",pdf_01000000__01005016___bf6dd90755__line__000021,adjacency,
pdf_01000000__01005016___bf6dd90755,大劈棺,1,【第一场】,童儿,庄周,对话/应答,对话,7,参见师傅。,pdf_01000000__01005016___bf6dd90755__line__000021,adjacency,
pdf_01000000__01005016___bf6dd90755,大劈棺,1,【第一场】,童儿,田氏,对话/应答,对话,3,有请师娘。,pdf_01000000__01005016___bf6dd90755__line__000021,adjacency,
pdf_01000000__01005016___bf6dd90755,大劈棺,1,【第一场】,田氏,童儿,对话/应答,对话,3,"但不知他请我所为何情?出言来我把童儿问,请师娘出二堂为着何来?",pdf_01000000__01005016___bf6dd90755__line__000021,adjacency,
pdf_01000000__01005016___bf6dd90755,大劈棺,1,【第一场】,田氏,庄周,对话/应答,对话,24,"浑身上下俱改妆。走上前来把礼见,再对先生说端详。",pdf_01000000__01005016___bf6dd90755__line__000021,adjacency,
pdf_01000000__01005016___bf6dd90755,大劈棺,1,【第一场】,庄周,田氏,对话/应答,对话,24,回来了。,pdf_01000000__01005016___bf6dd90755__line__000023,adjacency,
pdf_01000000__01005016___bf6dd90755,大劈棺,1,【第一场】,童儿,老板,对话/应答,对话,20,晓得哉!,pdf_01000000__01005016___bf6dd90755__line__000023,adjacency,
pdf_01000000__01005016___bf6dd90755,大劈棺,1,【第一场】,老板,童儿,对话/应答,对话,20,干什么?,pdf_01000000__01005016___bf6dd90755__line__000023；pdf_01000000__01005016___bf6dd90755__line__000035,adjacency,
pdf_01000000__01005016___bf6dd90755,大劈棺,1,【第一场】,庄周,田氏,命令/请求,命令,3,"奉师严命下山林,探望田氏转回还。行几步来至在寒家院,",pdf_01000000__01005016___bf6dd90755__line__000021,mention,
pdf_01000000__01005016___bf6dd90755,大劈棺,1,【第一场】,庄周,童儿,提及,提及,3,"罢了。又只见童儿在面前。上房对你师娘讲,你就说师傅转回还。",pdf_01000000__01005016___bf6dd90755__line__000021,mention,
pdf_01000000__01005016___bf6dd90755,大劈棺,1,【第一场】,田氏,童儿,命令/请求,命令,2,"忽听得童儿一声请,",pdf_01000000__01005016___bf6dd90755__line__000021,mention,
pdf_01000000__01005016___bf6dd90755,大劈棺,1,【第一场】,庄周,田氏,提及,提及,4,"哎,田氏,",pdf_01000000__01005016___bf6dd90755__line__000023,mention,
pdf_01000000__01005016___bf6dd90755,大劈棺,1,【第一场】,庄周,田氏,问答,对话,1,田氏可曾看过?,pdf_01000000__01005016___bf6dd90755__line__000023,mention,
pdf_01000000__01005016___bf6dd90755,大劈棺,1,【第一场】,田氏,童儿,提及,提及,1,"有田氏跪留平,尊一声先生听我言:今日你死还罢了,撇下了为妻倚靠何人?叩罢头来抽身起,再叫童儿听分明:",pdf_01000000__01005016___bf6dd90755__line__000023,mention,
pdf_01000000__01005016___bf6dd90755,大劈棺,2,【第二场】,王孙,童男,对话/应答,对话,5,"正行走来用目看,再叫童儿听端详:",pdf_01000000__01005016___bf6dd90755__line__000033,adjacency,
pdf_01000000__01005016___bf6dd90755,大劈棺,2,【第二场】,童男,童儿,对话/应答,对话,18,晓得了。里头有人滚出一个来!,pdf_01000000__01005016___bf6dd90755__line__000033,adjacency,
pdf_01000000__01005016___bf6dd90755,大劈棺,2,【第二场】,童儿,童男,对话/应答,对话,18,"什么人鸡毛喧叫?嘎!这个人好像我二百五十大钱买来的童男,怎么会活了?不要紧,待我叫他一叫。特,二百五!",pdf_01000000__01005016___bf6dd90755__line__000033,adjacency,
pdf_01000000__01005016___bf6dd90755,大劈棺,2,【第二场】,童儿,田氏,对话/应答,对话,31,"你等着。师娘,有人吊丧!",pdf_01000000__01005016___bf6dd90755__line__000033,adjacency,
pdf_01000000__01005016___bf6dd90755,大劈棺,2,【第二场】,田氏,童儿,对话/应答,对话,33,问问是哪一家的?,pdf_01000000__01005016___bf6dd90755__line__000033,adjacency,
pdf_01000000__01005016___bf6dd90755,大劈棺,2,【第二场】,童男,王孙,对话/应答,对话,4,"里面说了,叫你自己进去。",pdf_01000000__01005016___bf6dd90755__line__000033,adjacency,
pdf_01000000__01005016___bf6dd90755,大劈棺,2,【第二场】,王孙,田氏,对话/应答,对话,6,"哦,哦。",pdf_01000000__01005016___bf6dd90755__line__000023；pdf_01000000__01005016___bf6dd90755__line__000033,adjacency,
pdf_01000000__01005016___bf6dd90755,大劈棺,2,【第二场】,田氏,王孙,对话/应答,对话,4,见童儿在一旁珠泪汪汪。,pdf_01000000__01005016___bf6dd90755__line__000033,adjacency,
pdf_01000000__01005016___bf6dd90755,大劈棺,2,【第二场】,童男,田氏,对话/应答,对话,1,"小子,我们吊丧已毕,要回去了。",pdf_01000000__01005016___bf6dd90755__line__000033,adjacency,
pdf_01000000__01005016___bf6dd90755,大劈棺,2,【第二场】,童儿,王孙,对话/应答,对话,8,"不要拜,不要拜!拜不得,拜的不好!",pdf_01000000__01005016___bf6dd90755__line__000035,adjacency,
pdf_01000000__01005016___bf6dd90755,大劈棺,2,【第二场】,王孙,童儿,对话/应答,对话,6,打量我命活不成!,pdf_01000000__01005016___bf6dd90755__line__000035,adjacency,
pdf_01000000__01005016___bf6dd90755,大劈棺,2,【第二场】,王孙,童儿,提及,提及,1,"正行走来用目看,再叫童儿听端详:",pdf_01000000__01005016___bf6dd90755__line__000033,mention,
pdf_01000000__01005016___bf6dd90755,大劈棺,2,【第二场】,童男,王孙,提及,提及,1,我家师傅是楚国王孙。,pdf_01000000__01005016___bf6dd90755__line__000033,mention,
pdf_01000000__01005016___bf6dd90755,大劈棺,2,【第二场】,童儿,王孙,汇报,汇报,1,晓得了。回禀师娘:是楚国王孙。,pdf_01000000__01005016___bf6dd90755__line__000033,mention,
pdf_01000000__01005016___bf6dd90755,大劈棺,2,【第二场】,田氏,王孙,命令/请求,命令,2,"往外去传:就说你家师傅已死,师娘身穿重孝,不便迎接。请那王孙自己进来罢。",pdf_01000000__01005016___bf6dd90755__line__000033,mention,
pdf_01000000__01005016___bf6dd90755,大劈棺,2,【第二场】,童儿,王孙,提及,提及,1,"师娘身穿重孝,不便迎接。想王孙不是外人,自己进来罢。",pdf_01000000__01005016___bf6dd90755__line__000033,mention,
pdf_01000000__01005016___bf6dd90755,大劈棺,2,【第二场】,田氏,王孙,问答,对话,1,"有田氏在灵堂用目观望,见王孙他生得十分可爱。眉清目秀实好看,雅赛当年小潘郎。我有心与他成婚配,不知他耐烦不耐烦。奴不免上前去将他问过,师傅吓!",pdf_01000000__01005016___bf6dd90755__line__000033,mention,
pdf_01000000__01005016___bf6dd90755,大劈棺,2,【第二场】,田氏,童儿,提及,提及,4,见童儿在一旁珠泪汪汪。,pdf_01000000__01005016___bf6dd90755__line__000033,mention,
pdf_01000000__01005016___bf6dd90755,大劈棺,2,【第二场】,王孙,童儿,命令/请求,命令,1,"童儿往里去传:吊丧以毕,我们要回去了。",pdf_01000000__01005016___bf6dd90755__line__000033,mention,
pdf_01000000__01005016___bf6dd90755,大劈棺,2,【第二场】,田氏,童儿,命令/请求,命令,2,"童儿,往外去传说:师娘有四句话头,对上了让他们回去;对不上不让他们回去。",pdf_01000000__01005016___bf6dd90755__line__000033,mention,
pdf_01000000__01005016___bf6dd90755,大劈棺,2,【第二场】,田氏,童儿,问答,对话,1,"哎吓,且住,想我先生一死,这上上下下谁是我的亲人?这、这、这,如何是好?有了!童儿过来!",pdf_01000000__01005016___bf6dd90755__line__000037,mention,
pdf_01000000__01005016___bf6dd90755,大劈棺,3,【第三场】,田氏,庄周,对话/应答,对话,13,喊吓！,pdf_01000000__01005016___bf6dd90755__line__000043,adjacency,
