doc_id,doc_title,source,target,relation_type,weight,merged_relation_types,evidence,derived_by,llm_confidence
pdf_01000000__01005016___bf6dd90755,大劈棺,庄周,田氏,对抗,10,同场共现；命令；对抗；对话；提及；揭穿；试探,骂声田氏大不该，不该板斧来劈棺,llm_refined,0.95
pdf_01000000__01005016___bf6dd90755,大劈棺,田氏,童儿,命令,8,同场共现；命令；对话；提及,忽听得童儿一声请,llm_refined,0.9
pdf_01000000__01005016___bf6dd90755,大劈棺,田氏,庄周,欺骗,7,对话；承诺；欺骗,"浑身上下俱改妆。走上前来把礼见,再对先生说端详。",llm_refined,0.85
pdf_01000000__01005016___bf6dd90755,大劈棺,童儿,田氏,汇报,6,劝阻；对话,有请师娘。,llm_refined,0.8
pdf_01000000__01005016___bf6dd90755,大劈棺,童儿,童男,协助,4,协助；对话,童儿与童男互相传话,llm_refined,0.7
pdf_01000000__01005016___bf6dd90755,大劈棺,童儿,老板,对话,3,对话,晓得哉!,llm_refined,0.6
pdf_01000000__01005016___bf6dd90755,大劈棺,童男,童儿,对话,3,对话,晓得了。里头有人滚出一个来!,llm_refined,0.6
pdf_01000000__01005016___bf6dd90755,大劈棺,老板,童儿,对话,3,对话,干什么?,llm_refined,0.6
pdf_01000000__01005016___bf6dd90755,大劈棺,庄周,童儿,命令,2,对话；提及,"罢了。又只见童儿在面前。上房对你师娘讲,你就说师傅转回还。",llm_refined,0.7
pdf_01000000__01005016___bf6dd90755,大劈棺,王孙,田氏,命令,2,命令；对话,王孙提出三件条件要求田氏依从,llm_refined,0.7
pdf_01000000__01005016___bf6dd90755,大劈棺,王孙,童儿,命令,2,命令；对话；提及,"童儿往里去传:吊丧以毕,我们要回去了。",llm_refined,0.7
pdf_01000000__01005016___bf6dd90755,大劈棺,田氏,王孙,命令,2,命令；对话；试探,"往外去传:就说你家师傅已死,师娘身穿重孝,不便迎接。请那王孙自己进来罢。",llm_refined,0.75
pdf_01000000__01005016___bf6dd90755,大劈棺,童儿,庄周,协助,2,协助；对话,童儿听从庄周吩咐，去购买棺木和童男童女。,llm_refined,0.7
pdf_01000000__01005016___bf6dd90755,大劈棺,童儿,王孙,汇报,2,对话；提及；汇报,晓得了。回禀师娘:是楚国王孙。,llm_refined,0.7
pdf_01000000__01005016___bf6dd90755,大劈棺,庄周,王孙,提及,1,提及,"呀呸!哪里是灵的多的多?分明是楚国王孙公子前来登丧吊祭,你观见他人才出众,相貌惊人,留在府下招亲。他得下急心疼的病症,你手使板斧前来劈棺,取我脑髓救他性命,是与",llm_refined,0.5
pdf_01000000__01005016___bf6dd90755,大劈棺,王孙,童男,命令,1,对话,"正行走来用目看,再叫童儿听端详:",llm_refined,0.5
pdf_01000000__01005016___bf6dd90755,大劈棺,童男,王孙,提及,1,对话；提及,我家师傅是楚国王孙。,llm_refined,0.5
pdf_01000000__01005016___bf6dd90755,大劈棺,童男,田氏,对话,1,对话,"小子,我们吊丧已毕,要回去了。",llm_refined,0.5
