doc_id,doc_title,theme_label,weight,evidence,derived_by
pdf_01000000__01005016___bf6dd90755,大劈棺,亲情,2,庄周下山回家，与田氏谈论途中见闻，田氏发誓守节，庄周假装病死试探田氏，童儿买棺木和童男童女。,llm
pdf_01000000__01005016___bf6dd90755,大劈棺,情爱,2,田氏在灵堂见到王孙后心生爱慕，通过四句诗试探，王孙对答并提三件条件，田氏为改嫁竟答应打倒亡夫灵牌、脱白穿红、立即拜堂，王孙突然腹痛倒地。,llm
pdf_01000000__01005016___bf6dd90755,大劈棺,试探,2,庄周下山回家，与田氏谈论途中见闻，田氏发誓守节，庄周假装病死试探田氏，童儿买棺木和童男童女。,llm
pdf_01000000__01005016___bf6dd90755,大劈棺,喜剧,1,# 《大劈棺》；# （一名：《蝴蝶梦》；一名：《田氏劈棺》）,keyword
pdf_01000000__01005016___bf6dd90755,大劈棺,因果报应,1,田氏劈棺欲取庄周脑髓救情人，庄周突然坐起质问，田氏谎称守节救夫，庄周揭穿其与楚王孙私通真相。,llm
pdf_01000000__01005016___bf6dd90755,大劈棺,家国,1,# 《大劈棺》；# （一名：《蝴蝶梦》；一名：《田氏劈棺》）,keyword
pdf_01000000__01005016___bf6dd90755,大劈棺,忠义,1,田氏在灵堂见到王孙后心生爱慕，通过四句诗试探，王孙对答并提三件条件，田氏为改嫁竟答应打倒亡夫灵牌、脱白穿红、立即拜堂，王孙突然腹痛倒地。,llm
pdf_01000000__01005016___bf6dd90755,大劈棺,权力与服从,1,田氏在灵堂见到王孙后心生爱慕，通过四句诗试探，王孙对答并提三件条件，田氏为改嫁竟答应打倒亡夫灵牌、脱白穿红、立即拜堂，王孙突然腹痛倒地。,llm
pdf_01000000__01005016___bf6dd90755,大劈棺,背叛,1,田氏劈棺欲取庄周脑髓救情人，庄周突然坐起质问，田氏谎称守节救夫，庄周揭穿其与楚王孙私通真相。,llm
pdf_01000000__01005016___bf6dd90755,大劈棺,虚伪,1,田氏劈棺欲取庄周脑髓救情人，庄周突然坐起质问，田氏谎称守节救夫，庄周揭穿其与楚王孙私通真相。,llm
pdf_01000000__01005016___bf6dd90755,大劈棺,贞节,1,庄周下山回家，与田氏谈论途中见闻，田氏发誓守节，庄周假装病死试探田氏，童儿买棺木和童男童女。,llm
