doc_id,doc_title,theme_a,theme_b,cooccurrence_weight,evidence,derived_by
pdf_01000000__01005017___c3461c8709,柳林池,亲情,公案,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005017___c3461c8709,柳林池,亲情,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005017___c3461c8709,柳林池,亲情,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005017___c3461c8709,柳林池,亲情,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005017___c3461c8709,柳林池,公案,家国,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005017___c3461c8709,柳林池,公案,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005017___c3461c8709,柳林池,公案,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005017___c3461c8709,柳林池,家国,忠义,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005017___c3461c8709,柳林池,家国,情爱,1,序幕/前置内容,scene_cooccurrence
pdf_01000000__01005017___c3461c8709,柳林池,忠义,情爱,1,序幕/前置内容,scene_cooccurrence
