doc_id,doc_title,line_id,scene_id,source_file,source_path,relative_path,batch_id,scene_index,scene,line_no,row_type,line_category,speaker,speaker_char_id,cue,text,target,target_char_id,emotion_tag,speech_act,entity_tags,action_tags,is_key_line,emotion_derived_by,target_derived_by,llm_confidence,raw_line
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__line__000001,pdf_01000000__01006001___9c7557117a__scene__000,01006001_连营寨.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006001_连营寨.pdf,01000000/01006001_连营寨.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,0,序幕/前置内容,1,narration,narration,,,,# 《连营寨》 （一名：《火烧连营七百里》）,,,,,,,1,,,,# 《连营寨》 （一名：《火烧连营七百里》）
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__line__000027,pdf_01000000__01006001___9c7557117a__scene__001,01006001_连营寨.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006001_连营寨.pdf,01000000/01006001_连营寨.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,27,stage_direction,stage_direction,,,韩当、周泰、糜芳、傅士仁、马忠、夏旬同上，同起霸。〖点绛唇〗。,,,,,,,上,0,,,,（韩当、周泰、糜芳、傅士仁、马忠、夏旬同上，同起霸。〖点绛唇〗。）
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__line__000029,pdf_01000000__01006001___9c7557117a__scene__001,01006001_连营寨.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006001_连营寨.pdf,01000000/01006001_连营寨.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,29,dialogue,dialogue,众将,pdf_01000000__01006001___9c7557117a__char__7b28a9cc8c,同白,"俺,",,,,,,念白,0,,,,"众将（同白）俺,"
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__line__000029,pdf_01000000__01006001___9c7557117a__scene__001,01006001_连营寨.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006001_连营寨.pdf,01000000/01006001_连营寨.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,29,dialogue,dialogue,韩当,pdf_01000000__01006001___9c7557117a__char__a27d322c75,白,韩当。,众将,pdf_01000000__01006001___9c7557117a__char__7b28a9cc8c,,,,念白,0,,rule,,韩当（白）韩当。
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__line__000029,pdf_01000000__01006001___9c7557117a__scene__001,01006001_连营寨.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006001_连营寨.pdf,01000000/01006001_连营寨.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,29,dialogue,dialogue,周泰,pdf_01000000__01006001___9c7557117a__char__a5c672b91e,白,周泰。,韩当,pdf_01000000__01006001___9c7557117a__char__a27d322c75,,,,念白,0,,rule,,周泰（白）周泰。
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__line__000029,pdf_01000000__01006001___9c7557117a__scene__001,01006001_连营寨.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006001_连营寨.pdf,01000000/01006001_连营寨.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,29,dialogue,dialogue,糜芳,pdf_01000000__01006001___9c7557117a__char__30c8977426,白,糜芳。,周泰,pdf_01000000__01006001___9c7557117a__char__a5c672b91e,,,,念白,0,,rule,,糜芳（白）糜芳。
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__line__000029,pdf_01000000__01006001___9c7557117a__scene__001,01006001_连营寨.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006001_连营寨.pdf,01000000/01006001_连营寨.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,29,dialogue,dialogue,傅士仁,pdf_01000000__01006001___9c7557117a__char__66179c4406,白,傅士仁。,糜芳,pdf_01000000__01006001___9c7557117a__char__30c8977426,,,,念白,0,,rule,,傅士仁（白）傅士仁。
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__line__000029,pdf_01000000__01006001___9c7557117a__scene__001,01006001_连营寨.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006001_连营寨.pdf,01000000/01006001_连营寨.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,29,dialogue,dialogue,马忠,pdf_01000000__01006001___9c7557117a__char__a0da4d915a,白,马忠。,傅士仁,pdf_01000000__01006001___9c7557117a__char__66179c4406,,,,念白,0,,rule,,马忠（白）马忠。
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__line__000029,pdf_01000000__01006001___9c7557117a__scene__001,01006001_连营寨.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006001_连营寨.pdf,01000000/01006001_连营寨.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,29,dialogue,dialogue,夏旬,pdf_01000000__01006001___9c7557117a__char__4c5bc62434,白,夏旬。,马忠,pdf_01000000__01006001___9c7557117a__char__a0da4d915a,,,,念白,0,,rule,,夏旬（白）夏旬。
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__line__000029,pdf_01000000__01006001___9c7557117a__scene__001,01006001_连营寨.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006001_连营寨.pdf,01000000/01006001_连营寨.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,29,dialogue,dialogue,韩当,pdf_01000000__01006001___9c7557117a__char__a27d322c75,白,"请了,元",夏旬,pdf_01000000__01006001___9c7557117a__char__4c5bc62434,,,,请；念白,0,,rule,,"韩当（白）请了,元"
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__line__000029,pdf_01000000__01006001___9c7557117a__scene__001,01006001_连营寨.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006001_连营寨.pdf,01000000/01006001_连营寨.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,29,dialogue,dialogue,众将,pdf_01000000__01006001___9c7557117a__char__7b28a9cc8c,同白,请。,韩当,pdf_01000000__01006001___9c7557117a__char__a27d322c75,平,陈述,,请；念白,0,llm,rule,0.8,众将（同白）请。
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__line__000031,pdf_01000000__01006001___9c7557117a__scene__001,01006001_连营寨.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006001_连营寨.pdf,01000000/01006001_连营寨.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,31,stage_direction,stage_direction,,,八红小军、四大铠、甘宁同上。〖点绛唇〗。,,,,,,,上,0,,,,（八红小军、四大铠、甘宁同上。〖点绛唇〗。）
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__line__000033,pdf_01000000__01006001___9c7557117a__scene__001,01006001_连营寨.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006001_连营寨.pdf,01000000/01006001_连营寨.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,33,dialogue,dialogue,众将,pdf_01000000__01006001___9c7557117a__char__7b28a9cc8c,同白,参见元帅。,,,,,,念白,0,,,,众将（同白）参见元帅。
pdf_01000000__01006001___9c7557117a,连营寨,pdf_01000000__01006001___9c7557117a__line__000033,pdf_01000000__01006001___9c7557117a__scene__001,01006001_连营寨.pdf,D:\University_studies\Junior\data_visualization\experiment\final_self\opera_dataset\01000000\01006001_连营寨.pdf,01000000/01006001_连营寨.pdf,a2504dd0-9a22-485e-848c-d08f96ade7ca,1,【第一场】,33,dialogue,dialogue,甘宁,pdf_01000000__01006001___9c7557117a__char__864dbe974a,白,众位将军少礼。,众将,pdf_01000000__01006001___9c7557117a__char__7b28a9cc8c,,,,念白,0,,rule,,甘宁（白）众位将军少礼。
